route,stops,early,on_time,late,total,early %,on_time %,late %
55,SHAKESPEARE BLVD & ETON MANOR DR,108,1646,115,1869,0.06,0.88,0.06
55,SHAKESPEARE BLVD & AMBER RIDGE DR,66,999,86,1151,0.06,0.87,0.07
55,FREDERICK RD & COLLINS DR,5,62,6,73,0.07,0.85,0.08
55,E MIDDLE LN & MONROE ST,7,349,53,409,0.02,0.85,0.13
55,E MIDDLE LN & MARYLAND AVE,22,568,75,665,0.03,0.85,0.11
55,FREDERICK RD & SHAKESPEARE BLVD,34,406,35,475,0.07,0.85,0.07
55,OBSERVATION DR & PANTHER RIDGE DR,13,135,13,161,0.08,0.84,0.08
55,N WASHINGTON ST & MIDDLE LN,4,187,34,225,0.02,0.83,0.15
55,FREDERICK RD & ARCHDALE RD,122,752,82,956,0.13,0.79,0.09
55,HUNGERFORD DR & MANNAKEE ST,8,108,24,140,0.06,0.77,0.17
55,N WASHINGTON ST & BEALL AVE,63,589,128,780,0.08,0.76,0.16
55,FREDERICK RD & GERMANTOWN RD,72,435,65,572,0.13,0.76,0.11
55,S FREDERICK AVE & S WESTLAND DR,177,1011,140,1328,0.13,0.76,0.11
55,N FREDERICK RD & GUNNERS BRANCH RD,311,1429,160,1900,0.16,0.75,0.08
55,OBSERVATION DR & BOLAND FARM RD,18,104,18,140,0.13,0.74,0.13
55,FREDERICK RD & MIDWAY CENTER,84,374,50,508,0.17,0.74,0.1
55,S FREDERICK AVE & N WESTLAND DR,335,1424,181,1940,0.17,0.73,0.09
55,S FREDERICK AVE & CENTRAL AVE,59,236,27,322,0.18,0.73,0.08
55,HUNGERFORD DR & FREDERICK AVE,226,1856,496,2578,0.09,0.72,0.19
55,FREDERICK RD & HIGH POINT DR,20,67,7,94,0.21,0.71,0.07
55,SHAKESPEARE BLVD & OBSERVATION DR,1159,5373,1081,7613,0.15,0.71,0.14
55,GERMANTOWN RD & GOLDENROD LN,22,142,38,202,0.11,0.7,0.19
55,N WASHINGTON ST & DAWSON AVE,149,849,220,1218,0.12,0.7,0.18
55,CONTOUR RD & ODENDHAL AVE,122,344,30,496,0.25,0.69,0.06
55,N FREDERICK AVE & TRAVIS AVE,32,116,20,168,0.19,0.69,0.12
55,FREDERICK RD & GUNNERS DR,20,69,11,100,0.2,0.69,0.11
55,OBSERVATION DR & OBSERVATION CT,85,366,84,535,0.16,0.68,0.16
55,MANNAKEE ST & HUNGERFORD DR,36,158,38,232,0.16,0.68,0.16
55,FREDERICK RD & @20010,107,364,74,545,0.2,0.67,0.14
55,FREDERICK RD & OXBRIDGE DR,287,1059,227,1573,0.18,0.67,0.14
55,OBSERVATION DR & MONTGOMERY COLLEGE,26,116,33,175,0.15,0.66,0.19
55,FREDERICK RD & PLUMMER DR,205,640,132,977,0.21,0.66,0.14
55,CHRISTOPHER AVE & HELLINGLY PL,99,284,47,430,0.23,0.66,0.11
55,FREDERICK RD & SHADY GROVE RD,686,1973,364,3023,0.23,0.65,0.12
55,FREDERICK RD & APPLEDOWRE WAY,419,1215,227,1861,0.23,0.65,0.12
55,CONTOUR RD & TUNSTALL DR,121,319,54,494,0.24,0.65,0.11
55,S FREDERICK AVE & DEER PARK DR,252,704,124,1080,0.23,0.65,0.11
55,MANNAKEE ST & CAMPUS (E) DR,19,120,49,188,0.1,0.64,0.26
55,CHRISTOPHER AVE & MONTGOMERY VILLAG,250,697,159,1106,0.23,0.63,0.14
55,CHRISTOPHER AVE & VILLAGE OVERLOOK,67,177,35,279,0.24,0.63,0.13
55,FREDERICK RD & RIDGEMONT AVE,66,177,40,283,0.23,0.63,0.14
55,TRAVIS AVE & TRAVIS LN,448,1085,200,1733,0.26,0.63,0.12
55,FREDERICK RD & GUNNERS BRANCH RD,649,1860,443,2952,0.22,0.63,0.15
55,N FREDERICK AVE & PROFESSIONAL DR,346,827,165,1338,0.26,0.62,0.12
55,FREDERICK RD & MIDDLEBROOK RD,315,852,217,1384,0.23,0.62,0.16
55,HUNGERFORD DR & N CAMPUS DR,13,39,11,63,0.21,0.62,0.17
55,S CAMPUS DR & CAMPUS DR,103,424,171,698,0.15,0.61,0.24
55,CONTOUR RD & LOST KNIFE RD,356,788,148,1292,0.28,0.61,0.11
55,TRAVIS AVE & TRAVIS VIEW CT,238,549,110,897,0.27,0.61,0.12
55,TRAVIS AVE & WATKINS MILL RD,76,196,55,327,0.23,0.6,0.17
55,OBSERVATION DR & @20457 (SENECA MEA,17,43,12,72,0.24,0.6,0.17
55,LOST KNIFE RD & CIDER MILL APTS,280,675,169,1124,0.25,0.6,0.15
55,N FREDERICK AVE & MARYLAND AVE,218,449,84,751,0.29,0.6,0.11
55,CHRISTOPHER AVE & RUSSELL AVE,519,1135,251,1905,0.27,0.6,0.13
55,FREDERICK RD & COLLEGE PKWY,278,678,201,1157,0.24,0.59,0.17
55,CONTOUR RD & HORIZON RUN RD,178,330,55,563,0.32,0.59,0.1
55,RUSSELL AVE & WATKINS MILL RD,87,168,37,292,0.3,0.58,0.13
55,S FREDERICK AVE & SUMMIT AVE,523,1018,244,1785,0.29,0.57,0.14
55,FREDERICK RD & SCENERY DR,198,382,106,686,0.29,0.56,0.15
55,FREDERICK RD & REDLAND RD,315,579,140,1034,0.3,0.56,0.14
55,WATKINS MILL RD & TRAVIS AVE,113,223,65,401,0.28,0.56,0.16
55,FREDERICK RD & @15,13,18,2,33,0.39,0.55,0.06
55,S FREDERICK AVE & EDUCATION BLVD,463,869,259,1591,0.29,0.55,0.16
55,SHADY GROVE STATION  & BAY A - WEST,5701,14303,6521,26525,0.21,0.54,0.25
55,S FREDERICK AVE & FULKS CORNER AVE,264,528,180,972,0.27,0.54,0.19
55,S FREDERICK AVE & VIRGINIA DR,37,74,25,136,0.27,0.54,0.18
55,N WASHINGTON ST & MARTINS LN,97,257,139,493,0.2,0.52,0.28
55,RUSSELL AVE & CHRISTOPHER AVE,42,56,12,110,0.38,0.51,0.11
55,FREDERICK RD & GUDE DR,70,130,55,255,0.27,0.51,0.22
55,MANNAKEE ST & CAMPUS DR,3,8,5,16,0.19,0.5,0.31
55,FREDERICK RD & WHEATFIELD DR,31,58,26,115,0.27,0.5,0.23
55,N FREDERICK AVE & WHETSTONE DR,221,348,147,716,0.31,0.49,0.21
55,FREDERICK RD & INDIANOLA DR,66,94,33,193,0.34,0.49,0.17
55,GERMANTOWN TRANSIT CENTER  & BAY B,9237,18754,10518,38509,0.24,0.49,0.27
55,ROCKVILLE STATION  & BAY B - WEST,8006,18733,11300,38039,0.21,0.49,0.3
55,FREDERICK RD & @15501,25,31,7,63,0.4,0.49,0.11
55,FREDERICK RD & WATKINS POND BLVD,79,97,25,201,0.39,0.48,0.12
55,WATKINS MILL RD & TRAVIS LN,106,171,77,354,0.3,0.48,0.22
55,SOMERVILLE DR & REDLAND RD,80,116,49,245,0.33,0.47,0.2
55,S FREDERICK AVE & CEDAR AVE,371,453,170,994,0.37,0.46,0.17
55,N FREDERICK AVE & BROOKS AVE,547,778,375,1700,0.32,0.46,0.22
55,N FREDERICK AVE & CHESTNUT ST,294,415,211,920,0.32,0.45,0.23
55,N FREDERICK AVE & MONTGOMERY AVE,583,805,415,1803,0.32,0.45,0.23
55,S FREDERICK AVE & O'NEILL DR,57,68,30,155,0.37,0.44,0.19
55,S FREDERICK AVE & ROSEMONT DR,122,151,70,343,0.36,0.44,0.2
55,SHAKESPEARE BLVD & FREDERICK RD,116,191,132,439,0.26,0.44,0.3
55,GERMANTOWN RD & OBSERVATION DR,47,59,29,135,0.35,0.44,0.21
55,S FREDERICK AVE & WESTLAND DR,244,300,135,679,0.36,0.44,0.2
55,FREDERICK RD & MAGNOLIA DR,70,88,47,205,0.34,0.43,0.23
55,LAKEFOREST TRANSIT CENTER  & ODENDH,8872,13227,8853,30952,0.29,0.43,0.29
55,CHRISTOPHER AVE & GALLOP HILL RD,281,338,177,796,0.35,0.42,0.22
55,ODENDHAL AVE & RUSSELL AVE,367,433,226,1026,0.36,0.42,0.22
55,ODENDHAL AVE & FREDERICK AVE,1849,2041,1027,4917,0.38,0.42,0.21
55,SHAKESPEARE BLVD & MILESTONE PARK &,252,344,273,869,0.29,0.4,0.31
55,CHRISTOPHER AVE & FEATHERTREE WAY,218,212,121,551,0.4,0.38,0.22
55,S FREDERICK AVE & DEER PARK RD,293,279,156,728,0.4,0.38,0.21
55,LOST KNIFE RD & MONTGOMERY VILLAGE,319,343,243,905,0.35,0.38,0.27
55,SHADYGROVE METRO LOT  & METRO LOT,36,38,33,107,0.34,0.36,0.31
55,LOST KNIFE RD & CONTOUR RD,135,132,114,381,0.35,0.35,0.3
55,FREDERICK RD & NEELSVILLE CHURCH RD,6,4,4,14,0.43,0.29,0.29
55,KING FARM BLVD & FREDERICK RD,34,21,32,87,0.39,0.24,0.37
55,E MIDDLE LN & WASHINGTON ST,22,9,24,55,0.4,0.16,0.44
