,stop,alightings
870,New Carrollton Station - Arrival,11462.0
167,Addison Rd Metrorail - Arrival,9163.0
601,Greenbelt Metro Station (Arrival),7848.0
1207,Suitland Metro - Arrival,7550.0
867,Naylor Rd Station Bay H - Hidden Arrival,7424.0
853,Morgan Blvd Metro Station,6296.0
1152,Southern Ave Station Bay E - Arrival,5179.0
403,Campus Way South at College Station Dr (PGCC),5108.0
781,Largo Town Center Station,5094.0
316,Branch Ave Station - Arrival,4726.0
871,New Carrollton Station Bay F,4295.0
410,Capitol Heights - Arrival,4123.0
1294,Woody Terrace at Woodyard Rd,3850.0
1286,West Hyattsville Station,3784.0
421,Capitol Heights Station Bay B,3631.0
602,Greenbelt Metro Station Bus Bay A,3345.0
501,County Administration Building,3089.0
1150,Southern Ave Metro Rail Station at Bus Bay F,3040.0
746,Landover Metrorail Station - Arrival,3023.0
782,Largo Town Center Station at Bus Bay E,3012.0
168,Addison Rd Metrorail Station,2993.0
477,Clinton Fringe Lot,2822.0
701,Iverson Mall,2272.0
1213,Suitland Rd at Shadyside Ave,2268.0
466,Cheverly Station Bay D,2191.0
744,Landover Mall,2187.0
1288,West Hyattsville Station - Arrival,2098.0
836,Mattawoman Beantown Rd at Pinefield Center,2052.0
290,Belcrest Rd at PG Plaza Metrorail,1994.0
478,Clinton Fringe Parking Lot,1962.0
502,County Courthouse,1910.0
1287,West Hyattsville Station (Arrival),1784.0
354,Brightseat Rd at Maple Ridge Apts,1609.0
894,Old Branch Ave at Coventry Way,1587.0
409,Capitol Crossing Apts,1560.0
451,Cherrywood Ln at Greenbelt Federal Courthouse,1558.0
891,Old Branch Ave at Allentown Way,1558.0
1118,SOUTHERN AVENUE METRO STATION & BUS BAY K,1534.0
508,Courthouse,1484.0
1223,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),1478.0
75,4192 Whitehall Square Apts,1434.0
620,Greenway Center,1431.0
480,College Park Metro Station at Bus Bay B,1386.0
842,McCormick Dr at Basil Ct,1349.0
1301,Woodyard Rd at Pine View Ln,1346.0
559,Equestrian Center Lot 4,1339.0
716,Judge's Dr at Pratt St,1324.0
971,Padgett's Corner,1310.0
1090,Riverdale Rd at Carrollton Mall,1262.0
289,Belcrest Rd at PG Plaza Entrance,1236.0
208,Allentown Rd at Temple Hill Rd,1233.0
582,Garrett A. Morgan Blvd at Morgan Blvd Station,1225.0
532,Doctors Community Hospital,1207.0
558,Equestrian Center Lot 3,1196.0
628,Hamilton St at 31st Ave,1172.0
693,Ikea at Bus Bay 2,1132.0
245,Auburn Ave at Riverdale Rd,1128.0
481,College Park Station,1102.0
1016,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,1088.0
896,Old Forestville Rd at Forestville Rd,1088.0
869,New Carrollton Station (Arrival),1084.0
857,Mt Rainier Terminal - Arrival,1076.0
539,Donnell Drive at Target Store,1073.0
367,Brinkley Rd at Huntcrest,1054.0
849,Mercantile Ln at Technology Way,1001.0
197,Allentown Rd at Brinkley Rd,994.0
1199,St Clair Dr at 28th Ave,969.0
548,East-West Hwy at Metro Center Dr,952.0
408,Campus Way at PGCC Perimeter Rd,949.0
220,Annapolis Rd at 85th Ave,948.0
1059,Ritchie Rd at Forest Park Dr,937.0
537,Donnell Dr at Pennsylvania Ave,936.0
964,PG Plaza Station,909.0
919,Old Silver Hill Rd at Library,903.0
983,Peppermill Dr at Hastings Dr,883.0
1088,Riverdale Rd at 67th Ave,874.0
86,42nd Ave at Oglethorpe St,872.0
856,Motor Vehicle Administration - Arrival,871.0
1230,Temple Hill Rd at Farmer Dr,866.0
1188,Springhill Ln at Springhill Dr,861.0
196,Allentown Rd at Allentown Way,859.0
816,Mandan Rd at Hanover Pkwy,856.0
465,Cheverly Metrorail Station Bay D,851.0
318,Branchwood Towers,850.0
743,Lamont Dr at Westbrook Dr,850.0
966,PG Sports Complex,848.0
997,Prince George's Plaza Entrance,827.0
1081,Riverdale Rd at 57th Ave,827.0
452,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),799.0
1146,Silver Hill Rd at Pennsylvania Ave,797.0
948,Oxon Hill Rd at Oxon Hill Fringe Parking Lot,796.0
606,Greenbelt Rd at Opp. Greenbelt Center,794.0
970,PGCC Perimeter Rd at Largo Rd,791.0
996,Prince George's Plaza - Arrival,789.0
1211,Suitland Rd at Huron Ave,773.0
522,Denise Dr at Dutton Way,766.0
809,MONUMENT AVE @ MGM CASINO,742.0
1246,Temple Hill Rd at St Barnabas Rd,740.0
903,Old Marlboro Pike at John Rogers Blvd,739.0
591,Good Luck Rd at Crest Park Dr,734.0
1172,Southern Ave at Wheeler Rd,723.0
1285,Walker Mill Road at Marlboro Pike,711.0
604,Greenbelt Rd at Greenway Center,690.0
963,PG Plaza,681.0
504,County Rd at Elmhurst St,679.0
1184,Springhill Dr at Springhill Ln,679.0
511,Crescent Rd at Gardenway,673.0
386,Brooks Dr at Pennsylvania Ave,659.0
368,Brinkley Rd at Huntley Square Dr,658.0
1185,Springhill Ln at Breezewood Ct,656.0
98,5401 85th Ave,645.0
181,Addison Rd at Walker Mill Rd,638.0
650,Hanover Pkwy at Ora Glen Dr,630.0
985,Piscataway Rd at Absher Ln,628.0
1300,Woodyard Rd at Pine View Lane,627.0
979,Pennsylvania Ave at Penn Crossing Dr,623.0
741,Lamont Dr at Powhatan St,623.0
1175,Southern Maryland Hospital (Hidden Arrival),621.0
40,3209 75th Ave,619.0
1250,Timothy Branch Drive @ Safeway,617.0
244,Auburn Ave at Chestnut Ave,611.0
84,42nd Ave at Madison St,611.0
1186,Springhill Ln at Breezewood Dr,610.0
646,Hanover Pkwy at Hanover Dr,610.0
629,Hamilton St at 31st Ave - in,607.0
561,Fairlawn St at Colebrooke Dr,605.0
1253,Toledo Rd at Belcrest Rd,602.0
340,Brightseat Rd at Ardwick-Ardmore Rd,600.0
1212,Suitland Rd at Opposite Prem. #4211,599.0
360,Brinkley Rd at Brinkley House W Ent,594.0
1200,St George Blvd at Waterfront St,588.0
573,Forestville Rd at Parston Dr,582.0
600,Greenbelt Metro Dr at Cherrywood Ln,569.0
1072,Ritchie Station Court Bus Stop #1,569.0
1201,Stars Entrance Gaylord Hotel at National Harbor Blvd,557.0
819,Marlboro Pike at County Rd,557.0
71,4112 Whitehall Square Apts,538.0
1226,Temple Hill Rd at Allentown Rd,534.0
533,Dodge Park Rd at Hubbard Rd,534.0
22,23rd Ave at Lewisdale Dr,528.0
1210,Suitland Rd at Homer Ave,527.0
1289,Whitehall Square Apts at Community Hall,525.0
178,Addison Rd at Ronald Rd,522.0
1160,Southern Ave at Chesapeake St SE,514.0
745,Landover Metrorail Station,513.0
736,Lamont Dr at Carrollton Pkwy,511.0
1222,Takoma Langley Park Transit Center Bus Bay B,507.0
389,CAB - Arrival,506.0
72,4138 Whitehall Square Apts - in,498.0
169,Addison Rd at Adak St,493.0
703,Jefferson St at Kenilworth Ave,486.0
938,Oxon Hill Fringe Parking Lot Bus Bay B,481.0
855,Motor Vehicle Administration,481.0
1242,Temple Hill Rd at Portal Ave,475.0
1147,Silver Hill Rd at Randall Rd,470.0
683,Hubbard Rd at Martin Luther King,470.0
314,Bock Rd at Technology Recreation Complex,468.0
1209,Suitland Rd at 4412 Suitland Rd,466.0
990,Piscataway Rd at Pella Place,466.0
1001,Queens Chapel Rd at Hamilton St,460.0
838,Mattowoman Beantown Rd at MTA Park and Ride Lot (Arrival),458.0
840,Maxwell Dr at Morris Ave,455.0
79,4258 Whitehall Square Apts,455.0
1180,Southway at Crescent Rd,443.0
1091,Riverdale Rd at Eastpine Dr,442.0
759,Lansdowne Village Apts,432.0
920,Old Silver Hill Rd at Parkland Ct (E),427.0
257,Baltimore Ave at Berwyn House Rd,426.0
202,Allentown Rd at Kingston Dr,426.0
1243,Temple Hill Rd at Rickey Ave,424.0
238,Ashwood Dr at Dunmore Pl,423.0
203,Allentown Rd at Old Branch Ave,422.0
28,28th Ave at Keating St,418.0
626,Gwynn Park High School,417.0
1293,Wmap Rd at Icesat Rd,405.0
439,Central Ave at Soper Ln,403.0
479,Clinton Manor,401.0
592,Good Luck Rd at Dawnwood Dr,400.0
978,Pennsylvania Ave at Old Marlboro Pl,399.0
541,Dunmore Pl at Edgeworth Dr,398.0
336,Breezewood Dr at Cherrywood Ter,398.0
698,Indian Head Highway at Audrey Ln,395.0
737,Lamont Dr at Donoghue Dr,393.0
475,Cipriano Rd at Brae Brooke Dr,393.0
14,16th Ave at Cypress Creek Dr,393.0
381,Brinkley Rd at Temple Hill Rd,390.0
644,Hanover Pkwy at Greenbrook Dr,390.0
1020,Raleigh Rd at Culver St,386.0
472,Chillum Rd at Longford Dr,386.0
1130,Sheriff Rd at Dutch Village Dr,383.0
474,Chillum Rd at Shoppers Food,383.0
651,Hanover Pkwy at Prem # 7718,381.0
888,Old Alexandria Ferry Rd at Woodyard Rd,380.0
534,Dodge Park Rd at Landover Rd,378.0
637,Hampton Park Boulevard at Alaking Ct,377.0
387,Brooks Drive at Ridley Street,375.0
211,Allentown Rd at Westchester Ct,374.0
728,Kipling Pkwy at Marlboro Pike,372.0
1187,Springhill Ln at Market Ln,371.0
557,Equestrian Center Lot 1 (Arrival),366.0
923,Olson St at Norcross St,366.0
768,Largo Rd at Hancock Dr,364.0
396,Campus Way North at Grey Gables Ct,361.0
1183,Springhill Dr at Cherrywood Ln,360.0
730,Kipling Pkwy at Wintergreen Ave,357.0
893,Old Branch Ave at Arbutus Ln,357.0
976,Pennsy Drive at Landover Metro Station,356.0
1259,University Blvd at Riggs Rd,354.0
549,East-West Hwy at Toledo Ter,354.0
995,Possum Ct at Walker Mill Dr,353.0
545,East Capitol St at Yost Pl,352.0
198,Allentown Rd at Camp Springs Ave,351.0
1022,Raleigh Rd at St Barnabas Rd,350.0
1054,Ritchie Rd at Central Ave,350.0
402,Campus Way South at Central Ave,349.0
492,Columbia Park Rd at South Club Dr,347.0
509,Coventry Way at Old Alexandria Ferry Rd,346.0
420,Capitol Heights Station,346.0
1053,Ritchie Rd at Ashville Rd,345.0
1061,Ritchie Rd at Mane Ln,345.0
13,15th Ave at University Blvd,343.0
490,Columbia Park Rd at Marshall Pl,342.0
854,Morris Ave at Maxwell Dr,341.0
587,Goddard Space Flight Center Main Gate (Southbound),341.0
