,stops,alightings
58,MEDICAL CENTER STATION  & BAY D,13183
124,ROCKVILLE STATION  & BAY A - WEST,12847
43,GERMANTOWN TRANSIT CENTER  & BAY B,11217
145,SHADY GROVE STATION  & BAY C - EAST,10683
128,S CAMPUS DR & CAMPUS DR,10618
157,TWINBROOK STATION  & BAY A - WEST,7629
144,SHADY GROVE STATION  & BAY A - WEST,6848
125,ROCKVILLE STATION  & BAY B - WEST,6230
51,LAKEFOREST TRANSIT CENTER  & ODENDH,6228
89,ROCKVILLE PIKE & EDMONSTON DR,4355
101,ROCKVILLE PIKE & MARINELLI RD,4184
151,SHAKESPEARE BLVD & OBSERVATION DR,3553
158,UNKNOWN,2782
87,ROCKVILLE PIKE & CONGRESSIONAL LN,2734
47,HUNGERFORD DR & FREDERICK AVE,2595
77,ODENDHAL AVE & FREDERICK AVE,2412
83,ROCKVILLE PIKE & BOU AVE,2143
112,ROCKVILLE PIKE & ROLLINS AVE,2071
110,ROCKVILLE PIKE & RANDOLPH RD,1984
24,FREDERICK RD & GUNNERS BRANCH RD,1720
149,SHAKESPEARE BLVD & FREDERICK RD,1654
120,ROCKVILLE PIKE & TUCKERMAN LN,1599
99,ROCKVILLE PIKE & HUBBARD DR,1584
68,N WASHINGTON ST & BEALL AVE,1534
117,ROCKVILLE PIKE & TALBOTT ST,1532
44,GROSVENOR STATION  & BAY E,1515
59,MONROE ST & MONROE PL,1462
118,ROCKVILLE PIKE & TEMPLETON PL,1422
69,N WASHINGTON ST & DAWSON AVE,1413
109,ROCKVILLE PIKE & POOKS HILL RD,1290
113,ROCKVILLE PIKE & ROSE AVE,1203
70,N WASHINGTON ST & MARTINS LN,1173
45,HALPINE RD & ROCKVILLE PIKE,1053
102,ROCKVILLE PIKE & MT VERNON PL,979
84,ROCKVILLE PIKE & BOUIC AVE,937
37,FREDERICK RD & SHADY GROVE RD,903
57,MANNAKEE ST & HUNGERFORD DR,883
133,S FREDERICK AVE & EDUCATION BLVD,881
150,SHAKESPEARE BLVD & MILESTONE PARK &,879
74,OBSERVATION DR & MONTGOMERY COLLEGE,867
91,ROCKVILLE PIKE & EXECUTIVE BLVD,860
92,ROCKVILLE PIKE & FIRST ST,818
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,804
96,ROCKVILLE PIKE & HALPINE RD,799
139,S FREDERICK AVE & SUMMIT AVE,793
104,ROCKVILLE PIKE & NICHOLSON LN,784
105,ROCKVILLE PIKE & NORTH DR,762
18,FREDERICK RD & APPLEDOWRE WAY,737
20,FREDERICK RD & COLLEGE PKWY,722
108,ROCKVILLE PIKE & PIKE CENTER,716
60,N FREDERICK AVE & BROOKS AVE,701
123,ROCKVILLE PIKE & WOOTTON PKWY,697
