,stop,boardings,alightings
644,Hanover Pkwy at Greenbrook Dr,963,661
743,Lamont Dr at Westbrook Dr,960,1426
997,Possum Ct at Walker Mill Dr,951,666
1091,Riverdale Rd at Carrollton Mall,948,2235
17,23rd Ave at Amherst Rd,947,297
359,Brinkley Rd at Arborview Entrance,935,236
124,8201 Corporate Dr,931,554
1093,Riverdale Rd at Fountainbleau Dr,925,399
1173,Southern Ave at Wheeler Rd,924,1001
98,5401 85th Ave,915,1064
1251,Timothy Branch Drive @ Safeway,912,1081
1253,Toledo Rd at Adelphi Rd,901,681
1088,Riverdale Rd at 64th Ave,897,351
1201,St George Blvd at Waterfront St,891,1171
748,Landover Rd at 56th Ave,887,463
1227,Temple Hill Rd at Allentown Rd,887,968
923,Old Silver Hill Rd at Parkland Dr,886,361
396,Campus Way North at Grey Gables Ct,883,725
1247,Temple Hill Rd at St Barnabas Rd,874,1221
97,5295 85th Ave,872,640
897,Old Forestville Rd at Forestville Rd,870,2261
626,Gwynn Park High School,870,701
631,Hamilton St at 36th Ave,864,415
1254,Toledo Rd at Belcrest Rd,859,910
1185,Springhill Dr at Springhill Ln,848,1120
245,Auburn Ave at Riverdale Rd,838,2020
348,Brightseat Rd at Evarts St,823,267
100,5600 54th Ave,820,682
1081,Riverdale Rd at 54th Ave,815,354
257,Baltimore Ave at Berwyn House Rd,813,860
329,Brandywine Road @ Northgate Parkway,811,79
1022,Raleigh Rd at Culver St,808,630
475,Cipriano Rd at Brae Brooke Dr,801,821
739,Lamont Dr at Lamont Pl,797,457
429,Central Ave at Cabin Branch Rd,797,26
531,District Heights Pkwy at Rochelle Ave,783,602
73,4138 Whitehall Square Apts - out,783,23
1286,Walker Mill Road at Marlboro Pike,780,1224
1043,Rhode Island Ave at Mt Rainier,780,480
632,Hamilton St at 37th Ave,766,242
728,Kipling Pkwy at Marlboro Pike,758,737
405,Campus Way South at Joyceton Dr,751,386
983,Peppermill Dr at Canyon Dr,750,480
336,Breezewood Dr at Cherrywood Ter,733,692
196,Allentown Rd at Allentown Way,732,1526
1054,Ritchie Rd at Ashville Rd,731,613
1070,Ritchie Rd at Truck Way,731,334
479,Clinton Manor,725,673
340,Brightseat Rd at Ardwick-Ardmore Rd,724,1009
545,East Capitol St at Yost Pl,723,634
683,Hubbard Rd at Martin Luther King,715,607
72,4138 Whitehall Square Apts - in,713,802
759,Lansdowne Village Apts,694,523
865,Nalley Rd at Michele Dr,692,192
260,Baltimore Ave at Cherokee St,688,534
1148,Silver Hill Rd at Randall Rd,683,815
730,Kipling Pkwy at Wintergreen Ave,679,623
1015,Queensbury Rd at Baltimore Ave,679,633
198,Allentown Rd at Camp Springs Ave,678,596
952,Oxon Hill Rd at Riverside Plaza Apts,678,181
1250,Temple Hill Rd at Weldon Dr,677,463
1024,Raleigh Rd at St Barnabas Rd,670,614
387,Brooks Drive at Ridley Street,666,699
277,Baltimore Ave at Queensbury Rd,665,649
1023,Raleigh Rd at Olson St,665,386
630,Hamilton St at 35th Ave,659,438
729,Kipling Pkwy at Ritchie Rd,650,496
818,Manor at Victoria Park,649,571
1243,Temple Hill Rd at Portal Ave,646,802
832,Marlboro Pike at Walters Ln,645,713
1282,Walker Mill Rd at Rochell Ave,645,507
225,Apollo Dr at Lottsford Rd,641,508
611,Greenbelt Station Parkway at S. Center Drive,641,138
645,Hanover Pkwy at Greenway Center Dr,640,213
507,County Service Building,637,520
492,Columbia Park Rd at South Club Dr,636,811
203,Allentown Rd at Old Branch Ave,634,871
812,Madison St at Timber Creek Dr,629,412
