,stop,alightings
871,New Carrollton Station - Arrival,19110
167,Addison Rd Metrorail - Arrival,17020
868,Naylor Rd Station Bay H - Hidden Arrival,13553
1208,Suitland Metro - Arrival,13366
601,Greenbelt Metro Station (Arrival),12347
854,Morgan Blvd Metro Station,10643
316,Branch Ave Station - Arrival,9786
501,County Administration Building,9587
421,Capitol Heights Station Bay B,8716
781,Largo Town Center Station,8631
403,Campus Way South at College Station Dr (PGCC),8311
1295,Woody Terrace at Woodyard Rd,7689
602,Greenbelt Metro Station Bus Bay A,7548
1153,Southern Ave Station Bay E - Arrival,7291
1287,West Hyattsville Station,6987
410,Capitol Heights - Arrival,6365
872,New Carrollton Station Bay F,6179
782,Largo Town Center Station at Bus Bay E,5986
168,Addison Rd Metrorail Station,5264
477,Clinton Fringe Lot,4905
746,Landover Metrorail Station - Arrival,4901
466,Cheverly Station Bay D,4610
1151,Southern Ave Metro Rail Station at Bus Bay F,4569
478,Clinton Fringe Parking Lot,3932
701,Iverson Mall,3925
744,Landover Mall,3886
1214,Suitland Rd at Shadyside Ave,3818
1289,West Hyattsville Station - Arrival,3756
290,Belcrest Rd at PG Plaza Metrorail,3743
837,Mattawoman Beantown Rd at Pinefield Center,3616
559,Equestrian Center Lot 4,3581
502,County Courthouse,3469
558,Equestrian Center Lot 3,3205
480,College Park Metro Station at Bus Bay B,3116
892,Old Branch Ave at Allentown Way,3039
1288,West Hyattsville Station (Arrival),2906
508,Courthouse,2867
895,Old Branch Ave at Coventry Way,2782
451,Cherrywood Ln at Greenbelt Federal Courthouse,2771
858,Mt Rainier Terminal - Arrival,2683
409,Capitol Crossing Apts,2677
1302,Woodyard Rd at Pine View Ln,2665
1224,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),2656
693,Ikea at Bus Bay 2,2571
843,McCormick Dr at Basil Ct,2550
582,Garrett A. Morgan Blvd at Morgan Blvd Station,2523
75,4192 Whitehall Square Apts,2462
716,Judge's Dr at Pratt St,2460
1119,SOUTHERN AVENUE METRO STATION & BUS BAY K,2423
620,Greenway Center,2403
973,Padgett's Corner,2402
289,Belcrest Rd at PG Plaza Entrance,2389
208,Allentown Rd at Temple Hill Rd,2302
897,Old Forestville Rd at Forestville Rd,2261
1091,Riverdale Rd at Carrollton Mall,2235
1018,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,2231
870,New Carrollton Station (Arrival),2067
245,Auburn Ave at Riverdale Rd,2020
628,Hamilton St at 31st Ave,1987
354,Brightseat Rd at Maple Ridge Apts,1952
481,College Park Station,1936
539,Donnell Drive at Target Store,1917
857,Motor Vehicle Administration - Arrival,1884
850,Mercantile Ln at Technology Way,1877
1060,Ritchie Rd at Forest Park Dr,1829
197,Allentown Rd at Brinkley Rd,1810
465,Cheverly Metrorail Station Bay D,1779
532,Doctors Community Hospital,1775
537,Donnell Dr at Pennsylvania Ave,1746
220,Annapolis Rd at 85th Ave,1713
920,Old Silver Hill Rd at Library,1700
1200,St Clair Dr at 28th Ave,1693
367,Brinkley Rd at Huntcrest,1679
965,PG Plaza Station,1663
318,Branchwood Towers,1654
972,PGCC Perimeter Rd at Largo Rd,1560
816,Mandan Rd at Hanover Pkwy,1552
1212,Suitland Rd at Huron Ave,1550
904,Old Marlboro Pike at John Rogers Blvd,1535
196,Allentown Rd at Allentown Way,1526
1089,Riverdale Rd at 67th Ave,1522
964,PG Plaza,1517
985,Peppermill Dr at Hastings Dr,1460
86,42nd Ave at Oglethorpe St,1459
1147,Silver Hill Rd at Pennsylvania Ave,1447
1189,Springhill Ln at Springhill Dr,1436
743,Lamont Dr at Westbrook Dr,1426
1082,Riverdale Rd at 57th Ave,1418
968,PG Sports Complex,1408
548,East-West Hwy at Metro Center Dr,1407
604,Greenbelt Rd at Greenway Center,1404
999,Prince George's Plaza Entrance,1403
557,Equestrian Center Lot 1 (Arrival),1371
987,Piscataway Rd at Absher Ln,1363
998,Prince George's Plaza - Arrival,1351
1301,Woodyard Rd at Pine View Lane,1333
741,Lamont Dr at Powhatan St,1316
408,Campus Way at PGCC Perimeter Rd,1301
949,Oxon Hill Rd at Oxon Hill Fringe Parking Lot,1297
511,Crescent Rd at Gardenway,1287
981,Pennsylvania Ave at Penn Crossing Dr,1273
573,Forestville Rd at Parston Dr,1269
522,Denise Dr at Dutton Way,1257
181,Addison Rd at Walker Mill Rd,1230
1286,Walker Mill Road at Marlboro Pike,1224
1247,Temple Hill Rd at St Barnabas Rd,1221
1176,Southern Maryland Hospital (Hidden Arrival),1217
650,Hanover Pkwy at Ora Glen Dr,1206
386,Brooks Dr at Pennsylvania Ave,1202
646,Hanover Pkwy at Hanover Dr,1202
809,MONUMENT AVE @ MGM CASINO,1173
1201,St George Blvd at Waterfront St,1171
452,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),1166
1231,Temple Hill Rd at Farmer Dr,1164
1186,Springhill Ln at Breezewood Ct,1158
84,42nd Ave at Madison St,1138
606,Greenbelt Rd at Opp. Greenbelt Center,1130
1294,Wmap Rd at Icesat Rd,1125
71,4112 Whitehall Square Apts,1122
1185,Springhill Dr at Springhill Ln,1120
841,Maxwell Dr at Morris Ave,1097
992,Piscataway Rd at Pella Place,1094
368,Brinkley Rd at Huntley Square Dr,1084
1213,Suitland Rd at Opposite Prem. #4211,1083
1251,Timothy Branch Drive @ Safeway,1081
504,County Rd at Elmhurst St,1069
98,5401 85th Ave,1064
169,Addison Rd at Adak St,1049
1073,Ritchie Station Court Bus Stop #1,1048
629,Hamilton St at 31st Ave - in,1041
745,Landover Metrorail Station,1022
736,Lamont Dr at Carrollton Pkwy,1021
340,Brightseat Rd at Ardwick-Ardmore Rd,1009
1173,Southern Ave at Wheeler Rd,1001
839,Mattowoman Beantown Rd at MTA Park and Ride Lot (Arrival),993
360,Brinkley Rd at Brinkley House W Ent,985
22,23rd Ave at Lewisdale Dr,973
1227,Temple Hill Rd at Allentown Rd,968
600,Greenbelt Metro Dr at Cherrywood Ln,968
1223,Takoma Langley Park Transit Center Bus Bay B,967
591,Good Luck Rd at Crest Park Dr,955
238,Ashwood Dr at Dunmore Pl,947
1187,Springhill Ln at Breezewood Dr,947
819,Marlboro Pike at County Rd,929
389,CAB - Arrival,922
541,Dunmore Pl at Edgeworth Dr,912
1254,Toledo Rd at Belcrest Rd,910
587,Goddard Space Flight Center Main Gate (Southbound),893
244,Auburn Ave at Chestnut Ave,892
203,Allentown Rd at Old Branch Ave,871
1210,Suitland Rd at 4412 Suitland Rd,867
1003,Queens Chapel Rd at Hamilton St,862
257,Baltimore Ave at Berwyn House Rd,860
79,4258 Whitehall Square Apts,853
864,Nalley Rd at Michele Ct,847
