,stop,boardings
168,Addison Rd Metrorail Station,20211
869,New Carrollton Station,17652
602,Greenbelt Metro Station Bus Bay A,17254
867,Naylor Rd Station Bay H,15365
1209,Suitland Metrorail Station Bay D,14046
854,Morgan Blvd Metro Station,12969
1287,West Hyattsville Station,11550
317,Branch Ave Station Bus Bay J,11071
508,Courthouse,10564
421,Capitol Heights Station Bay B,9741
781,Largo Town Center Station,9704
403,Campus Way South at College Station Dr (PGCC),8742
872,New Carrollton Station Bay F,8640
1152,Southern Ave Station Bay E,8419
477,Clinton Fringe Lot,8354
782,Largo Town Center Station at Bus Bay E,5992
1151,Southern Ave Metro Rail Station at Bus Bay F,5708
559,Equestrian Center Lot 4,5141
745,Landover Metrorail Station,5074
1223,Takoma Langley Park Transit Center Bus Bay B,4854
466,Cheverly Station Bay D,4749
409,Capitol Crossing Apts,4710
420,Capitol Heights Station,4582
478,Clinton Fringe Parking Lot,4571
744,Landover Mall,4249
620,Greenway Center,4045
701,Iverson Mall,4008
501,County Administration Building,3993
892,Old Branch Ave at Allentown Way,3934
1302,Woodyard Rd at Pine View Ln,3862
558,Equestrian Center Lot 3,3296
208,Allentown Rd at Temple Hill Rd,3213
480,College Park Metro Station at Bus Bay B,3156
837,Mattawoman Beantown Rd at Pinefield Center,3126
628,Hamilton St at 31st Ave,3126
79,4258 Whitehall Square Apts,3012
1029,Rhode Island (US RTE 1) at Mount Rainer Terminal,2909
502,County Courthouse,2883
1214,Suitland Rd at Shadyside Ave,2754
86,42nd Ave at Oglethorpe St,2509
1295,Woody Terrace at Woodyard Rd,2454
895,Old Branch Ave at Coventry Way,2388
965,PG Plaza Station,2363
288,Belcrest Rd at Opp. PG Plaza Station,2298
1119,SOUTHERN AVENUE METRO STATION & BUS BAY K,2285
652,Hanover Pkwy at Prem # 7800,2265
601,Greenbelt Metro Station (Arrival),2251
856,Motor Vehicle Administration,2191
1082,Riverdale Rd at 57th Ave,2169
972,PGCC Perimeter Rd at Largo Rd,2159
843,McCormick Dr at Basil Ct,2142
537,Donnell Dr at Pennsylvania Ave,2139
452,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),2093
573,Forestville Rd at Parston Dr,2089
290,Belcrest Rd at PG Plaza Metrorail,2051
197,Allentown Rd at Brinkley Rd,2042
465,Cheverly Metrorail Station Bay D,2025
873,New Carrollton Station Bay K,2023
850,Mercantile Ln at Technology Way,2011
1060,Ritchie Rd at Forest Park Dr,1998
973,Padgett's Corner,1991
532,Doctors Community Hospital,1966
987,Piscataway Rd at Absher Ln,1964
819,Marlboro Pike at County Rd,1933
386,Brooks Dr at Pennsylvania Ave,1917
595,Good Luck Rd at Parkdale HS,1899
481,College Park Station,1830
964,PG Plaza,1826
1161,Southern Ave at Chesapeake St SE,1768
904,Old Marlboro Pike at John Rogers Blvd,1765
522,Denise Dr at Dutton Way,1735
582,Garrett A. Morgan Blvd at Morgan Blvd Station,1710
1094,Riverdale Rd at Heritage Square Apts,1671
920,Old Silver Hill Rd at Library,1615
1188,Springhill Ln at Market Ln,1572
1147,Silver Hill Rd at Pennsylvania Ave,1561
181,Addison Rd at Walker Mill Rd,1557
