route,stops,early,on_time,late,total,early %,on_time %,late %
55,N WASHINGTON ST & DAWSON AVE,11.0,186.0,8.0,205.0,0.05,0.91,0.04
55,FREDERICK RD & GERMANTOWN RD,8.0,94.0,5.0,107.0,0.07,0.88,0.05
55,FREDERICK RD & MIDDLEBROOK RD,22.0,161.0,1.0,184.0,0.12,0.88,0.01
55,HUNGERFORD DR & N CAMPUS DR,3.0,118.0,15.0,136.0,0.02,0.87,0.11
55,N WASHINGTON ST & MIDDLE LN,8.0,73.0,4.0,85.0,0.09,0.86,0.05
55,FREDERICK RD & ARCHDALE RD,35.0,310.0,21.0,366.0,0.1,0.85,0.06
55,N WASHINGTON ST & BEALL AVE,23.0,157.0,6.0,186.0,0.12,0.84,0.03
55,FREDERICK RD & MIDWAY CENTER,12.0,130.0,19.0,161.0,0.07,0.81,0.12
55,S FREDERICK AVE & CENTRAL AVE,4.0,73.0,14.0,91.0,0.04,0.8,0.15
55,E MIDDLE LN & MARYLAND AVE,79.0,448.0,30.0,557.0,0.14,0.8,0.05
55,FREDERICK RD & HIGH POINT DR,8.0,66.0,9.0,83.0,0.1,0.8,0.11
55,HUNGERFORD DR & FREDERICK AVE,63.0,677.0,108.0,848.0,0.07,0.8,0.13
55,FREDERICK RD & @15,2.0,7.0,0.0,9.0,0.22,0.78,0.0
55,FREDERICK RD & OXBRIDGE DR,95.0,542.0,69.0,706.0,0.13,0.77,0.1
55,ODENDHAL AVE & LOST KNIFE RD,1.0,25.0,7.0,33.0,0.03,0.76,0.21
55,TRAVIS AVE & TRAVIS VIEW CT,50.0,226.0,20.0,296.0,0.17,0.76,0.07
55,LOST KNIFE RD & MONTGOMERY VILLAGE,66.0,231.0,13.0,310.0,0.21,0.75,0.04
55,FREDERICK RD & @15501,1.0,21.0,6.0,28.0,0.04,0.75,0.21
55,FREDERICK RD & SHADY GROVE RD,91.0,627.0,120.0,838.0,0.11,0.75,0.14
55,N WASHINGTON ST & MARTINS LN,16.0,95.0,18.0,129.0,0.12,0.74,0.14
55,FREDERICK RD & INDIANOLA DR,10.0,55.0,10.0,75.0,0.13,0.73,0.13
55,FREDERICK RD & PLUMMER DR,98.0,391.0,47.0,536.0,0.18,0.73,0.09
55,FREDERICK RD & APPLEDOWRE WAY,157.0,709.0,110.0,976.0,0.16,0.73,0.11
55,S FREDERICK AVE & S WESTLAND DR,47.0,301.0,71.0,419.0,0.11,0.72,0.17
55,FREDERICK RD & COLLEGE PKWY,78.0,342.0,53.0,473.0,0.16,0.72,0.11
55,E MIDDLE LN & MONROE ST,38.0,217.0,45.0,300.0,0.13,0.72,0.15
55,HUNGERFORD DR & MANNAKEE ST,2.0,71.0,27.0,100.0,0.02,0.71,0.27
55,CHRISTOPHER AVE & RUSSELL AVE,95.0,378.0,61.0,534.0,0.18,0.71,0.11
55,FREDERICK RD & GUDE DR,17.0,110.0,29.0,156.0,0.11,0.71,0.19
