,stops,alightings
116,ROCKVILLE STATION  & BAY A - WEST,14255.0
40,GERMANTOWN TRANSIT CENTER  & BAY B,9042.0
134,SHADY GROVE STATION  & BAY C - EAST,8632.0
48,LAKEFOREST TRANSIT CENTER  & ODENDH,8520.0
140,TWINBROOK STATION  & BAY A - WEST,8265.0
55,MEDICAL CENTER STATION  & BAY D,7078.0
119,S CAMPUS DR & CAMPUS DR,6046.0
93,ROCKVILLE PIKE & MARINELLI RD,4999.0
81,ROCKVILLE PIKE & EDMONSTON DR,4216.0
44,HUNGERFORD DR & FREDERICK AVE,3423.0
68,ODENDHAL AVE & FREDERICK AVE,3235.0
141,UNKNOWN,3172.0
79,ROCKVILLE PIKE & CONGRESSIONAL LN,2909.0
23,FREDERICK RD & GUNNERS BRANCH RD,2254.0
75,ROCKVILLE PIKE & BOU AVE,2247.0
104,ROCKVILLE PIKE & ROLLINS AVE,2225.0
102,ROCKVILLE PIKE & RANDOLPH RD,2173.0
91,ROCKVILLE PIKE & HUBBARD DR,1878.0
41,GROSVENOR STATION  & BAY E,1774.0
56,MONROE ST & MONROE PL,1723.0
112,ROCKVILLE PIKE & TUCKERMAN LN,1690.0
109,ROCKVILLE PIKE & TALBOTT ST,1537.0
35,FREDERICK RD & SHADY GROVE RD,1414.0
101,ROCKVILLE PIKE & POOKS HILL RD,1387.0
64,N WASHINGTON ST & DAWSON AVE,1324.0
70,ODENDHAL AVE & RUSSELL AVE,1241.0
110,ROCKVILLE PIKE & TEMPLETON PL,1239.0
99,ROCKVILLE PIKE & OLD GEORGETOWN RD,1211.0
42,HALPINE RD & ROCKVILLE PIKE,1208.0
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,1150.0
65,N WASHINGTON ST & MARTINS LN,1122.0
63,N WASHINGTON ST & BEALL AVE,1089.0
76,ROCKVILLE PIKE & BOUIC AVE,1053.0
129,S FREDERICK AVE & SUMMIT AVE,1050.0
96,ROCKVILLE PIKE & NICHOLSON LN,1043.0
124,S FREDERICK AVE & EDUCATION BLVD,1027.0
57,N FREDERICK AVE & BROOKS AVE,1016.0
97,ROCKVILLE PIKE & NORTH DR,1015.0
94,ROCKVILLE PIKE & MT VERNON PL,1001.0
83,ROCKVILLE PIKE & EXECUTIVE BLVD,988.0
67,OBSERVATION DR & MONTGOMERY COLLEGE,974.0
20,FREDERICK RD & COLLEGE PKWY,959.0
54,MANNAKEE ST & HUNGERFORD DR,948.0
18,FREDERICK RD & APPLEDOWRE WAY,946.0
5,CHRISTOPHER AVE & RUSSELL AVE,930.0
34,FREDERICK RD & SCENERY DR,893.0
88,ROCKVILLE PIKE & HALPINE RD,890.0
60,N FREDERICK AVE & MONTGOMERY AVE,885.0
31,FREDERICK RD & OXBRIDGE DR,885.0
136,TRAVIS AVE & TRAVIS LN,871.0
84,ROCKVILLE PIKE & FIRST ST,830.0
100,ROCKVILLE PIKE & PIKE CENTER,828.0
128,S FREDERICK AVE & S WESTLAND DR,792.0
61,N FREDERICK AVE & PROFESSIONAL DR,784.0
66,N WASHINGTON ST & MIDDLE LN,743.0
50,LOST KNIFE RD & CONTOUR RD,724.0
106,ROCKVILLE PIKE & SECURITY LN,722.0
33,FREDERICK RD & REDLAND RD,686.0
115,ROCKVILLE PIKE & WOOTTON PKWY,650.0
127,S FREDERICK AVE & ROSEMONT DR,615.0
111,ROCKVILLE PIKE & THOMPSON AVE,582.0
120,S FREDERICK AVE & CEDAR AVE,564.0
14,E MIDDLE LN & WASHINGTON ST,563.0
6,CHRISTOPHER AVE & VILLAGE OVERLOOK,559.0
80,ROCKVILLE PIKE & COUNTRY CLUB RD,556.0
62,N FREDERICK AVE & WHETSTONE DR,525.0
27,FREDERICK RD & MAGNOLIA DR,522.0
7,CONTOUR RD & HORIZON RUN RD,512.0
51,LOST KNIFE RD & MONTGOMERY VILLAGE,512.0
114,ROCKVILLE PIKE & WOODMONT STATION,511.0
32,FREDERICK RD & PLUMMER DR,506.0
71,ROCKVILLE PIKE & @1001,491.0
122,S FREDERICK AVE & DEER PARK DR,479.0
105,ROCKVILLE PIKE & ROSE AVE,475.0
59,N FREDERICK AVE & MARYLAND AVE,460.0
58,N FREDERICK AVE & CHESTNUT ST,450.0
95,ROCKVILLE PIKE & NEW ST,437.0
3,CHRISTOPHER AVE & HELLINGLY PL,415.0
125,S FREDERICK AVE & N WESTLAND DR,369.0
11,E JEFFERSON ST & MARYLAND AVE,350.0
131,S FREDERICK AVE & WESTLAND DR,341.0
132,S WASHINGTON ST & COURT HOUSE SQ,340.0
13,E MIDDLE LN & MONROE ST,330.0
49,LOST KNIFE RD & CIDER MILL APTS,323.0
89,ROCKVILLE PIKE & HILLERY WAY,312.0
137,TRAVIS AVE & TRAVIS VIEW CT,304.0
22,FREDERICK RD & GUDE DR,299.0
108,ROCKVILLE PIKE & STRATHMORE AVE,292.0
26,FREDERICK RD & INDIANOLA DR,291.0
103,ROCKVILLE PIKE & RICHARD MONTGOMERY,284.0
138,TRAVIS AVE & WATKINS MILL RD,262.0
123,S FREDERICK AVE & DEER PARK RD,260.0
90,ROCKVILLE PIKE & HOYA ST,256.0
52,MANNAKEE ST & CAMPUS (E) DR,252.0
17,FREDERICK RD & @20010,242.0
139,TUCKERMAN LN & ROCKVILLE PIKE,239.0
8,CONTOUR RD & LOST KNIFE RD,226.0
118,RUSSELL AVE & WATKINS MILL RD,222.0
28,FREDERICK RD & MIDDLEBROOK RD,209.0
126,S FREDERICK AVE & O'NEILL DR,206.0
73,ROCKVILLE PIKE & BELLEVUE DR,201.0
1,CHRISTOPHER AVE & FEATHERTREE WAY,195.0
9,CONTOUR RD & ODENDHAL AVE,186.0
78,ROCKVILLE PIKE & CEDAR LN,177.0
46,HUNGERFORD DR & N CAMPUS DR,167.0
10,CONTOUR RD & TUNSTALL DR,166.0
117,RUSSELL AVE & CHRISTOPHER AVE,155.0
45,HUNGERFORD DR & MANNAKEE ST,154.0
135,SOMERVILLE DR & REDLAND RD,153.0
47,KING FARM BLVD & FREDERICK RD,152.0
30,FREDERICK RD & NEELSVILLE CHURCH RD,150.0
86,ROCKVILLE PIKE & GROSVENOR LN,150.0
24,FREDERICK RD & GUNNERS DR,149.0
113,ROCKVILLE PIKE & WICKSHIRE WAY,139.0
37,FREDERICK RD & WHEATFIELD DR,128.0
29,FREDERICK RD & MIDWAY CENTER,113.0
74,ROCKVILLE PIKE & BETH MED PRK DR,100.0
133,S WASHINGTON ST & MONTGOMERY AVE,99.0
2,CHRISTOPHER AVE & GALLOP HILL RD,97.0
12,E MIDDLE LN & MARYLAND AVE,97.0
77,ROCKVILLE PIKE & BROAD BROOK DR,88.0
36,FREDERICK RD & WATKINS POND BLVD,85.0
38,GERMANTOWN RD & GOLDENROD LN,85.0
85,ROCKVILLE PIKE & FLANDERS AVE,83.0
19,FREDERICK RD & ARCHDALE RD,79.0
16,FREDERICK RD & @15501,77.0
25,FREDERICK RD & HIGH POINT DR,76.0
72,ROCKVILLE PIKE & ALTA VISTA RD,72.0
21,FREDERICK RD & GERMANTOWN RD,64.0
82,ROCKVILLE PIKE & ELSMERE AVE,61.0
121,S FREDERICK AVE & CENTRAL AVE,58.0
15,FREDERICK RD & @15,42.0
130,S FREDERICK AVE & VIRGINIA DR,35.0
39,GERMANTOWN RD & OBSERVATION DR,29.0
69,ODENDHAL AVE & LOST KNIFE RD,28.0
107,ROCKVILLE PIKE & SOUTH WOOD RD,27.0
53,MANNAKEE ST & CAMPUS DR,26.0
98,ROCKVILLE PIKE & NORTH WOOD DR,25.0
0,CHAPMAN AVE & BOUIC AVE,25.0
87,ROCKVILLE PIKE & GROSVENOR STATION,22.0
92,ROCKVILLE PIKE & LOCUST HILL RD,12.0
43,HUNGERFORD DR & @700,3.0
