,hour,route_id,boardings,alightings
33,13,46,9627.0,8758.0
36,14,46,9610.0,9915.0
30,12,46,8276.0,7278.0
24,10,46,7758.0,7144.0
39,15,46,7387.0,7322.0
27,11,46,7187.0,7466.0
42,16,46,7141.0,7138.0
21,9,46,7129.0,6278.0
37,14,55,5445.0,5156.0
43,16,55,5132.0,5452.0
34,13,55,4999.0,4628.0
45,17,46,4949.0,5435.0
40,15,55,4667.0,4555.0
22,9,55,4596.0,4040.0
28,11,55,4436.0,4104.0
13,6,55,4242.0,3153.0
10,5,55,4241.0,1841.0
15,7,46,4119.0,4091.0
18,8,46,3965.0,3687.0
48,18,46,3783.0,3902.0
31,12,55,3659.0,3489.0
25,10,55,2916.0,2721.0
54,20,46,2698.0,2414.0
11,5,100,2653.0,1923.0
51,19,46,2645.0,2693.0
14,6,100,2571.0,2846.0
12,6,46,2560.0,2195.0
57,21,46,2295.0,2570.0
44,16,100,2292.0,2064.0
16,7,55,2287.0,2066.0
47,17,100,2037.0,2039.0
41,15,100,1909.0,1606.0
35,13,100,1864.0,1494.0
38,14,100,1853.0,2658.0
9,5,46,1503.0,1106.0
60,22,46,1425.0,1261.0
46,17,55,1397.0,1378.0
7,4,55,1339.0,290.0
19,8,55,1312.0,1183.0
8,4,100,1227.0,814.0
49,18,55,959.0,1107.0
26,10,100,893.0,361.0
55,20,55,843.0,830.0
63,23,46,808.0,997.0
17,7,100,689.0,526.0
32,12,100,570.0,123.0
52,19,55,566.0,644.0
20,8,100,470.0,389.0
23,9,100,383.0,432.0
50,18,100,355.0,508.0
53,19,100,349.0,354.0
58,21,55,260.0,343.0
56,20,100,200.0,136.0
61,22,55,155.0,256.0
64,23,55,144.0,185.0
0,0,46,120.0,185.0
29,11,100,115.0,122.0
59,21,100,61.0,93.0
6,4,46,50.0,9.0
62,22,100,11.0,10.0
4,1,100,8.0,6.0
65,23,100,4.0,1.0
1,0,55,3.0,10.0
3,1,46,3.0,4.0
5,3,55,0.0,0.0
2,0,100,0.0,0.0
