,stops,boardings
83,ROCKVILLE PIKE & EXECUTIVE BLVD,577.0
66,N WASHINGTON ST & MIDDLE LN,575.0
7,CONTOUR RD & HORIZON RUN RD,574.0
34,FREDERICK RD & SCENERY DR,560.0
58,N FREDERICK AVE & CHESTNUT ST,554.0
19,FREDERICK RD & ARCHDALE RD,530.0
84,ROCKVILLE PIKE & FIRST ST,530.0
54,MANNAKEE ST & HUNGERFORD DR,525.0
1,CHRISTOPHER AVE & FEATHERTREE WAY,520.0
120,S FREDERICK AVE & CEDAR AVE,518.0
51,LOST KNIFE RD & MONTGOMERY VILLAGE,460.0
95,ROCKVILLE PIKE & NEW ST,451.0
114,ROCKVILLE PIKE & WOODMONT STATION,450.0
131,S FREDERICK AVE & WESTLAND DR,437.0
137,TRAVIS AVE & TRAVIS VIEW CT,416.0
3,CHRISTOPHER AVE & HELLINGLY PL,414.0
13,E MIDDLE LN & MONROE ST,408.0
59,N FREDERICK AVE & MARYLAND AVE,405.0
74,ROCKVILLE PIKE & BETH MED PRK DR,403.0
107,ROCKVILLE PIKE & SOUTH WOOD RD,392.0
6,CHRISTOPHER AVE & VILLAGE OVERLOOK,389.0
9,CONTOUR RD & ODENDHAL AVE,384.0
111,ROCKVILLE PIKE & THOMPSON AVE,359.0
10,CONTOUR RD & TUNSTALL DR,343.0
98,ROCKVILLE PIKE & NORTH WOOD DR,340.0
17,FREDERICK RD & @20010,335.0
50,LOST KNIFE RD & CONTOUR RD,334.0
28,FREDERICK RD & MIDDLEBROOK RD,311.0
78,ROCKVILLE PIKE & CEDAR LN,301.0
80,ROCKVILLE PIKE & COUNTRY CLUB RD,249.0
127,S FREDERICK AVE & ROSEMONT DR,238.0
108,ROCKVILLE PIKE & STRATHMORE AVE,235.0
29,FREDERICK RD & MIDWAY CENTER,234.0
22,FREDERICK RD & GUDE DR,230.0
126,S FREDERICK AVE & O'NEILL DR,229.0
133,S WASHINGTON ST & MONTGOMERY AVE,224.0
138,TRAVIS AVE & WATKINS MILL RD,216.0
39,GERMANTOWN RD & OBSERVATION DR,202.0
27,FREDERICK RD & MAGNOLIA DR,197.0
46,HUNGERFORD DR & N CAMPUS DR,193.0
36,FREDERICK RD & WATKINS POND BLVD,186.0
11,E JEFFERSON ST & MARYLAND AVE,185.0
21,FREDERICK RD & GERMANTOWN RD,179.0
118,RUSSELL AVE & WATKINS MILL RD,153.0
121,S FREDERICK AVE & CENTRAL AVE,148.0
135,SOMERVILLE DR & REDLAND RD,144.0
45,HUNGERFORD DR & MANNAKEE ST,137.0
72,ROCKVILLE PIKE & ALTA VISTA RD,137.0
89,ROCKVILLE PIKE & HILLERY WAY,135.0
25,FREDERICK RD & HIGH POINT DR,134.0
37,FREDERICK RD & WHEATFIELD DR,131.0
53,MANNAKEE ST & CAMPUS DR,126.0
24,FREDERICK RD & GUNNERS DR,124.0
26,FREDERICK RD & INDIANOLA DR,122.0
86,ROCKVILLE PIKE & GROSVENOR LN,120.0
85,ROCKVILLE PIKE & FLANDERS AVE,117.0
73,ROCKVILLE PIKE & BELLEVUE DR,115.0
130,S FREDERICK AVE & VIRGINIA DR,109.0
82,ROCKVILLE PIKE & ELSMERE AVE,87.0
105,ROCKVILLE PIKE & ROSE AVE,84.0
42,HALPINE RD & ROCKVILLE PIKE,80.0
117,RUSSELL AVE & CHRISTOPHER AVE,67.0
87,ROCKVILLE PIKE & GROSVENOR STATION,55.0
113,ROCKVILLE PIKE & WICKSHIRE WAY,50.0
16,FREDERICK RD & @15501,43.0
77,ROCKVILLE PIKE & BROAD BROOK DR,43.0
69,ODENDHAL AVE & LOST KNIFE RD,38.0
30,FREDERICK RD & NEELSVILLE CHURCH RD,38.0
97,ROCKVILLE PIKE & NORTH DR,37.0
47,KING FARM BLVD & FREDERICK RD,37.0
52,MANNAKEE ST & CAMPUS (E) DR,35.0
132,S WASHINGTON ST & COURT HOUSE SQ,31.0
14,E MIDDLE LN & WASHINGTON ST,22.0
15,FREDERICK RD & @15,17.0
38,GERMANTOWN RD & GOLDENROD LN,14.0
139,TUCKERMAN LN & ROCKVILLE PIKE,6.0
43,HUNGERFORD DR & @700,6.0
92,ROCKVILLE PIKE & LOCUST HILL RD,0.0
0,CHAPMAN AVE & BOUIC AVE,0.0
