,stops,boardings
43,GERMANTOWN TRANSIT CENTER  & BAY B,5107
58,MEDICAL CENTER STATION  & BAY D,4735
128,S CAMPUS DR & CAMPUS DR,4357
124,ROCKVILLE STATION  & BAY A - WEST,4222
157,TWINBROOK STATION  & BAY A - WEST,2388
125,ROCKVILLE STATION  & BAY B - WEST,2369
158,UNKNOWN,2275
145,SHADY GROVE STATION  & BAY C - EAST,1990
51,LAKEFOREST TRANSIT CENTER  & ODENDH,1972
144,SHADY GROVE STATION  & BAY A - WEST,1773
101,ROCKVILLE PIKE & MARINELLI RD,1571
89,ROCKVILLE PIKE & EDMONSTON DR,1275
151,SHAKESPEARE BLVD & OBSERVATION DR,849
47,HUNGERFORD DR & FREDERICK AVE,779
110,ROCKVILLE PIKE & RANDOLPH RD,738
120,ROCKVILLE PIKE & TUCKERMAN LN,723
87,ROCKVILLE PIKE & CONGRESSIONAL LN,708
77,ODENDHAL AVE & FREDERICK AVE,699
96,ROCKVILLE PIKE & HALPINE RD,647
83,ROCKVILLE PIKE & BOU AVE,610
69,N WASHINGTON ST & DAWSON AVE,492
74,OBSERVATION DR & MONTGOMERY COLLEGE,469
133,S FREDERICK AVE & EDUCATION BLVD,445
109,ROCKVILLE PIKE & POOKS HILL RD,437
139,S FREDERICK AVE & SUMMIT AVE,430
59,MONROE ST & MONROE PL,418
24,FREDERICK RD & GUNNERS BRANCH RD,407
118,ROCKVILLE PIKE & TEMPLETON PL,392
111,ROCKVILLE PIKE & RICHARD MONTGOMERY,387
68,N WASHINGTON ST & BEALL AVE,370
70,N WASHINGTON ST & MARTINS LN,328
84,ROCKVILLE PIKE & BOUIC AVE,314
148,SHAKESPEARE BLVD & ETON MANOR DR,312
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,312
37,FREDERICK RD & SHADY GROVE RD,300
107,ROCKVILLE PIKE & OLD GEORGETOWN RD,296
112,ROCKVILLE PIKE & ROLLINS AVE,284
18,FREDERICK RD & APPLEDOWRE WAY,271
123,ROCKVILLE PIKE & WOOTTON PKWY,267
79,ROCKVILLE PIKE & @1001,262
114,ROCKVILLE PIKE & SECURITY LN,253
153,TRAVIS AVE & TRAVIS LN,253
117,ROCKVILLE PIKE & TALBOTT ST,248
67,N FREDERICK RD & GUNNERS BRANCH RD,244
135,S FREDERICK AVE & N WESTLAND DR,238
52,LOST KNIFE RD & CIDER MILL APTS,233
138,S FREDERICK AVE & S WESTLAND DR,216
8,CONTOUR RD & LOST KNIFE RD,214
5,CHRISTOPHER AVE & RUSSELL AVE,212
131,S FREDERICK AVE & DEER PARK DR,203
99,ROCKVILLE PIKE & HUBBARD DR,199
104,ROCKVILLE PIKE & NICHOLSON LN,199
32,FREDERICK RD & OXBRIDGE DR,196
20,FREDERICK RD & COLLEGE PKWY,194
102,ROCKVILLE PIKE & MT VERNON PL,194
63,N FREDERICK AVE & MONTGOMERY AVE,190
60,N FREDERICK AVE & BROOKS AVE,187
29,FREDERICK RD & MIDDLEBROOK RD,186
108,ROCKVILLE PIKE & PIKE CENTER,178
12,E MIDDLE LN & MARYLAND AVE,156
129,S FREDERICK AVE & CEDAR AVE,149
33,FREDERICK RD & PLUMMER DR,149
64,N FREDERICK AVE & PROFESSIONAL DR,148
2,CHRISTOPHER AVE & GALLOP HILL RD,147
91,ROCKVILLE PIKE & EXECUTIVE BLVD,147
98,ROCKVILLE PIKE & HOYA ST,143
75,OBSERVATION DR & OBSERVATION CT,141
92,ROCKVILLE PIKE & FIRST ST,139
36,FREDERICK RD & SCENERY DR,137
