,stops,boardings
134,S FREDERICK AVE & FULKS CORNER AVE,137
122,ROCKVILLE PIKE & WOODMONT STATION,136
71,N WASHINGTON ST & MIDDLE LN,130
150,SHAKESPEARE BLVD & MILESTONE PARK &,127
82,ROCKVILLE PIKE & BETH MED PRK DR,125
44,GROSVENOR STATION  & BAY E,122
61,N FREDERICK AVE & CHESTNUT ST,118
13,E MIDDLE LN & MONROE ST,116
132,S FREDERICK AVE & DEER PARK RD,115
147,SHAKESPEARE BLVD & AMBER RIDGE DR,114
78,ODENDHAL AVE & RUSSELL AVE,114
34,FREDERICK RD & REDLAND RD,108
115,ROCKVILLE PIKE & SOUTH WOOD RD,105
7,CONTOUR RD & HORIZON RUN RD,103
17,FREDERICK RD & @20010,102
106,ROCKVILLE PIKE & NORTH WOOD DR,101
22,FREDERICK RD & GERMANTOWN RD,101
3,CHRISTOPHER AVE & HELLINGLY PL,99
66,N FREDERICK AVE & WHETSTONE DR,99
57,MANNAKEE ST & HUNGERFORD DR,98
19,FREDERICK RD & ARCHDALE RD,97
154,TRAVIS AVE & TRAVIS VIEW CT,97
1,CHRISTOPHER AVE & FEATHERTREE WAY,96
54,LOST KNIFE RD & MONTGOMERY VILLAGE,95
10,CONTOUR RD & TUNSTALL DR,89
119,ROCKVILLE PIKE & THOMPSON AVE,84
9,CONTOUR RD & ODENDHAL AVE,82
103,ROCKVILLE PIKE & NEW ST,80
141,S FREDERICK AVE & WESTLAND DR,78
86,ROCKVILLE PIKE & CEDAR LN,75
88,ROCKVILLE PIKE & COUNTRY CLUB RD,72
155,TRAVIS AVE & WATKINS MILL RD,71
62,N FREDERICK AVE & MARYLAND AVE,68
152,SOMERVILLE DR & REDLAND RD,68
11,E JEFFERSON ST & MARYLAND AVE,68
94,ROCKVILLE PIKE & GROSVENOR LN,67
38,FREDERICK RD & SHAKESPEARE BLVD,63
113,ROCKVILLE PIKE & ROSE AVE,62
127,RUSSELL AVE & WATKINS MILL RD,59
160,WATKINS MILL RD & TRAVIS LN,58
143,S WASHINGTON ST & MONTGOMERY AVE,57
116,ROCKVILLE PIKE & STRATHMORE AVE,55
40,FREDERICK RD & WHEATFIELD DR,54
56,MANNAKEE ST & CAMPUS DR,54
149,SHAKESPEARE BLVD & FREDERICK RD,48
159,WATKINS MILL RD & TRAVIS AVE,47
80,ROCKVILLE PIKE & ALTA VISTA RD,47
137,S FREDERICK AVE & ROSEMONT DR,45
53,LOST KNIFE RD & CONTOUR RD,45
136,S FREDERICK AVE & O'NEILL DR,43
6,CHRISTOPHER AVE & VILLAGE OVERLOOK,42
49,HUNGERFORD DR & N CAMPUS DR,41
73,OBSERVATION DR & BOLAND FARM RD,40
25,FREDERICK RD & GUNNERS DR,37
23,FREDERICK RD & GUDE DR,37
65,N FREDERICK AVE & TRAVIS AVE,36
97,ROCKVILLE PIKE & HILLERY WAY,36
30,FREDERICK RD & MIDWAY CENTER,35
26,FREDERICK RD & HIGH POINT DR,34
130,S FREDERICK AVE & CENTRAL AVE,33
42,GERMANTOWN RD & OBSERVATION DR,31
48,HUNGERFORD DR & MANNAKEE ST,31
45,HALPINE RD & ROCKVILLE PIKE,30
39,FREDERICK RD & WATKINS POND BLVD,27
76,OBSERVATION DR & PANTHER RIDGE DR,26
35,FREDERICK RD & RIDGEMONT AVE,25
27,FREDERICK RD & INDIANOLA DR,24
81,ROCKVILLE PIKE & BELLEVUE DR,23
93,ROCKVILLE PIKE & FLANDERS AVE,23
28,FREDERICK RD & MAGNOLIA DR,22
140,S FREDERICK AVE & VIRGINIA DR,19
55,MANNAKEE ST & CAMPUS (E) DR,19
90,ROCKVILLE PIKE & ELSMERE AVE,18
126,RUSSELL AVE & CHRISTOPHER AVE,16
41,GERMANTOWN RD & GOLDENROD LN,15
21,FREDERICK RD & COLLINS DR,14
121,ROCKVILLE PIKE & WICKSHIRE WAY,14
95,ROCKVILLE PIKE & GROSVENOR STATION,13
156,TUCKERMAN LN & ROCKVILLE PIKE,11
16,FREDERICK RD & @15501,10
142,S WASHINGTON ST & COURT HOUSE SQ,8
50,KING FARM BLVD & FREDERICK RD,8
31,FREDERICK RD & NEELSVILLE CHURCH RD,7
72,OBSERVATION DR & @20457 (SENECA MEA,7
85,ROCKVILLE PIKE & BROAD BROOK DR,7
105,ROCKVILLE PIKE & NORTH DR,6
146,SHADYGROVE METRO LOT  & METRO LOT,5
14,E MIDDLE LN & WASHINGTON ST,2
46,HUNGERFORD DR & @700,2
15,FREDERICK RD & @15,2
100,ROCKVILLE PIKE & LOCUST HILL RD,2
0,CHAPMAN AVE & BOUIC AVE,1
