,stops,alightings
30,FREDERICK RD & MIDWAY CENTER,33
143,S WASHINGTON ST & MONTGOMERY AVE,32
126,RUSSELL AVE & CHRISTOPHER AVE,30
26,FREDERICK RD & HIGH POINT DR,28
159,WATKINS MILL RD & TRAVIS AVE,25
12,E MIDDLE LN & MARYLAND AVE,24
50,KING FARM BLVD & FREDERICK RD,24
82,ROCKVILLE PIKE & BETH MED PRK DR,23
19,FREDERICK RD & ARCHDALE RD,22
146,SHADYGROVE METRO LOT  & METRO LOT,22
80,ROCKVILLE PIKE & ALTA VISTA RD,21
49,HUNGERFORD DR & N CAMPUS DR,21
15,FREDERICK RD & @15,21
39,FREDERICK RD & WATKINS POND BLVD,21
2,CHRISTOPHER AVE & GALLOP HILL RD,20
73,OBSERVATION DR & BOLAND FARM RD,20
85,ROCKVILLE PIKE & BROAD BROOK DR,19
42,GERMANTOWN RD & OBSERVATION DR,19
21,FREDERICK RD & COLLINS DR,16
76,OBSERVATION DR & PANTHER RIDGE DR,16
31,FREDERICK RD & NEELSVILLE CHURCH RD,15
72,OBSERVATION DR & @20457 (SENECA MEA,14
115,ROCKVILLE PIKE & SOUTH WOOD RD,14
38,FREDERICK RD & SHAKESPEARE BLVD,13
16,FREDERICK RD & @15501,12
48,HUNGERFORD DR & MANNAKEE ST,12
41,GERMANTOWN RD & GOLDENROD LN,11
0,CHAPMAN AVE & BOUIC AVE,11
90,ROCKVILLE PIKE & ELSMERE AVE,9
140,S FREDERICK AVE & VIRGINIA DR,8
130,S FREDERICK AVE & CENTRAL AVE,7
106,ROCKVILLE PIKE & NORTH WOOD DR,6
95,ROCKVILLE PIKE & GROSVENOR STATION,5
100,ROCKVILLE PIKE & LOCUST HILL RD,4
46,HUNGERFORD DR & @700,2
56,MANNAKEE ST & CAMPUS DR,2
