,stops,boardings,alightings
58,MEDICAL CENTER STATION  & BAY D,4735,4578
43,GERMANTOWN TRANSIT CENTER  & BAY B,5107,4004
124,ROCKVILLE STATION  & BAY A - WEST,4222,3893
145,SHADY GROVE STATION  & BAY C - EAST,1990,3399
128,S CAMPUS DR & CAMPUS DR,4357,3007
158,UNKNOWN,2275,2606
157,TWINBROOK STATION  & BAY A - WEST,2388,2301
144,SHADY GROVE STATION  & BAY A - WEST,1773,2084
51,LAKEFOREST TRANSIT CENTER  & ODENDH,1972,2058
125,ROCKVILLE STATION  & BAY B - WEST,2369,1649
89,ROCKVILLE PIKE & EDMONSTON DR,1275,1348
101,ROCKVILLE PIKE & MARINELLI RD,1571,1224
151,SHAKESPEARE BLVD & OBSERVATION DR,849,1190
47,HUNGERFORD DR & FREDERICK AVE,779,864
87,ROCKVILLE PIKE & CONGRESSIONAL LN,708,775
77,ODENDHAL AVE & FREDERICK AVE,699,759
83,ROCKVILLE PIKE & BOU AVE,610,626
24,FREDERICK RD & GUNNERS BRANCH RD,407,559
112,ROCKVILLE PIKE & ROLLINS AVE,284,559
110,ROCKVILLE PIKE & RANDOLPH RD,738,556
149,SHAKESPEARE BLVD & FREDERICK RD,48,513
99,ROCKVILLE PIKE & HUBBARD DR,199,485
120,ROCKVILLE PIKE & TUCKERMAN LN,723,450
69,N WASHINGTON ST & DAWSON AVE,492,432
68,N WASHINGTON ST & BEALL AVE,370,418
59,MONROE ST & MONROE PL,418,411
118,ROCKVILLE PIKE & TEMPLETON PL,392,403
109,ROCKVILLE PIKE & POOKS HILL RD,437,388
44,GROSVENOR STATION  & BAY E,122,388
117,ROCKVILLE PIKE & TALBOTT ST,248,383
70,N WASHINGTON ST & MARTINS LN,328,350
113,ROCKVILLE PIKE & ROSE AVE,62,335
84,ROCKVILLE PIKE & BOUIC AVE,314,309
37,FREDERICK RD & SHADY GROVE RD,300,297
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,312,285
45,HALPINE RD & ROCKVILLE PIKE,30,277
91,ROCKVILLE PIKE & EXECUTIVE BLVD,147,270
150,SHAKESPEARE BLVD & MILESTONE PARK &,127,264
102,ROCKVILLE PIKE & MT VERNON PL,194,262
105,ROCKVILLE PIKE & NORTH DR,6,247
5,CHRISTOPHER AVE & RUSSELL AVE,212,242
96,ROCKVILLE PIKE & HALPINE RD,647,235
60,N FREDERICK AVE & BROOKS AVE,187,235
133,S FREDERICK AVE & EDUCATION BLVD,445,235
18,FREDERICK RD & APPLEDOWRE WAY,271,231
123,ROCKVILLE PIKE & WOOTTON PKWY,267,228
74,OBSERVATION DR & MONTGOMERY COLLEGE,469,221
153,TRAVIS AVE & TRAVIS LN,253,220
92,ROCKVILLE PIKE & FIRST ST,139,215
139,S FREDERICK AVE & SUMMIT AVE,430,212
104,ROCKVILLE PIKE & NICHOLSON LN,199,211
20,FREDERICK RD & COLLEGE PKWY,194,211
64,N FREDERICK AVE & PROFESSIONAL DR,148,205
108,ROCKVILLE PIKE & PIKE CENTER,178,203
114,ROCKVILLE PIKE & SECURITY LN,253,201
57,MANNAKEE ST & HUNGERFORD DR,98,200
32,FREDERICK RD & OXBRIDGE DR,196,197
63,N FREDERICK AVE & MONTGOMERY AVE,190,194
78,ODENDHAL AVE & RUSSELL AVE,114,187
53,LOST KNIFE RD & CONTOUR RD,45,185
29,FREDERICK RD & MIDDLEBROOK RD,186,185
154,TRAVIS AVE & TRAVIS VIEW CT,97,182
34,FREDERICK RD & REDLAND RD,108,177
119,ROCKVILLE PIKE & THOMPSON AVE,84,171
6,CHRISTOPHER AVE & VILLAGE OVERLOOK,42,167
138,S FREDERICK AVE & S WESTLAND DR,216,163
71,N WASHINGTON ST & MIDDLE LN,130,160
36,FREDERICK RD & SCENERY DR,137,160
103,ROCKVILLE PIKE & NEW ST,80,159
79,ROCKVILLE PIKE & @1001,262,148
33,FREDERICK RD & PLUMMER DR,149,145
134,S FREDERICK AVE & FULKS CORNER AVE,137,142
61,N FREDERICK AVE & CHESTNUT ST,118,136
