,stops,alightings
116,ROCKVILLE PIKE & STRATHMORE AVE,199
15,FREDERICK RD & @15,180
73,OBSERVATION DR & BOLAND FARM RD,171
72,OBSERVATION DR & @20457 (SENECA MEA,155
81,ROCKVILLE PIKE & BELLEVUE DR,153
25,FREDERICK RD & GUNNERS DR,151
93,ROCKVILLE PIKE & FLANDERS AVE,147
13,E MIDDLE LN & MONROE ST,145
74,OBSERVATION DR & MONTGOMERY COLLEGE,143
48,HUNGERFORD DR & MANNAKEE ST,131
111,ROCKVILLE PIKE & RICHARD MONTGOMERY,126
130,S FREDERICK AVE & CENTRAL AVE,124
31,FREDERICK RD & NEELSVILLE CHURCH RD,122
41,GERMANTOWN RD & GOLDENROD LN,122
94,ROCKVILLE PIKE & GROSVENOR LN,120
76,OBSERVATION DR & PANTHER RIDGE DR,114
49,HUNGERFORD DR & N CAMPUS DR,108
106,ROCKVILLE PIKE & NORTH WOOD DR,107
26,FREDERICK RD & HIGH POINT DR,103
12,E MIDDLE LN & MARYLAND AVE,97
40,FREDERICK RD & WHEATFIELD DR,85
82,ROCKVILLE PIKE & BETH MED PRK DR,83
38,FREDERICK RD & SHAKESPEARE BLVD,73
90,ROCKVILLE PIKE & ELSMERE AVE,69
80,ROCKVILLE PIKE & ALTA VISTA RD,62
140,S FREDERICK AVE & VIRGINIA DR,62
121,ROCKVILLE PIKE & WICKSHIRE WAY,60
21,FREDERICK RD & COLLINS DR,51
85,ROCKVILLE PIKE & BROAD BROOK DR,49
42,GERMANTOWN RD & OBSERVATION DR,49
113,ROCKVILLE PIKE & ROSE AVE,42
16,FREDERICK RD & @15501,37
143,S WASHINGTON ST & MONTGOMERY AVE,32
56,MANNAKEE ST & CAMPUS DR,30
115,ROCKVILLE PIKE & SOUTH WOOD RD,20
0,CHAPMAN AVE & BOUIC AVE,11
46,HUNGERFORD DR & @700,8
100,ROCKVILLE PIKE & LOCUST HILL RD,5
