,stops,boardings
43,GERMANTOWN TRANSIT CENTER  & BAY B,30980
58,MEDICAL CENTER STATION  & BAY D,24992
125,ROCKVILLE STATION  & BAY B - WEST,22126
51,LAKEFOREST TRANSIT CENTER  & ODENDH,18238
124,ROCKVILLE STATION  & BAY A - WEST,16682
144,SHADY GROVE STATION  & BAY A - WEST,15581
157,TWINBROOK STATION  & BAY A - WEST,9320
145,SHADY GROVE STATION  & BAY C - EAST,8597
151,SHAKESPEARE BLVD & OBSERVATION DR,8508
158,UNKNOWN,8414
128,S CAMPUS DR & CAMPUS DR,6879
101,ROCKVILLE PIKE & MARINELLI RD,5871
89,ROCKVILLE PIKE & EDMONSTON DR,5737
77,ODENDHAL AVE & FREDERICK AVE,5546
47,HUNGERFORD DR & FREDERICK AVE,4688
37,FREDERICK RD & SHADY GROVE RD,3526
24,FREDERICK RD & GUNNERS BRANCH RD,3260
120,ROCKVILLE PIKE & TUCKERMAN LN,3006
96,ROCKVILLE PIKE & HALPINE RD,2888
87,ROCKVILLE PIKE & CONGRESSIONAL LN,2739
69,N WASHINGTON ST & DAWSON AVE,2697
110,ROCKVILLE PIKE & RANDOLPH RD,2683
83,ROCKVILLE PIKE & BOU AVE,2323
5,CHRISTOPHER AVE & RUSSELL AVE,2193
135,S FREDERICK AVE & N WESTLAND DR,2151
18,FREDERICK RD & APPLEDOWRE WAY,2149
67,N FREDERICK RD & GUNNERS BRANCH RD,2090
63,N FREDERICK AVE & MONTGOMERY AVE,2081
148,SHAKESPEARE BLVD & ETON MANOR DR,2056
139,S FREDERICK AVE & SUMMIT AVE,1985
153,TRAVIS AVE & TRAVIS LN,1948
60,N FREDERICK AVE & BROOKS AVE,1875
133,S FREDERICK AVE & EDUCATION BLVD,1726
32,FREDERICK RD & OXBRIDGE DR,1720
68,N WASHINGTON ST & BEALL AVE,1558
64,N FREDERICK AVE & PROFESSIONAL DR,1547
109,ROCKVILLE PIKE & POOKS HILL RD,1530
29,FREDERICK RD & MIDDLEBROOK RD,1520
59,MONROE ST & MONROE PL,1514
84,ROCKVILLE PIKE & BOUIC AVE,1482
138,S FREDERICK AVE & S WESTLAND DR,1463
79,ROCKVILLE PIKE & @1001,1453
8,CONTOUR RD & LOST KNIFE RD,1383
112,ROCKVILLE PIKE & ROLLINS AVE,1330
20,FREDERICK RD & COLLEGE PKWY,1318
70,N WASHINGTON ST & MARTINS LN,1317
107,ROCKVILLE PIKE & OLD GEORGETOWN RD,1305
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,1268
147,SHAKESPEARE BLVD & AMBER RIDGE DR,1266
52,LOST KNIFE RD & CIDER MILL APTS,1236
78,ODENDHAL AVE & RUSSELL AVE,1184
131,S FREDERICK AVE & DEER PARK DR,1179
104,ROCKVILLE PIKE & NICHOLSON LN,1175
61,N FREDERICK AVE & CHESTNUT ST,1144
134,S FREDERICK AVE & FULKS CORNER AVE,1129
34,FREDERICK RD & REDLAND RD,1109
44,GROSVENOR STATION  & BAY E,1094
150,SHAKESPEARE BLVD & MILESTONE PARK &,1084
118,ROCKVILLE PIKE & TEMPLETON PL,1077
19,FREDERICK RD & ARCHDALE RD,1067
117,ROCKVILLE PIKE & TALBOTT ST,1055
129,S FREDERICK AVE & CEDAR AVE,1054
123,ROCKVILLE PIKE & WOOTTON PKWY,1047
54,LOST KNIFE RD & MONTGOMERY VILLAGE,1037
33,FREDERICK RD & PLUMMER DR,1036
98,ROCKVILLE PIKE & HOYA ST,1035
114,ROCKVILLE PIKE & SECURITY LN,1009
132,S FREDERICK AVE & DEER PARK RD,1000
154,TRAVIS AVE & TRAVIS VIEW CT,987
102,ROCKVILLE PIKE & MT VERNON PL,973
2,CHRISTOPHER AVE & GALLOP HILL RD,874
36,FREDERICK RD & SCENERY DR,819
62,N FREDERICK AVE & MARYLAND AVE,802
99,ROCKVILLE PIKE & HUBBARD DR,790
141,S FREDERICK AVE & WESTLAND DR,783
