,stops,boardings,alightings
23,FREDERICK RD & GUDE DR,278,518
57,MANNAKEE ST & HUNGERFORD DR,257,345
11,E JEFFERSON ST & MARYLAND AVE,256,402
136,S FREDERICK AVE & O'NEILL DR,236,550
28,FREDERICK RD & MAGNOLIA DR,224,767
41,GERMANTOWN RD & GOLDENROD LN,220,122
39,FREDERICK RD & WATKINS POND BLVD,218,290
27,FREDERICK RD & INDIANOLA DR,202,374
116,ROCKVILLE PIKE & STRATHMORE AVE,201,199
86,ROCKVILLE PIKE & CEDAR LN,198,266
65,N FREDERICK AVE & TRAVIS AVE,189,328
88,ROCKVILLE PIKE & COUNTRY CLUB RD,188,321
140,S FREDERICK AVE & VIRGINIA DR,178,62
73,OBSERVATION DR & BOLAND FARM RD,175,171
76,OBSERVATION DR & PANTHER RIDGE DR,173,114
48,HUNGERFORD DR & MANNAKEE ST,159,131
143,S WASHINGTON ST & MONTGOMERY AVE,145,32
42,GERMANTOWN RD & OBSERVATION DR,143,49
40,FREDERICK RD & WHEATFIELD DR,137,85
94,ROCKVILLE PIKE & GROSVENOR LN,129,120
25,FREDERICK RD & GUNNERS DR,125,151
126,RUSSELL AVE & CHRISTOPHER AVE,122,287
50,KING FARM BLVD & FREDERICK RD,122,409
146,SHADYGROVE METRO LOT  & METRO LOT,118,305
103,ROCKVILLE PIKE & NEW ST,110,244
26,FREDERICK RD & HIGH POINT DR,102,103
74,OBSERVATION DR & MONTGOMERY COLLEGE,95,143
93,ROCKVILLE PIKE & FLANDERS AVE,89,147
121,ROCKVILLE PIKE & WICKSHIRE WAY,89,60
81,ROCKVILLE PIKE & BELLEVUE DR,85,153
80,ROCKVILLE PIKE & ALTA VISTA RD,80,62
72,OBSERVATION DR & @20457 (SENECA MEA,77,155
49,HUNGERFORD DR & N CAMPUS DR,76,108
45,HALPINE RD & ROCKVILLE PIKE,76,1175
56,MANNAKEE ST & CAMPUS DR,75,30
21,FREDERICK RD & COLLINS DR,73,51
16,FREDERICK RD & @15501,66,37
14,E MIDDLE LN & WASHINGTON ST,65,1094
97,ROCKVILLE PIKE & HILLERY WAY,60,283
105,ROCKVILLE PIKE & NORTH DR,45,1175
90,ROCKVILLE PIKE & ELSMERE AVE,42,69
15,FREDERICK RD & @15,40,180
85,ROCKVILLE PIKE & BROAD BROOK DR,28,49
100,ROCKVILLE PIKE & LOCUST HILL RD,27,5
156,TUCKERMAN LN & ROCKVILLE PIKE,16,288
142,S WASHINGTON ST & COURT HOUSE SQ,15,220
31,FREDERICK RD & NEELSVILLE CHURCH RD,14,122
113,ROCKVILLE PIKE & ROSE AVE,14,42
46,HUNGERFORD DR & @700,10,8
0,CHAPMAN AVE & BOUIC AVE,4,11
