,stops,route,early,on_time,late
102,ROCKVILLE PIKE & GROSVENOR LN,46,39,68,6
103,ROCKVILLE PIKE & GROSVENOR STATION,46,92,131,42
104,ROCKVILLE PIKE & HALPINE RD,46,599,1608,192
105,ROCKVILLE PIKE & HILLERY WAY,46,21,19,3
106,ROCKVILLE PIKE & HOYA ST,46,249,502,72
107,ROCKVILLE PIKE & HUBBARD DR,46,154,448,47
108,ROCKVILLE PIKE & LOCUST HILL RD,46,3,22,2
109,ROCKVILLE PIKE & MARINELLI RD,46,1222,3082,307
110,ROCKVILLE PIKE & MT VERNON PL,46,162,534,88
111,ROCKVILLE PIKE & NEW ST,46,15,36,11
112,ROCKVILLE PIKE & NICHOLSON LN,46,238,661,80
113,ROCKVILLE PIKE & NORTH DR,46,11,18,4
114,ROCKVILLE PIKE & NORTH WOOD DR,46,25,338,47
115,ROCKVILLE PIKE & OLD GEORGETOWN RD,46,220,845,64
116,ROCKVILLE PIKE & PIKE CENTER,46,130,436,45
117,ROCKVILLE PIKE & POOKS HILL RD,46,309,896,77
118,ROCKVILLE PIKE & RANDOLPH RD,46,627,1355,203
119,ROCKVILLE PIKE & RICHARD MONTGOMERY,46,36,213,17
120,ROCKVILLE PIKE & ROLLINS AVE,46,351,650,85
121,ROCKVILLE PIKE & ROSE AVE,46,2,3,0
122,ROCKVILLE PIKE & SECURITY LN,46,237,529,65
123,ROCKVILLE PIKE & SOUTH WOOD RD,46,24,460,72
124,ROCKVILLE PIKE & STRATHMORE AVE,46,51,99,12
125,ROCKVILLE PIKE & TALBOTT ST,46,244,518,75
126,ROCKVILLE PIKE & TEMPLETON PL,46,271,513,97
127,ROCKVILLE PIKE & THOMPSON AVE,46,115,244,30
128,ROCKVILLE PIKE & TUCKERMAN LN,46,646,1679,148
129,ROCKVILLE PIKE & WICKSHIRE WAY,46,36,33,0
130,ROCKVILLE PIKE & WOODMONT STATION,46,115,214,34
131,ROCKVILLE PIKE & WOOTTON PKWY,46,194,557,98
132,ROCKVILLE STATION  & BAY A - WEST,46,5169,14554,5137
133,ROCKVILLE STATION  & BAY B - WEST,55,8006,18733,11300
134,RUSSELL AVE & CHRISTOPHER AVE,55,42,56,12
135,RUSSELL AVE & WATKINS MILL RD,55,87,168,37
136,S CAMPUS DR & CAMPUS DR,46,1072,5136,2895
137,S CAMPUS DR & CAMPUS DR,55,103,424,171
138,S FREDERICK AVE & CEDAR AVE,55,371,453,170
139,S FREDERICK AVE & CENTRAL AVE,55,59,236,27
140,S FREDERICK AVE & DEER PARK DR,55,252,704,124
141,S FREDERICK AVE & DEER PARK RD,55,293,279,156
142,S FREDERICK AVE & EDUCATION BLVD,55,463,869,259
143,S FREDERICK AVE & FULKS CORNER AVE,55,264,528,180
144,S FREDERICK AVE & N WESTLAND DR,55,335,1424,181
145,S FREDERICK AVE & O'NEILL DR,55,57,68,30
146,S FREDERICK AVE & ROSEMONT DR,55,122,151,70
147,S FREDERICK AVE & S WESTLAND DR,55,177,1011,140
148,S FREDERICK AVE & SUMMIT AVE,55,523,1018,244
149,S FREDERICK AVE & VIRGINIA DR,55,37,74,25
150,S FREDERICK AVE & WESTLAND DR,55,244,300,135
151,S WASHINGTON ST & COURT HOUSE SQ,46,6,3,2
152,S WASHINGTON ST & MONTGOMERY AVE,46,34,74,16
153,SHADY GROVE STATION  & BAY A - WEST,55,5701,14303,6521
154,SHADY GROVE STATION  & BAY C - EAST,100,3076,7759,3885
155,SHADYGROVE METRO LOT  & METRO LOT,55,36,38,33
156,SHAKESPEARE BLVD & AMBER RIDGE DR,55,66,999,86
157,SHAKESPEARE BLVD & ETON MANOR DR,55,108,1646,115
158,SHAKESPEARE BLVD & FREDERICK RD,55,116,191,132
159,SHAKESPEARE BLVD & MILESTONE PARK &,55,252,344,273
160,SHAKESPEARE BLVD & OBSERVATION DR,55,1159,5373,1081
161,SOMERVILLE DR & REDLAND RD,55,80,116,49
162,TRAVIS AVE & TRAVIS LN,55,448,1085,200
163,TRAVIS AVE & TRAVIS VIEW CT,55,238,549,110
164,TRAVIS AVE & WATKINS MILL RD,55,76,196,55
165,TUCKERMAN LN & ROCKVILLE PIKE,46,6,2,0
166,TWINBROOK STATION  & BAY A - WEST,46,3828,6813,2603
167,WATKINS MILL RD & TRAVIS AVE,55,113,223,65
168,WATKINS MILL RD & TRAVIS LN,55,106,171,77
