,stops,route,early,on_time,late
130,RUSSELL AVE & WATKINS MILL RD,55,10,47,1
131,S CAMPUS DR & CAMPUS DR,46,1129,4221,745
132,S CAMPUS DR & CAMPUS DR,55,224,1260,569
133,S FREDERICK AVE & CEDAR AVE,55,42,75,12
134,S FREDERICK AVE & CENTRAL AVE,55,4,25,2
135,S FREDERICK AVE & DEER PARK DR,55,33,141,17
136,S FREDERICK AVE & DEER PARK RD,55,31,58,8
137,S FREDERICK AVE & EDUCATION BLVD,55,78,250,70
138,S FREDERICK AVE & FULKS CORNER AVE,55,31,76,12
139,S FREDERICK AVE & N WESTLAND DR,55,30,165,28
140,S FREDERICK AVE & O'NEILL DR,55,9,23,1
141,S FREDERICK AVE & ROSEMONT DR,55,4,28,5
142,S FREDERICK AVE & S WESTLAND DR,55,22,159,23
143,S FREDERICK AVE & SUMMIT AVE,55,82,248,55
144,S FREDERICK AVE & VIRGINIA DR,55,5,11,3
145,S FREDERICK AVE & WESTLAND DR,55,24,35,12
146,S WASHINGTON ST & COURT HOUSE SQ,46,3,4,0
147,S WASHINGTON ST & MONTGOMERY AVE,46,20,19,1
148,SHADY GROVE STATION  & BAY A - WEST,55,546,1685,850
149,SHADY GROVE STATION  & BAY C - EAST,100,897,2237,395
150,SHADYGROVE METRO LOT  & METRO LOT,55,0,2,1
151,SHAKESPEARE BLVD & AMBER RIDGE DR,55,12,80,9
152,SHAKESPEARE BLVD & ETON MANOR DR,55,43,231,13
153,SHAKESPEARE BLVD & FREDERICK RD,55,7,33,5
154,SHAKESPEARE BLVD & MILESTONE PARK &,55,30,59,14
155,SHAKESPEARE BLVD & OBSERVATION DR,55,108,554,90
156,SOMERVILLE DR & REDLAND RD,55,9,52,4
157,TRAVIS AVE & TRAVIS LN,55,54,146,33
158,TRAVIS AVE & TRAVIS VIEW CT,55,17,63,10
159,TRAVIS AVE & WATKINS MILL RD,55,18,32,14
160,TUCKERMAN LN & ROCKVILLE PIKE,46,1,6,1
161,TWINBROOK STATION  & BAY A - WEST,46,900,2049,922
162,WATKINS MILL RD & TRAVIS AVE,55,6,37,2
163,WATKINS MILL RD & TRAVIS LN,55,12,38,7
