,stops,route,early,on_time,late
86,ROCKVILLE PIKE & BETH MED PRK DR,46,130.0,223.0,30.0
87,ROCKVILLE PIKE & BOU AVE,46,781.0,1928.0,342.0
88,ROCKVILLE PIKE & BOUIC AVE,46,471.0,888.0,148.0
89,ROCKVILLE PIKE & BROAD BROOK DR,46,8.0,47.0,2.0
90,ROCKVILLE PIKE & CEDAR LN,46,66.0,312.0,23.0
91,ROCKVILLE PIKE & CONGRESSIONAL LN,46,918.0,1976.0,430.0
92,ROCKVILLE PIKE & COUNTRY CLUB RD,46,65.0,174.0,23.0
93,ROCKVILLE PIKE & EDMONSTON DR,46,1964.0,4033.0,638.0
94,ROCKVILLE PIKE & ELSMERE AVE,46,40.0,45.0,14.0
95,ROCKVILLE PIKE & EXECUTIVE BLVD,46,199.0,401.0,79.0
96,ROCKVILLE PIKE & FIRST ST,46,229.0,513.0,89.0
97,ROCKVILLE PIKE & FLANDERS AVE,46,60.0,106.0,5.0
98,ROCKVILLE PIKE & GROSVENOR LN,46,122.0,143.0,24.0
99,ROCKVILLE PIKE & GROSVENOR STATION,46,11.0,65.0,12.0
100,ROCKVILLE PIKE & HALPINE RD,46,948.0,2682.0,461.0
101,ROCKVILLE PIKE & HILLERY WAY,46,24.0,59.0,12.0
102,ROCKVILLE PIKE & HOYA ST,46,234.0,516.0,122.0
103,ROCKVILLE PIKE & HUBBARD DR,46,219.0,591.0,100.0
104,ROCKVILLE PIKE & LOCUST HILL RD,46,0.0,18.0,0.0
105,ROCKVILLE PIKE & MARINELLI RD,46,2357.0,5148.0,750.0
106,ROCKVILLE PIKE & MT VERNON PL,46,283.0,712.0,115.0
107,ROCKVILLE PIKE & NEW ST,46,124.0,259.0,116.0
108,ROCKVILLE PIKE & NICHOLSON LN,46,253.0,518.0,90.0
109,ROCKVILLE PIKE & NORTH DR,46,18.0,22.0,3.0
110,ROCKVILLE PIKE & NORTH WOOD DR,46,148.0,380.0,65.0
111,ROCKVILLE PIKE & OLD GEORGETOWN RD,46,369.0,1121.0,152.0
112,ROCKVILLE PIKE & PIKE CENTER,46,252.0,696.0,160.0
113,ROCKVILLE PIKE & POOKS HILL RD,46,600.0,1275.0,170.0
114,ROCKVILLE PIKE & RANDOLPH RD,46,891.0,1870.0,371.0
115,ROCKVILLE PIKE & RICHARD MONTGOMERY,46,425.0,1199.0,136.0
116,ROCKVILLE PIKE & ROLLINS AVE,46,440.0,1013.0,190.0
117,ROCKVILLE PIKE & ROSE AVE,46,68.0,184.0,29.0
118,ROCKVILLE PIKE & SECURITY LN,46,456.0,815.0,185.0
119,ROCKVILLE PIKE & SOUTH WOOD RD,46,72.0,445.0,38.0
120,ROCKVILLE PIKE & STRATHMORE AVE,46,87.0,161.0,21.0
121,ROCKVILLE PIKE & TALBOTT ST,46,384.0,778.0,112.0
122,ROCKVILLE PIKE & TEMPLETON PL,46,473.0,1113.0,225.0
123,ROCKVILLE PIKE & THOMPSON AVE,46,179.0,282.0,50.0
124,ROCKVILLE PIKE & TUCKERMAN LN,46,1333.0,2382.0,365.0
