route,stops,early,on_time,late,total,early %,on_time %,late %
55,OBSERVATION DR & MONTGOMERY COLLEGE,571.0,2173.0,1765.0,4509.0,0.13,0.48,0.39
55,MANNAKEE ST & CAMPUS DR,14.0,36.0,29.0,79.0,0.18,0.46,0.37
55,GERMANTOWN TRANSIT CENTER  & BAY B,243.0,269.0,80.0,592.0,0.41,0.45,0.14
55,KING FARM BLVD & FREDERICK RD,5.0,11.0,9.0,25.0,0.2,0.44,0.36
55,N FREDERICK AVE & TRAVIS AVE,1.0,4.0,4.0,9.0,0.11,0.44,0.44
55,E MIDDLE LN & WASHINGTON ST,8.0,22.0,24.0,54.0,0.15,0.41,0.44
55,SHAKESPEARE BLVD & MILESTONE PARK &,1.0,2.0,3.0,6.0,0.17,0.33,0.5
55,S FREDERICK AVE & FULKS CORNER AVE,11.0,7.0,6.0,24.0,0.46,0.29,0.25
55,WATKINS MILL RD & TRAVIS AVE,4.0,3.0,4.0,11.0,0.36,0.27,0.36
55,OBSERVATION DR & @20457 (SENECA MEA,0.0,0.0,1.0,1.0,0.0,0.0,1.0
