,route,boardings,alightings
0,Route 32,18084,18124
1,Route 16,16357,16497
2,Route 30,12575,12762
3,Route 33,11688,11723
4,Route 35,10281,10463
5,Route 17 (Route 1 Ride),10068,10176
6,Route 34,6971,6873
7,Route 26,6793,6816
8,Route 13,5963,5958
9,Route 36,5521,5484
10,Route 28,4304,4332
