,stops,boardings,alightings
159,WATKINS MILL RD & TRAVIS AVE,165,83
80,ROCKVILLE PIKE & ALTA VISTA RD,161,88
94,ROCKVILLE PIKE & GROSVENOR LN,159,181
137,S FREDERICK AVE & ROSEMONT DR,128,485
30,FREDERICK RD & MIDWAY CENTER,127,107
40,FREDERICK RD & WHEATFIELD DR,120,98
130,S FREDERICK AVE & CENTRAL AVE,119,63
49,HUNGERFORD DR & N CAMPUS DR,119,82
56,MANNAKEE ST & CAMPUS DR,119,16
136,S FREDERICK AVE & O'NEILL DR,119,134
26,FREDERICK RD & HIGH POINT DR,118,94
73,OBSERVATION DR & BOLAND FARM RD,116,70
42,GERMANTOWN RD & OBSERVATION DR,111,74
76,OBSERVATION DR & PANTHER RIDGE DR,106,49
48,HUNGERFORD DR & MANNAKEE ST,99,55
65,N FREDERICK AVE & TRAVIS AVE,98,142
152,SOMERVILLE DR & REDLAND RD,94,86
27,FREDERICK RD & INDIANOLA DR,87,180
121,ROCKVILLE PIKE & WICKSHIRE WAY,86,67
39,FREDERICK RD & WATKINS POND BLVD,84,67
35,FREDERICK RD & RIDGEMONT AVE,83,192
90,ROCKVILLE PIKE & ELSMERE AVE,79,53
93,ROCKVILLE PIKE & FLANDERS AVE,79,97
25,FREDERICK RD & GUNNERS DR,73,118
55,MANNAKEE ST & CAMPUS (E) DR,69,359
45,HALPINE RD & ROCKVILLE PIKE,62,1053
28,FREDERICK RD & MAGNOLIA DR,60,280
126,RUSSELL AVE & CHRISTOPHER AVE,57,91
16,FREDERICK RD & @15501,54,40
81,ROCKVILLE PIKE & BELLEVUE DR,54,198
140,S FREDERICK AVE & VIRGINIA DR,51,32
97,ROCKVILLE PIKE & HILLERY WAY,49,304
72,OBSERVATION DR & @20457 (SENECA MEA,46,74
21,FREDERICK RD & COLLINS DR,41,23
31,FREDERICK RD & NEELSVILLE CHURCH RD,38,57
41,GERMANTOWN RD & GOLDENROD LN,36,34
142,S WASHINGTON ST & COURT HOUSE SQ,34,294
85,ROCKVILLE PIKE & BROAD BROOK DR,29,113
