,route,boardings,alightings
0,Route 16,27335,26896
1,Route 32,26305,26788
2,Route 17 (Route 1 Ride),18910,18431
3,Route 35,17713,16943
4,Route 26,16562,16196
5,Route 30,16050,16347
6,Route 33,15885,16109
7,Route 13,10014,10034
8,Route 36,6645,6125
9,Route 34,5158,5297
10,Route 28,4752,4904
11,Route 51 Loop A,2452,2500
12,Route 51 Loop B,842,841
13,Route 51 Loop X,428,442
