,stops,boardings
139,SOMERVILLE DR & REDLAND RD,69.0
85,ROCKVILLE PIKE & FLANDERS AVE,64.0
45,HUNGERFORD DR & MANNAKEE ST,63.0
121,S FREDERICK AVE & CENTRAL AVE,61.0
131,S FREDERICK AVE & VIRGINIA DR,61.0
24,FREDERICK RD & GUNNERS DR,53.0
82,ROCKVILLE PIKE & ELSMERE AVE,51.0
86,ROCKVILLE PIKE & GROSVENOR LN,48.0
89,ROCKVILLE PIKE & HILLERY WAY,47.0
72,ROCKVILLE PIKE & ALTA VISTA RD,46.0
73,ROCKVILLE PIKE & BELLEVUE DR,40.0
117,RUSSELL AVE & CHRISTOPHER AVE,37.0
42,HALPINE RD & ROCKVILLE PIKE,32.0
52,MANNAKEE ST & CAMPUS (E) DR,31.0
87,ROCKVILLE PIKE & GROSVENOR STATION,30.0
38,GERMANTOWN RD & GOLDENROD LN,30.0
113,ROCKVILLE PIKE & WICKSHIRE WAY,25.0
133,S WASHINGTON ST & COURT HOUSE SQ,24.0
77,ROCKVILLE PIKE & BROAD BROOK DR,20.0
16,FREDERICK RD & @15501,19.0
69,ODENDHAL AVE & LOST KNIFE RD,15.0
97,ROCKVILLE PIKE & NORTH DR,13.0
30,FREDERICK RD & NEELSVILLE CHURCH RD,12.0
15,FREDERICK RD & @15,10.0
14,E MIDDLE LN & WASHINGTON ST,8.0
47,KING FARM BLVD & FREDERICK RD,5.0
92,ROCKVILLE PIKE & LOCUST HILL RD,3.0
0,CHAPMAN AVE & BOUIC AVE,3.0
143,TUCKERMAN LN & ROCKVILLE PIKE,2.0
43,HUNGERFORD DR & @700,1.0
105,ROCKVILLE PIKE & ROSE AVE,1.0
