,stop,boardings,alightings
1329,Wmap Rd at Icesat Rd,447,540
360,Brinkley Rd at Brinkley House W Ent,117,536
336,Brightseat Rd at Ardwick-Ardmore Rd,426,534
290,Belcrest at PG Plaza Metrorail,682,530
120,85th Avenue and Carrollon Manor,336,529
1007,PGCC Perimeter Rd at Annex A Building,212,528
1205,Southern Maryland Hospital (Hidden Arrival),3,528
288,Belcrest Rd at PG Plaza Entrance,77,527
1006,PG Sports Complex Front Ent.,585,524
160,Addison Rd at Adak St,368,521
1003,PG Plaza,340,512
1202,Southern Ave at Wheeler Rd,365,511
331,Breezewood Dr at Cherrywood Ln,217,510
42,3209 75th Ave,747,509
663,Hanover Pkwy at Prem # 7718,719,503
530,Denise Dr at Epworth Way,261,502
1015,Pennsylvania Ave at Old Marlboro Pl,34,499
1295,University Blvd at Riggs Rd,1029,496
15,15th Ave at University Blvd,230,495
1214,Springhill Dr at Springhill Ln,440,493
519,Crescent Rd at Gardenway,616,487
1231,Stars Entrance Gaylord Hotel at National Harbor Blvd,179,485
187,Allentown Rd at Allentown Way,121,485
1215,Springhill Ln at Breezewood Ct,558,482
1108,Riverdale Rd at 57th Ave,722,475
942,Old Silver Hill Rd at Parkland Dr,527,475
315,Branchwood Towers,433,471
1157,Sheriff Rd at Belle Haven Dr,117,467
943,Olson St at Norcross St,270,466
971,Oxon Hill Fringe Parking Lot Bus Bay B,225,461
619,Greenbelt Rd at Opp. Greenbelt Center,543,456
849,Marlboro Pike at Walters Ln,431,455
1244,Suitland Rd at Opposite Prem. #4211,0,453
298,Bladensburg Rd at 38th St,426,448
741,Kipling Pkwy at Marlboro Pike,402,445
417,Campus Way at PGCC Perimeter Rd,330,445
771,Lansdowne Village Apts,444,443
411,Campus Way South at Central Ave,343,443
31,28th Ave at Keith St,459,436
482,Cipriano Rd at Brae Brooke Dr,636,435
478,Chillum Rd at Longford Dr,530,430
667,Harry S Truman Dr at Birdie Ln,420,428
24,23rd Ave at Lewisdale Dr,255,428
880,Nalley Rd at Michele Ct,96,425
332,Breezewood Dr at Cherrywood Ter,427,424
1055,Ray Rd at Cypress Creek Dr,321,420
316,Brandywine Rd & Gwynn Park High School,645,419
1283,Temple Hill Rd at St Barnabas Rd,690,412
1213,Springhill Dr at Cherrywood Ln,501,411
486,Clinton Manor,513,408
571,Fairlawn St at Colebrooke Dr,160,405
257,Baltimore Ave at Cherry Hill Road,308,404
52,38th St at Bunker Hill Rd,304,400
656,Hanover Pkwy at Greenway Center Dr,510,399
557,East-West Hwy at Metro Center Dr,196,397
294,Beltway Plaza Shopping Center,258,397
649,Hampton Park Boulevard at East Hampton Dr,114,396
393,Brooks Drive at Marlboro Pike,320,395
1121,Riverdale Rd at Heritage Square Apts,80,389
1016,Pennsylvania Ave at Penn Crossing Dr,187,387
276,Baltimore Ave at Riverdale Rd,161,387
1081,Ritchie Rd at Central Ave,138,384
750,Lamont Dr at Larchwood St,76,383
1317,Walker Mill Rd at Rochell Ave,509,383
1261,Temple Hill Rd at Allentown Rd,409,381
542,Dodge Park Rd at Hubbard Rd,549,381
662,Hanover Pkwy at Ora Glen Dr,193,376
773,Largo Rd  at Water Foul Way,10,373
239,Auburn Ave at Chestnut Ave,182,372
496,Columbia Park Rd at Marshall Pl,353,371
651,Hampton Park Boulevard at Hampton Mall Dr,333,370
1278,Temple Hill Rd at Portal Ave,283,369
604,Good Luck Rd at Dawnwood Dr,362,367
548,Donnell Drive at Target Store,247,366
296,Benning Rd at Drum Ave,266,365
195,Allentown Rd at Old Branch Ave,157,364
613,Greenbelt Metro Dr at Cherrywood Ln,261,363
655,Hanover Pkwy at Greenbrook Dr,373,359
764,Landover Rd at Annapolis Rd,294,356
854,Maxwell Dr at Allentown Rd,295,353
82,42nd Ave at Madison St,159,351
1097,Ritchie Rd at Vineyard Dr,414,350
1014,Pennsylvania Ave at Forestville Rd,91,348
938,Old Pike Way at Dower House Rd,325,346
1178,Silver Hill Rd at Randall Rd,305,342
436,Central Ave at Brightseat Rd,358,342
1051,Raleigh Rd at Culver St,478,341
582,Fisher Rd at St. Moritz Dr,369,341
744,Kipling Pkwy at Wintergreen Ave,432,340
710,Indian Head Highway at Audrey Ln,239,339
1190,Southern Ave at C St,215,338
791,Largo Rd at Watkins Park Dr,103,336
84,42nd Ave at Oglethorpe St,437,336
264,Baltimore Ave at Hartwick Rd,451,336
1101,Ritchie-Marlboro Rd & Sansbury Rd,266,335
650,Hampton Park Boulevard at Edgeworth Dr,149,335
818,MLK Jr Hwy at Columbia Park Rd,303,334
1313,Walker Mill Dr at New Mt. Nebo Baptist Church,240,334
501,Columbia Park Rd at Stanford Court,61,333
256,Baltimore Ave at Cherokee St,411,333
1032,Possum Ct at Walker Mill Dr,336,326
1079,Ritchie Rd at Alberta Dr,92,326
905,Old Alexandria Ferry Rd at Woodyard Rd,264,324
1087,Ritchie Rd at Mane Ln,112,323
47,3417 Dodge Park Rd,324,322
559,East-West Hwy at Toledo Ter,145,319
780,Largo Rd at Hancock Dr,22,319
746,Lamont Dr at Carrollton Pkwy,784,319
848,Marlboro Pike at Upland Ave,314,318
563,Elm St at Gov Oden Bowie Dr,712,317
1115,Riverdale Rd at 67th Ave,426,317
1119,Riverdale Rd at Fernwood Terrance,36,315
1179,Silver Hill Rd at Suitland Rd,283,315
807,Lottsford Rd at Zachery St,252,313
495,Columbia Park Rd at Columbia Pl,259,313
1094,Ritchie Rd at Roslyn Ave,244,309
1300,Valley Trail Ln at Catesby Ct,470,308
190,Allentown Rd at Camp Springs Ave,617,307
1057,Ray Rd at Madison St,208,306
1279,Temple Hill Rd at Rickey Ave,426,305
414,Campus Way South at Joyceton Dr,662,304
516,Coventry Way at Old Alexandria Ferry Rd,205,304
975,Oxon Hill Rd at 6192 Oxon Hill Rd,173,302
514,County Service Building,331,295
100,5827 Allentown Way at Old Branch Ave,82,293
328,Brandywine Road at Brooke Jane Drive,37,293
26,23rd Ave at Woodberry St,141,293
405,Campus Way North at Grey Gables Ct,343,289
513,County Rd at Valley Brook Apts,357,289
218,Apollo Dr at Lottsford Rd,315,286
386,Brinkley Rd at Temple Hill Rd,313,285
554,East Capitol St at Yost Pl,230,284
480,Chillum Rd at Shoppers Food,118,283
642,Hamilton St at 35th Ave,429,282
531,Denise Dr at Rollins Ave,429,282
733,Kenilworth Ave at Nicholson St,103,282
399,CAMPUS WAY NORTH AT LADY GROVE ROAD,211,282
835,Manor at Victoria Park,323,281
885,New Carrollton Station,9409,281
108,7600 Riverdale Rd,305,280
540,District Heights Pkwy at Rochelle Ave,351,279
972,Oxon Hill Fringe Parking Lot at Bus Bay F,54,278
1210,Southway at Crescent Rd,211,278
840,Marlboro Pike at Kipling Pkwy,239,277
279,Baltimore Ave at Tecumseh St,184,276
602,Good Luck Rd at Cathedral Ave,198,276
1036,Queens Chapel Rd at Hamilton St,202,276
1289,Toledo Rd at Belcrest Rd,196,276
1186,Southern Ave at 9th St SE,349,274
1199,Southern Ave at Robert Yedell Towers,158,273
383,Brinkley Rd at Shopton Pl,173,272
1023,Piscataway Rd at Brandywine Rd,46,271
103,60th Ave at Greenbelt Rd,215,270
289,Belcrest Rd at Queens Chapel Rd,277,270
30,28th Ave at Keating St,263,269
1168,Sheriff Rd at MLK Highway,61,267
269,Baltimore Ave at Lakeland Rd,176,266
83,42nd Ave at Nicholson St,497,265
652,Hampton Park Boulevard at Steeplechase,183,265
1052,Raleigh Rd at Olson St,348,265
96,54th Ave at Jefferson St,148,265
747,Lamont Dr at Donoghue Dr,257,262
708,Indian Head Highway (MD. RTE. 210) at Southern Ave,270,261
217,Apollo Dr at Arena Dr,167,260
977,Oxon Hill Rd at 6246 Oxon Hill Rd,152,260
1167,Sheriff Rd at Harvey Dr,142,260
277,Baltimore Ave at Rossborough Ln,182,254
974,Oxon Hill Rd at 6130 Oxon Hill Rd,130,253
1118,Riverdale Rd at Eastpine Dr,32,253
739,Kipling Pkwy at Harwood Rd,286,253
963,Owens Rd at Kennebec St,293,252
193,Allentown Rd at Karen Anne Dr,250,252
1037,Queens Chapel Rd at Lancer Dr,154,249
1288,Toledo Rd at Adelphi Rd,276,249
58,38th St at Shepherd St,131,248
272,Baltimore Ave at Oglethorpe St,159,246
545,Donnell Dr at Marlboro Pike,743,246
124,9240 Springhill Ln,105,246
1246,Suitland Rd at Suitland Federal Center Gate 1,322,245
1155,Sargent Rd at Rollingcrest Commons,298,242
1312,WILSON BRIDGE DRIVE,364,242
285,Belcrest Rd at 6505 Belcrest Rd,495,242
576,Fisher Rd at Clow Ct,315,242
392,Brooks Dr at Ridley St,453,242
829,Madison St at Timber Creek Dr,466,241
76,4211 Suitland Rd (Opposite),37,241
426,Capitol Heights Blvd at Heath St,97,241
1226,St Barnabas Rd at Raleigh Rd,187,241
1122,Riverdale Rd at Mahoney Dr,280,241
1027,Piscataway Rd at Pella Place,373,239
1332,Woodyard Rd at Autumn Way,38,238
584,Forestville Rd at Parston Dr,278,237
216,Annapolis Rd at Riverdale Rd,478,237
233,Ashwood Dr at Dunmore Pl,196,234
696,Hubbard Rd at Martin Luther King,211,234
470,Cheverly Ave at Montrose Rd,189,234
473,Chillum Rd at 18th Ave,29,233
754,Landover Metro Station - Arrival,103,231
1001,PALMER ROAD & OLD PALMER ROAD,322,231
54,38th St at Hamilton St,258,229
121,85th Avenue and Hiltop Apartments,156,229
749,Lamont Dr at Lamont Pl,371,229
810,MLK Jr Hwy at 65th Ave,213,228
438,Central Ave at Cindy Ln,613,228
875,Nalley Rd at Capital View Dr,370,227
1175,Silver Hill Rd at Parkway Terrace Dr,313,227
911,Old Branch Ave at Kirby Ln,21,226
25,23rd Ave at Sheridan St,220,224
843,Marlboro Pike at Melwood Mall,299,223
1180,Silver Hill Rd at Swann Rd,112,223
48,34th St at Bunker Hill Rd,74,222
691,Hillside Rd at Laurel Hill Rd,215,222
758,Landover Rd at 55th Ave,424,221
235,Ashwood Dr at Ritchie Rd,19,220
1114,Riverdale Rd at 64th Ave,276,220
1028,Pontiac St at 60th Ave,150,220
94,5295 85th Ave,441,220
543,Dodge Park Rd at Landover Rd,251,220
1296,Upshur St at 28th St,116,219
535,District Heights Pkwy at Addison Rd S,278,219
396,CAMPUS WAY AT NORTH AT ST. JOSEPHS DRIVE,197,218
529,Denise Dr at Dutton Way,539,218
581,Fisher Rd at Holton Ln,75,215
1091,Ritchie Rd at Ritchie Dr,167,214
20,23rd Ave at Banning Pl,434,214
320,Brandywine Rd at Horshoe Rd,30,214
27,2400 Chillum Rd,231,213
330,Brandywine Road at Surrats Road,147,213
13,14th Ave at Langley Way,232,213
819,MLK Jr Hwy at Glen Willow Dr,313,212
522,Crescent Rd at Ridge Rd,139,212
1184,Southern Ave at 13th St SE,414,212
63,38th St at Windom Rd,355,212
992,Oxon Hill Rd at Rivertown Commons(6135),229,212
403,Campus Drive at Baltimore Ave,68,211
1204,Southern Maryland Hospital,728,210
268,Baltimore Ave at Knox Rd,105,210
73,414 Brightseat Rd,154,209
102,58th Ave at Berwyn Rd,165,205
92,5150 Annapolis Rd,160,205
318,Brandywine Rd at Clinton Way,75,205
909,Old Branch Ave at Arbutus Ln,248,203
33,28th Pkwy at 27th Ave,253,203
785,Largo Rd at Largo Landing,258,203
645,Hamilton St at 38th Ave,193,200
1285,Temple Hill Rd at Weldon Dr,274,199
345,Brightseat Rd at Girard St,148,199
712,Indian Head Highway at Southern Ave,190,199
898,Old Alexandria Ferry Rd at Heflin Dr,200,198
976,Oxon Hill Rd at 6201 Oxon Hill Plaza,103,198
1208,Southway at 11 Court,54,197
329,Brandywine Road at Dennison Drive,33,197
97,5600 54th Ave,101,197
553,East Capitol St at Old Central Ave,110,197
931,Old Marlboro Pike at Roblee Dr,214,196
428,Capitol Heights Station,2782,196
1280,Temple Hill Rd at Santeetlah Dr,82,196
998,PALMER ROAD & DEVON HILLS DRIVE,288,195
440,Central Ave at Garrett A Morgan Blvd,52,194
191,Allentown Rd at Coolridge Rd,225,194
680,Highview Pl at Keyworth Ct,317,193
732,Kanawha St at 15th Ave,575,192
805,Lottsford Rd at McCormick Dr,42,191
837,Marlboro Pike at Forest Run Dr,66,190
88,4412 Suitland Rd (Opposite),185,190
34,28th Pkwy at Afton St,253,190
1120,Riverdale Rd at Fountainbleau Dr,587,189
536,District Heights Pkwy at Breton Dr,287,189
259,Baltimore Ave at East-West Hwy,260,188
580,Fisher Rd at Heather Hill Ent.,99,188
1311,Volta Ave at Rhode Island Ave,180,187
1282,Temple Hill Rd at Spring Ter,170,187
1061,Rhode Island Ave at 38th St,219,187
70,4106 Whitehall Square Apts,688,186
1309,Village Green Dr at Sheriff Rd,196,186
385,Brinkley Rd at Summerhill Rd,221,186
368,Brinkley Rd at Huncrest Ent,241,186
363,Brinkley Rd at Cherryfield Rd,60,185
