,stop,boardings
1051,Raleigh Rd at Culver St,478
1331,Woody Terrace at Woodyard Road,472
1300,Valley Trail Ln at Catesby Ct,470
829,Madison St at Timber Creek Dr,466
369,Brinkley Rd at Huntley Square Dr,465
621,Greenbelt Road (MD. RTE. 193) at NASA Goddard Main Gate,459
31,28th Ave at Keith St,459
392,Brooks Dr at Ridley St,453
264,Baltimore Ave at Hartwick Rd,451
1329,Wmap Rd at Icesat Rd,447
1053,Raleigh Rd at St Barnabas Rd,447
674,Hastings Dr at Peppermill Dr,445
771,Lansdowne Village Apts,444
94,5295 85th Ave,441
1214,Springhill Dr at Springhill Ln,440
84,42nd Ave at Oglethorpe St,437
20,23rd Ave at Banning Pl,434
315,Branchwood Towers,433
1123,Riverdale Rd at Opp. Heritage Square Apts,432
744,Kipling Pkwy at Wintergreen Ave,432
849,Marlboro Pike at Walters Ln,431
715,Iverson St at 28th Ave,430
531,Denise Dr at Rollins Ave,429
642,Hamilton St at 35th Ave,429
16,16th Ave at Cypress Creek Dr,428
500,Columbia Park Rd at South Club Dr,428
332,Breezewood Dr at Cherrywood Ter,427
1115,Riverdale Rd at 67th Ave,426
298,Bladensburg Rd at 38th St,426
336,Brightseat Rd at Ardwick-Ardmore Rd,426
1279,Temple Hill Rd at Rickey Ave,426
758,Landover Rd at 55th Ave,424
667,Harry S Truman Dr at Birdie Ln,420
1184,Southern Ave at 13th St SE,414
1097,Ritchie Rd at Vineyard Dr,414
256,Baltimore Ave at Cherokee St,411
1261,Temple Hill Rd at Allentown Rd,409
1321,Walker Mill Road at Marlboro Pike,407
344,Brightseat Rd at Evarts St,406
512,County Rd at Foster St,404
741,Kipling Pkwy at Marlboro Pike,402
991,Oxon Hill Rd at Riverside Plaza Apts,400
828,Madison St at Ray Rd,400
72,4138 Whitehall Square Apts - in,391
95,5401 85th Ave,386
655,Hanover Pkwy at Greenbrook Dr,373
1027,Piscataway Rd at Pella Place,373
749,Lamont Dr at Lamont Pl,371
875,Nalley Rd at Capital View Dr,370
582,Fisher Rd at St. Moritz Dr,369
160,Addison Rd at Adak St,368
18,23rd Ave at  Beechwood Rd,367
1202,Southern Ave at Wheeler Rd,365
1312,WILSON BRIDGE DRIVE,364
604,Good Luck Rd at Dawnwood Dr,362
326,Brandywine Road @ Northgate Parkway,362
1056,Ray Rd at Cypress Creek Dr - in,360
436,Central Ave at Brightseat Rd,358
513,County Rd at Valley Brook Apts,357
63,38th St at Windom Rd,355
496,Columbia Park Rd at Marshall Pl,353
540,District Heights Pkwy at Rochelle Ave,351
1186,Southern Ave at 9th St SE,349
1052,Raleigh Rd at Olson St,348
1092,Ritchie Rd at Ritchie Rd Spur,347
405,Campus Way North at Grey Gables Ct,343
411,Campus Way South at Central Ave,343
1000,PALMER ROAD & INDIAN HEAD HIGHWAY,341
1003,PG Plaza,340
287,Belcrest Rd at PG Plaza,337
1032,Possum Ct at Walker Mill Dr,336
120,85th Avenue and Carrollon Manor,336
624,Greenbelt Station Parkway at S. Center Drive,334
651,Hampton Park Boulevard at Hampton Mall Dr,333
514,County Service Building,331
417,Campus Way at PGCC Perimeter Rd,330
938,Old Pike Way at Dower House Rd,325
866,Merrimac St at 14th Ave,325
47,3417 Dodge Park Rd,324
949,Opp. 4138 Whitehall Square Apts,323
835,Manor at Victoria Park,323
1246,Suitland Rd at Suitland Federal Center Gate 1,322
1001,PALMER ROAD & OLD PALMER ROAD,322
550,Dunmore Pl at Edgeworth Dr,322
1055,Ray Rd at Cypress Creek Dr,321
393,Brooks Drive at Marlboro Pike,320
680,Highview Pl at Keyworth Ct,317
576,Fisher Rd at Clow Ct,315
218,Apollo Dr at Lottsford Rd,315
643,Hamilton St at 36th Ave,315
848,Marlboro Pike at Upland Ave,314
819,MLK Jr Hwy at Glen Willow Dr,313
386,Brinkley Rd at Temple Hill Rd,313
1175,Silver Hill Rd at Parkway Terrace Dr,313
1033,Prince George's Plaza - Arrival,310
790,Largo Rd at Water Fowl Way,310
257,Baltimore Ave at Cherry Hill Road,308
108,7600 Riverdale Rd,305
1178,Silver Hill Rd at Randall Rd,305
52,38th St at Bunker Hill Rd,304
818,MLK Jr Hwy at Columbia Park Rd,303
644,Hamilton St at 37th Ave,303
843,Marlboro Pike at Melwood Mall,299
1155,Sargent Rd at Rollingcrest Commons,298
854,Maxwell Dr at Allentown Rd,295
764,Landover Rd at Annapolis Rd,294
1217,Springhill Ln at Market Ln,294
963,Owens Rd at Kennebec St,293
1194,Southern Ave at Gunther St,291
406,Campus Way North at St Joseph's Dr,290
998,PALMER ROAD & DEVON HILLS DRIVE,288
312,Bock Rd at Wolf St,288
