route,stops,early,on_time,late,total,early %,on_time %,late %
23,Sheriff Rd at MLK Highway,100,1500,389,1989,0.05,0.75,0.2
23,PG Sports Complex,131,1425,404,1960,0.07,0.73,0.21
23,Willow Hill Dr at Hill Rd,22,690,251,963,0.02,0.72,0.26
23,Sheriff Rd at Glen Willow Dr - South Side,170,1432,381,1983,0.09,0.72,0.19
23,Nalley Rd at Capital View Dr,175,1392,420,1987,0.09,0.7,0.21
23,Possum Ct at Walker Mill Dr,213,1352,423,1988,0.11,0.68,0.21
23,Willow Hill Dr at Stevenson Ln,205,686,130,1021,0.2,0.67,0.13
23,Cheverly Station Bay D,155,1247,511,1913,0.08,0.65,0.27
23,Addison Rd Metrorail Station,357,518,46,921,0.39,0.56,0.05
23,Addison Rd Metrorail - Arrival,224,481,279,984,0.23,0.49,0.28
