,stops,route,early,on_time,late
0,CHAPMAN AVE & BOUIC AVE,46,0,3,0
1,CHRISTOPHER AVE & FEATHERTREE WAY,55,94,171,14
2,CHRISTOPHER AVE & GALLOP HILL RD,55,129,333,26
3,CHRISTOPHER AVE & HELLINGLY PL,55,28,148,42
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,55,102,579,141
5,CHRISTOPHER AVE & RUSSELL AVE,55,104,355,86
6,CHRISTOPHER AVE & VILLAGE OVERLOOK,55,15,131,29
7,CONTOUR RD & HORIZON RUN RD,55,76,201,38
8,CONTOUR RD & LOST KNIFE RD,55,124,293,74
9,CONTOUR RD & ODENDHAL AVE,55,52,172,19
10,CONTOUR RD & TUNSTALL DR,55,29,157,36
11,E JEFFERSON ST & MARYLAND AVE,46,51,121,21
12,E MIDDLE LN & MARYLAND AVE,55,71,380,25
13,E MIDDLE LN & MONROE ST,55,41,287,35
14,E MIDDLE LN & WASHINGTON ST,55,1,6,1
15,FREDERICK RD & @15,55,0,2,1
16,FREDERICK RD & @15501,55,9,35,9
17,FREDERICK RD & @20010,55,52,227,29
18,FREDERICK RD & APPLEDOWRE WAY,55,191,530,114
19,FREDERICK RD & ARCHDALE RD,55,58,205,20
20,FREDERICK RD & COLLEGE PKWY,55,101,364,72
21,FREDERICK RD & COLLINS DR,55,5,27,6
22,FREDERICK RD & GERMANTOWN RD,55,62,210,32
23,FREDERICK RD & GUDE DR,55,22,109,25
24,FREDERICK RD & GUNNERS BRANCH RD,55,215,777,163
25,FREDERICK RD & GUNNERS DR,55,16,37,8
26,FREDERICK RD & HIGH POINT DR,55,28,70,6
27,FREDERICK RD & INDIANOLA DR,55,18,46,10
28,FREDERICK RD & MAGNOLIA DR,55,12,21,17
29,FREDERICK RD & MIDDLEBROOK RD,55,98,300,60
30,FREDERICK RD & MIDWAY CENTER,55,14,85,20
31,FREDERICK RD & NEELSVILLE CHURCH RD,55,3,9,15
32,FREDERICK RD & OXBRIDGE DR,55,112,373,69
33,FREDERICK RD & PLUMMER DR,55,103,297,54
34,FREDERICK RD & REDLAND RD,55,65,217,50
35,FREDERICK RD & RIDGEMONT AVE,55,14,47,13
36,FREDERICK RD & SCENERY DR,55,62,249,60
37,FREDERICK RD & SHADY GROVE RD,55,135,592,103
38,FREDERICK RD & SHAKESPEARE BLVD,55,33,139,10
39,FREDERICK RD & WATKINS POND BLVD,55,21,33,12
40,FREDERICK RD & WHEATFIELD DR,55,26,62,13
41,GERMANTOWN RD & GOLDENROD LN,55,3,17,14
42,GERMANTOWN RD & OBSERVATION DR,55,17,57,11
43,GERMANTOWN TRANSIT CENTER  & BAY B,55,3522,4035,1452
44,GERMANTOWN TRANSIT CENTER  & BAY B,100,6318,8323,3618
45,GROSVENOR STATION  & BAY E,46,100,170,51
46,HALPINE RD & ROCKVILLE PIKE,46,10,30,8
47,HUNGERFORD DR & FREDERICK AVE,46,281,764,71
48,HUNGERFORD DR & FREDERICK AVE,55,88,572,85
49,HUNGERFORD DR & MANNAKEE ST,55,9,66,11
50,HUNGERFORD DR & N CAMPUS DR,55,0,101,12
51,KING FARM BLVD & FREDERICK RD,55,6,7,2
52,LAKEFOREST TRANSIT CENTER  & ODENDH,55,2294,5862,1740
53,LOST KNIFE RD & CIDER MILL APTS,55,133,367,109
54,LOST KNIFE RD & CONTOUR RD,55,65,65,19
55,LOST KNIFE RD & MONTGOMERY VILLAGE,55,94,212,26
56,MANNAKEE ST & CAMPUS (E) DR,46,6,29,7
57,MANNAKEE ST & CAMPUS (E) DR,55,4,22,11
58,MANNAKEE ST & CAMPUS DR,46,4,93,1
59,MANNAKEE ST & CAMPUS DR,55,3,18,13
60,MANNAKEE ST & HUNGERFORD DR,46,75,173,13
61,MANNAKEE ST & HUNGERFORD DR,55,36,237,108
62,MEDICAL CENTER STATION  & BAY D,46,6254,11092,6953
63,MONROE ST & MONROE PL,46,437,669,175
64,N FREDERICK AVE & BROOKS AVE,55,139,327,73
65,N FREDERICK AVE & CHESTNUT ST,55,103,159,48
66,N FREDERICK AVE & MARYLAND AVE,55,48,182,20
67,N FREDERICK AVE & MONTGOMERY AVE,55,112,286,65
68,N FREDERICK AVE & PROFESSIONAL DR,55,66,258,77
69,N FREDERICK AVE & TRAVIS AVE,55,14,45,18
