,stop,boardings,alightings
661,New Carrollton Station,10842,644
133,Addison Rd Metrorail Station,10422,3143
655,Morgan Blvd Metro Station,9349,7791
593,Largo Town Center Station,6986,6876
659,Naylor Rd Station Bay H,6946,6065
272,Branch Ave Station Bus Bay J,5642,351
925,Takoma Langley Park Transit Center Bus Bay B,5608,1643
863,Southern Ave Station Bay E,4568,538
862,Southern Ave Metro Rail Station at Bus Bay F,4495,4199
974,West Hyattsville Station,4051,178
386,Clinton Fringe Lot,3764,1360
781,Rhode Island (US RTE 1) at Mount Rainer Terminal,3749,89
478,Greenbelt Metro Station Bus Bay A,3735,193
364,Capitol Heights Station Bay B,3498,847
594,Largo Town Center Station at Bus Bay E,2548,2398
977,Woody Terrace at Woodyard Rd,2143,4547
520,Ikea at Bus Bay 2,2041,2941
754,Padgett's Corner,1961,2075
384,Cheverly Metrorail Station Bay D,1810,1381
447,Elm St at Gov Oden Bowie Dr,1762,285
452,Equestrian Center Lot 3,1745,1783
909,Suitland Metrorail Station Bay D,1732,1305
363,Capitol Heights - Arrival,1699,4845
959,University Blvd at Riggs Rd,1665,773
372,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),1639,941
389,College Park Metro Station - Bus Bay T8,1636,1663
637,Matapeake Business Dr at Target Store,1609,163
387,Clinton Fringe Parking Lot,1590,1408
415,Courthouse,1574,1785
676,Old Branch Ave at Allentown Way,1492,1332
870,Southern Ave at Chesapeake St SE,1473,665
682,Old Branch Ave at PGCC Skilled Trade Center,1446,1522
482,Greenway Center,1441,1148
530,Iverson Mall,1387,939
684,Old Forestville Rd at Forestville Rd,1360,1831
982,Woodyard Rd at Opp. Pine View Ln,1336,234
189,Annapolis Rd at Edmonston Rd,1259,1030
132,Addison Rd Metrorail - Arrival,1258,8472
162,Allentown Rd at Brinkley Rd,1248,983
409,County Courthouse,1206,2413
679,Old Branch Ave at Coventry Way,1166,1236
254,Belcrest at PG Plaza Metrorail,1146,843
146,Addison Rd at Walker Mill Rd,1146,826
408,County Administration Building,1135,147
521,Ikea at Bus Bay 3,1111,818
628,Marlboro Pike at County Rd,1042,658
431,Donnell Dr at Marlboro Pike,1028,238
880,Southern Maryland Hospital,1024,337
926,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),1019,3639
164,Allentown Rd at Camp Springs Ave,1014,464
956,University Blvd at 23rd Ave,988,447
220,Baltimore Ave at Berwyn House Rd,970,702
