,stop,boardings
661,New Carrollton Station,10842
133,Addison Rd Metrorail Station,10422
655,Morgan Blvd Metro Station,9349
593,Largo Town Center Station,6986
659,Naylor Rd Station Bay H,6946
272,Branch Ave Station Bus Bay J,5642
925,Takoma Langley Park Transit Center Bus Bay B,5608
863,Southern Ave Station Bay E,4568
862,Southern Ave Metro Rail Station at Bus Bay F,4495
974,West Hyattsville Station,4051
386,Clinton Fringe Lot,3764
781,Rhode Island (US RTE 1) at Mount Rainer Terminal,3749
478,Greenbelt Metro Station Bus Bay A,3735
364,Capitol Heights Station Bay B,3498
594,Largo Town Center Station at Bus Bay E,2548
977,Woody Terrace at Woodyard Rd,2143
520,Ikea at Bus Bay 2,2041
754,Padgett's Corner,1961
384,Cheverly Metrorail Station Bay D,1810
447,Elm St at Gov Oden Bowie Dr,1762
452,Equestrian Center Lot 3,1745
909,Suitland Metrorail Station Bay D,1732
363,Capitol Heights - Arrival,1699
959,University Blvd at Riggs Rd,1665
372,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),1639
389,College Park Metro Station - Bus Bay T8,1636
637,Matapeake Business Dr at Target Store,1609
387,Clinton Fringe Parking Lot,1590
415,Courthouse,1574
676,Old Branch Ave at Allentown Way,1492
870,Southern Ave at Chesapeake St SE,1473
682,Old Branch Ave at PGCC Skilled Trade Center,1446
482,Greenway Center,1441
530,Iverson Mall,1387
684,Old Forestville Rd at Forestville Rd,1360
982,Woodyard Rd at Opp. Pine View Ln,1336
189,Annapolis Rd at Edmonston Rd,1259
132,Addison Rd Metrorail - Arrival,1258
162,Allentown Rd at Brinkley Rd,1248
409,County Courthouse,1206
679,Old Branch Ave at Coventry Way,1166
254,Belcrest at PG Plaza Metrorail,1146
146,Addison Rd at Walker Mill Rd,1146
408,County Administration Building,1135
521,Ikea at Bus Bay 3,1111
628,Marlboro Pike at County Rd,1042
431,Donnell Dr at Marlboro Pike,1028
880,Southern Maryland Hospital,1024
926,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),1019
164,Allentown Rd at Camp Springs Ave,1014
956,University Blvd at 23rd Ave,988
220,Baltimore Ave at Berwyn House Rd,970
143,Addison Rd at Ronald Rd,931
432,Donnell Dr at Pennsylvania Ave,925
340,Brooks Dr at Pennsylvania Ave,908
304,Brightseat Rd at Maple Ridge Apts #2,879
823,Riverdale Rd at Carrollton Mall,849
858,Silver Hill Rd at Pennsylvania Ave,833
361,Campus Way South at Joyceton Dr,831
654,Mike Shapiro Dr at Sheila Ln,815
255,Beltway Plaza Shopping Center,798
225,Baltimore Ave at East-West Hwy,794
256,Bladensburg Rd at 38th St,787
429,Doctors Community Hospital,778
230,Baltimore Ave at Hartwick Rd,777
806,Ritchie Rd at Forest Park Dr,770
708,Old Silver Hill Rd at Library,766
134,Addison Rd at Adak St,759
948,Temple Hill Rd at St Barnabas Rd,750
752,PG Plaza Station,721
477,Greenbelt Metro Station (Arrival),718
20,23rd Ave at Lewisdale Dr,713
657,Motor Vehicle Administration,700
617,MLK Jr Hwy at Columbia Park Rd,694
847,SOUTHERN AVENUE METRO STATION & BUS BAY K,691
174,Allentown Rd at Temple Hill Rd,683
35,38th St at Bunker Hill Rd,681
453,Equestrian Center Lot 4,680
13,15th Ave at University Blvd,667
527,Indian Head Highway at Oxon Farm Rd,662
318,Brinkley Rd at Henson Creek Apts,656
253,Belcrest Rd at Queens Chapel Rd,654
240,Baltimore Ave at Queensbury Rd,653
820,Ritchie Station Court Bus Stop #2,651
642,McCormick Dr at Basil Ct,649
710,Old Silver Hill Rd at Parkland Dr,645
98,9206 Springhill Lane,643
649,Mercantile Ln at Technology Way,638
484,Hamilton St at 31st Ave,624
190,Annapolis Rd at Riverdale Rd,616
900,St Clair Dr at 28th Ave,613
742,Oxon Hill Rd at Riverside Plaza Apts,611
690,Old Marlboro Pike at John Rogers Blvd,594
499,Hanover Pkwy at Hanover Dr,585
15,23rd Ave at Amherst Rd,583
329,Brinkley Rd at Opp. Rosecroft Shopping Center,579
885,Springhill Dr at Springhill Ln,569
865,Southern Ave at 13th St SE,569
568,Landover Rd at Annapolis Rd,560
984,Woodyard Rd at Pineview Ln,559
531,Iverson St at 28th Ave,549
78,5846 ALLENTOWN WAY,545
224,Baltimore Ave at Cherry Hill Road,543
879,Southern Ave at Wheeler Rd,530
494,Hampton Park Boulevard at Hampton Mall Dr,527
388,Clinton Manor,522
18,23rd Ave at Drexel St,512
663,OLD BRANCH AVENUE & ALLENTOWN WAY,506
972,Walker Mill Road at Marlboro Pike,505
358,Campus Way South at Central Ave,503
563,Landover Rd at 55th Ave,503
491,Hampton Park Boulevard at Alaking Ct,499
769,Queens Chapel Rd at Hamilton St,490
542,Judge's Dr at Pratt St,487
639,Maxwell Dr at Allentown Rd,485
550,Kipling Pkwy at Marlboro Pike,477
968,Walker Mill Rd at Rochell Ave,477
47,3930 Capitol Crossing Apts,474
867,Southern Ave at 9th St SE,466
342,Brooks Drive at Marlboro Pike,465
21,23rd Ave at Sheridan St,461
412,County Rd at Foster St,458
417,Denise Dr at Dutton Way,454
64,42nd Ave at Nicholson St,452
273,Branchwood Towers,450
223,Baltimore Ave at Cherokee St,448
908,Suitland Metro - Arrival,435
497,Hanover Pkwy at Greenbrook Dr,421
397,Columbia Park Rd at Marshall Pl,416
884,Springhill Dr at Cherrywood Ln,414
783,Rhode Island Ave at 38th St,410
555,Lamont Dr at Carrollton Pkwy,408
887,Springhill Ln at Breezewood Dr,407
14,23rd Ave at  Beechwood Rd,406
252,Belcrest Rd at PG Plaza,404
951,Timothy Branch Dr at Safeway Ent,402
975,West Hyattsville Station - Arrival,402
65,42nd Ave at Oglethorpe St,399
524,Indian Head Highway (MD. RTE. 210) at Southern Ave,399
507,Harry S Truman Dr at Birdie Ln,393
886,Springhill Ln at Breezewood Ct,392
626,Manor at Victoria Park,391
901,St George Blvd at Waterfront St,389
889,Springhill Ln at Springhill Dr,386
544,Kanawha St at 15th Ave,386
573,Largo Rd at Black Swan Dr,385
674,Old Alexandria Ferry Rd at Woodyard Rd,385
824,Riverdale Rd at Fountainbleau Dr,385
359,Campus Way South at College Station Dr (PGCC),384
498,Hanover Pkwy at Greenway Center Dr,382
777,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,379
634,Marlboro Pike at Upland Ave,375
341,Brooks Dr at Ridley St,374
37,38th St at Hamilton St,374
291,Breezewood Dr at Cherrywood Ter,374
486,Hamilton St at 36th Ave,373
308,Brightseat Rd at Opp. Maple Ridge Apts #2,368
907,Stuart Ln at Woodyard Rd,361
618,MLK Jr Hwy at Glen Willow Dr,357
474,Gov. Oden Bowie Dr at Rear C.A.B.,356
472,Good Luck Rd at Dawnwood Dr,353
738,Oxon Hill Rd at John Hanson Ln,353
161,Allentown Rd at Allentown Way,344
25,28th Ave at Keith St,341
419,Denise Dr at Rollins Ave,339
814,Ritchie Rd at Roslyn Ave,338
95,85th Avenue and Carrollon Manor,332
632,Marlboro Pike at Melwood Mall,331
319,Brinkley Rd at Huncrest Ent,330
85,7600 Riverdale Rd,330
780,Raleigh Rd at St Barnabas Rd,330
320,Brinkley Rd at Huntley Square Dr,329
245,Baltimore Ave at Tecumseh St,328
770,Queens Chapel Rd at Lancer Dr,328
244,Baltimore Ave at Sheridan St,327
914,Suitland Rd at Shadyside Ave,326
736,Oxon Hill Rd at 6400 Clipper Way,324
730,Oxon Hill Fringe Parking Lot Bus Bay B,322
640,Maxwell Dr at Morris Ave,320
46,38th St at Windom Rd,320
383,Cheverly Ave at Montrose Rd,317
606,Lottsford Rd at Zachery St,317
636,Marlboro Pike at Whitney Pl,316
735,Oxon Hill Rd at 6246 Oxon Hill Rd,315
930,Temple Hill Rd at Farmer Dr,313
40,38th St at Perry St,312
566,Landover Rd at 58th Ave,312
16,23rd Ave at Banning Pl,310
778,Raleigh Rd at Culver St,304
312,Brinkley Rd at Brinkley Manor W Ent,304
635,Marlboro Pike at Walters Ln,303
609,MLK Jr Hwy at 65th Ave,303
833,Rollins Ave at Rollins Ln,302
290,Breezewood Dr at Cherrywood Ln,301
751,PG Plaza,298
428,District Heights Pkwy at Rochelle Ave,297
816,Ritchie Rd at Truck Way,295
467,Forestville Rd at Parston Dr,287
182,Annapolis Rd at 48th St,287
812,Ritchie Rd at Ritchie Rd Spur,285
699,Old Marlboro Pike at Roblee Dr,284
630,Marlboro Pike at Kipling Pkwy,283
423,District Heights Pkwy at Addison Rd S,283
706,Old Pike Way at Dower House Rd,282
260,Bladensburg Rd at 42nd Ave,281
221,Baltimore Ave at Berwyn Rd,281
251,Belcrest Rd at 6505 Belcrest Rd,279
978,Woody Terrace at Woodyard Road,277
623,MLK Jr Hwy at Sheriff Rd,276
443,East-West Hwy at Toledo Ter,273
753,PGCC Perimeter Rd at Largo Rd,272
41,38th St at Shepherd St,270
485,Hamilton St at 35th Ave,268
854,Saint Barnabas Rd at John Hanson Ln,267
211,Auth Rd at Carswell Ave,267
897,St Barnabas Rd at Raleigh Rd,264
51,4106 Whitehall Square Apts,263
496,Hanover Pkwy at Green Manor Ct,262
436,Dunmore Pl at Edgeworth Dr,258
826,Riverdale Rd at Mahoney Dr,256
403,Columbia Park Rd at Virginia Ave,255
22,23rd Ave at Woodberry St,254
741,Oxon Hill Rd at Oxon Hill Plaza(6201),253
927,Temple Hill Rd at Allentown Rd,252
553,Kipling Pkwy at Wintergreen Ave,252
365,Central Ave at Brightseat Rd,251
270,Bock Rd at Wolf St,247
465,Fisher Rd at St. Moritz Dr,246
237,Baltimore Ave at Metzerott Rd,246
790,Rhode Island Ave at County Service Building - NB,245
817,Ritchie Rd at Vineyard Dr,245
651,Merrimac St at 14th Ave,245
660,Naylor Rd Station Ent Drop Off Only,244
413,County Rd at Valley Brook Apts,243
976,Whitehall Square Apts at Community Hall,242
192,Apollo Dr at Lottsford Rd,240
610,MLK Jr Hwy at 69th Pl,238
183,Annapolis Rd at 53rd Pl,238
743,Oxon Hill Rd at Rivertown Commons(6135),237
693,Old Marlboro Pike at Melwood Park Ave,233
488,Hamilton St at 38th Ave,232
782,Rhode Island Ave at 37th St,230
528,Indian Head Highway at Southern Ave,228
185,Annapolis Rd at 54th Pl,228
794,Rhode Island Ave at Volta Ave,227
526,Indian Head Highway at Audrey Ln,227
446,Edgeworth Dr at Ritchie Rd,224
786,Rhode Island Ave at 42nd Pl,223
416,Coventry Way at Old Alexandria Ferry Rd,222
560,Lamont Dr at Powhatan St,221
259,Bladensburg Rd at 41st Ave,220
960,Village Dr West at Bishopmill Dr,218
652,Merrimac St at New Hampshire Ave Service Rd,218
556,Lamont Dr at Donoghue Dr,217
73,5295 85th Ave,216
611,MLK Jr Hwy at Addison Rd,215
800,Ritchie Rd at Ashville Rd,215
414,County Service Building,214
493,Hampton Park Boulevard at Edgeworth Dr,214
