,stop,alightings
662,New Carrollton Station - Arrival,10640
132,Addison Rd Metrorail - Arrival,8472
655,Morgan Blvd Metro Station,7791
593,Largo Town Center Station,6876
659,Naylor Rd Station Bay H,6065
477,Greenbelt Metro Station (Arrival),5072
864,Southern Ave Station Bay E - Arrival,5049
363,Capitol Heights - Arrival,4845
977,Woody Terrace at Woodyard Rd,4547
271,Branch Ave Station - Arrival,4450
975,West Hyattsville Station - Arrival,4296
862,Southern Ave Metro Rail Station at Bus Bay F,4199
926,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),3639
658,Mt Rainier Terminal - Arrival,3403
133,Addison Rd Metrorail Station,3143
520,Ikea at Bus Bay 2,2941
409,County Courthouse,2413
594,Largo Town Center Station at Bus Bay E,2398
754,Padgett's Corner,2075
684,Old Forestville Rd at Forestville Rd,1831
415,Courthouse,1785
452,Equestrian Center Lot 3,1783
983,Woodyard Rd at Pine View Ln,1715
389,College Park Metro Station - Bus Bay T8,1663
925,Takoma Langley Park Transit Center Bus Bay B,1643
442,East-West Hwy at Prince George's Mall Ent.,1559
847,SOUTHERN AVENUE METRO STATION & BUS BAY K,1546
682,Old Branch Ave at PGCC Skilled Trade Center,1522
387,Clinton Fringe Parking Lot,1408
384,Cheverly Metrorail Station Bay D,1381
433,Donnell Drive at Marlboro Pike,1369
386,Clinton Fringe Lot,1360
676,Old Branch Ave at Allentown Way,1332
909,Suitland Metrorail Station Bay D,1305
679,Old Branch Ave at Coventry Way,1236
638,Matapeake Business Dr at Target Store (Hidden Arrival),1195
907,Stuart Ln at Woodyard Rd,1185
482,Greenway Center,1148
542,Judge's Dr at Pratt St,1120
708,Old Silver Hill Rd at Library,1112
35,38th St at Bunker Hill Rd,1091
908,Suitland Metro - Arrival,1084
187,Annapolis Rd at 85th Ave,1066
189,Annapolis Rd at Edmonston Rd,1030
20,23rd Ave at Lewisdale Dr,1022
752,PG Plaza Station,1009
255,Beltway Plaza Shopping Center,985
162,Allentown Rd at Brinkley Rd,983
134,Addison Rd at Adak St,982
256,Bladensburg Rd at 38th St,949
372,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),941
530,Iverson Mall,939
344,CAB - Arrival,924
806,Ritchie Rd at Forest Park Dr,900
429,Doctors Community Hospital,899
531,Iverson St at 28th Ave,888
161,Allentown Rd at Allentown Way,878
819,Ritchie Station Court Bus Stop #1,877
625,MONUMENT AVE @ MGM CASINO,868
617,MLK Jr Hwy at Columbia Park Rd,852
240,Baltimore Ave at Queensbury Rd,850
364,Capitol Heights Station Bay B,847
491,Hampton Park Boulevard at Alaking Ct,845
254,Belcrest at PG Plaza Metrorail,843
900,St Clair Dr at 28th Ave,840
358,Campus Way South at Central Ave,832
146,Addison Rd at Walker Mill Rd,826
174,Allentown Rd at Temple Hill Rd,822
740,Oxon Hill Rd at Oxon Hill Fringe Parking Lot,819
521,Ikea at Bus Bay 3,818
642,McCormick Dr at Basil Ct,814
13,15th Ave at University Blvd,810
649,Mercantile Ln at Technology Way,801
959,University Blvd at Riggs Rd,773
224,Baltimore Ave at Cherry Hill Road,771
432,Donnell Dr at Pennsylvania Ave,763
657,Motor Vehicle Administration,758
881,Southern Maryland Hospital (Hidden Arrival),755
412,County Rd at Foster St,748
340,Brooks Dr at Pennsylvania Ave,719
769,Queens Chapel Rd at Hamilton St,711
220,Baltimore Ave at Berwyn House Rd,702
777,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,698
654,Mike Shapiro Dr at Sheila Ln,676
230,Baltimore Ave at Hartwick Rd,674
870,Southern Ave at Chesapeake St SE,665
628,Marlboro Pike at County Rd,658
661,New Carrollton Station,644
443,East-West Hwy at Toledo Ter,640
972,Walker Mill Road at Marlboro Pike,639
332,Brinkley Rd at Rosecroft Shopping Center,638
823,Riverdale Rd at Carrollton Mall,633
710,Old Silver Hill Rd at Parkland Dr,620
78,5846 ALLENTOWN WAY,619
550,Kipling Pkwy at Marlboro Pike,612
252,Belcrest Rd at PG Plaza,603
858,Silver Hill Rd at Pennsylvania Ave,598
494,Hampton Park Boulevard at Hampton Mall Dr,587
901,St George Blvd at Waterfront St,575
730,Oxon Hill Fringe Parking Lot Bus Bay B,574
169,Allentown Rd at Old Branch Ave,571
455,Fairlawn St at Colebrooke Dr,562
780,Raleigh Rd at St Barnabas Rd,555
568,Landover Rd at Annapolis Rd,550
951,Timothy Branch Dr at Safeway Ent,545
706,Old Pike Way at Dower House Rd,540
863,Southern Ave Station Bay E,538
885,Springhill Dr at Springhill Ln,535
499,Hanover Pkwy at Hanover Dr,534
879,Southern Ave at Wheeler Rd,530
397,Columbia Park Rd at Marshall Pl,530
320,Brinkley Rd at Huntley Square Dr,521
143,Addison Rd at Ronald Rd,514
242,Baltimore Ave at Riverdale Rd,502
948,Temple Hill Rd at St Barnabas Rd,501
21,23rd Ave at Sheridan St,491
639,Maxwell Dr at Allentown Rd,487
770,Queens Chapel Rd at Lancer Dr,483
388,Clinton Manor,481
887,Springhill Ln at Breezewood Dr,465
164,Allentown Rd at Camp Springs Ave,464
253,Belcrest Rd at Queens Chapel Rd,463
984,Woodyard Rd at Pineview Ln,462
361,Campus Way South at Joyceton Dr,462
15,23rd Ave at Amherst Rd,461
273,Branchwood Towers,457
436,Dunmore Pl at Edgeworth Dr,456
753,PGCC Perimeter Rd at Largo Rd,455
245,Baltimore Ave at Tecumseh St,451
889,Springhill Ln at Springhill Dr,447
956,University Blvd at 23rd Ave,447
40,38th St at Perry St,444
690,Old Marlboro Pike at John Rogers Blvd,439
756,Pennsylvania Ave at Old Marlboro Pl,437
526,Indian Head Highway at Audrey Ln,435
524,Indian Head Highway (MD. RTE. 210) at Southern Ave,434
674,Old Alexandria Ferry Rd at Woodyard Rd,428
606,Lottsford Rd at Zachery St,426
18,23rd Ave at Drexel St,408
182,Annapolis Rd at 48th St,405
95,85th Avenue and Carrollon Manor,391
493,Hampton Park Boulevard at Edgeworth Dr,387
507,Harry S Truman Dr at Birdie Ln,386
290,Breezewood Dr at Cherrywood Ln,384
867,Southern Ave at 9th St SE,383
504,Hanover Pkwy at Ora Glen Dr,382
453,Equestrian Center Lot 4,382
25,28th Ave at Keith St,376
304,Brightseat Rd at Maple Ridge Apts #2,370
801,Ritchie Rd at Central Ave,370
751,PG Plaza,369
308,Brightseat Rd at Opp. Maple Ridge Apts #2,368
914,Suitland Rd at Shadyside Ave,364
560,Lamont Dr at Powhatan St,359
660,Naylor Rd Station Ent Drop Off Only,356
731,Oxon Hill Fringe Parking Lot at Bus Bay F,355
47,3930 Capitol Crossing Apts,355
484,Hamilton St at 31st Ave,352
272,Branch Ave Station Bus Bay J,351
383,Cheverly Ave at Montrose Rd,345
802,Ritchie Rd at D'arcy Rd,340
37,38th St at Hamilton St,338
227,Baltimore Ave at Guilford Rd,338
880,Southern Maryland Hospital,337
626,Manor at Victoria Park,335
623,MLK Jr Hwy at Sheriff Rd,333
291,Breezewood Dr at Cherrywood Ter,332
77,5827 Allentown Way at Old Branch Ave,330
634,Marlboro Pike at Upland Ave,329
564,Landover Rd at 56th Ave,329
311,Brinkley Rd at Brinkley House W Ent,329
16,23rd Ave at Banning Pl,328
635,Marlboro Pike at Walters Ln,323
930,Temple Hill Rd at Farmer Dr,322
555,Lamont Dr at Carrollton Pkwy,321
927,Temple Hill Rd at Allentown Rd,320
680,Old Branch Ave at Kirby Ln,317
492,Hampton Park Boulevard at East Hampton Dr,316
64,42nd Ave at Nicholson St,314
884,Springhill Dr at Cherrywood Ln,314
235,Baltimore Ave at Lakeland Rd,310
488,Hamilton St at 38th Ave,305
757,Pennsylvania Ave at Penn Crossing Dr,303
485,Hamilton St at 35th Ave,301
886,Springhill Ln at Breezewood Ct,299
223,Baltimore Ave at Cherokee St,298
733,Oxon Hill Rd at 6192 Oxon Hill Rd,298
632,Marlboro Pike at Melwood Mall,297
41,38th St at Shepherd St,296
