,route,boardings,alightings
0,Route 16,29852,30080
1,Route 32,26477,26212
2,Route 34,20881,20674
3,Route 33,17140,17040
4,Route 30,14532,14655
5,Route 35,14313,14519
6,Route 26,11998,12009
7,Route 17 (Route 1 Ride),11978,12114
8,Route 13,9208,9125
9,Route 36,7655,7739
10,Route 28,7465,7378
