,stop,boardings,alightings
710,Indian Head Highway at Audrey Ln,141,299
239,Auburn Ave at Riverdale Rd,156,297
1216,Springhill Ln at Springhill Dr,253,295
657,Hanover Pkwy at Hanover Dr,323,290
563,Elm St at Gov Oden Bowie Dr,455,288
75,4192 Whitehall Square Apts,44,286
1012,Pennsylvania Ave at Forestville Rd,135,282
358,Brinkley Rd at Brinkley House W Ent,119,281
1180,Southern Ave Station Bay E,3324,279
1049,Raleigh Rd at Culver St,314,277
970,Oxon Hill Fringe Parking Lot Bus Bay B,211,274
58,38th St at Shepherd St,153,273
193,Allentown Rd at Old Branch Ave,108,272
559,East-West Hwy at Toledo Ter,117,269
667,Harry S Truman Dr at Birdie Ln,271,266
1228,St George Blvd at Waterfront St,242,265
329,Breezewood Dr at Cherrywood Ln,206,262
1020,Piscataway Rd at Absher Ln,486,261
1013,Pennsylvania Ave at Old Marlboro Pl,14,260
1080,Ritchie Rd at D'arcy Rd,120,260
391,Brooks Drive at Marlboro Pike,409,257
708,Indian Head Highway (MD. RTE. 210) at Southern Ave,168,256
554,East Capitol St at Yost Pl,152,256
1018,Peppermill Dr at Hastings Dr,27,253
1276,Temple Hill Rd at Portal Ave,180,253
849,Marlboro Pike at Walters Ln,279,253
1211,Springhill Dr at Cherrywood Ln,284,251
753,Lamont Dr at Westbrook Dr,228,250
641,Hamilton St at 31st Ave - in,37,247
188,Allentown Rd at Camp Springs Ave,516,246
1056,Rhode Island (US RTE 1) at Mount Rainer Terminal,1677,245
413,Campus Way South at Joyceton Dr,380,245
334,Brightseat Rd at Ardwick-Ardmore Rd,177,243
469,Cheverly Ave at Montrose Rd,183,241
15,15th Ave at University Blvd,190,236
1213,Springhill Ln at Breezewood Ct,289,231
642,Hamilton St at 35th Ave,277,231
938,Old Pike Way at Dower House Rd,208,230
278,Baltimore Ave at Tecumseh St,156,229
530,Denise Dr at Epworth Way,177,228
153,ALLENTOWN WAY & 5846 ALLENTOWN WAY,3,226
848,Marlboro Pike at Upland Ave,223,226
1014,Pennsylvania Ave at Penn Crossing Dr,98,225
807,Lottsford Rd at Zachery St,147,225
77,4258 Whitehall Square Apts,411,225
826,MONUMENT AVE @ MGM CASINO,104,222
390,Brooks Dr at Ridley St,299,221
31,28th Ave at Keith St,256,220
662,Hanover Pkwy at Ora Glen Dr,127,216
562,Edgeworth Dr at Ritchie Rd,179,216
508,County Administration Building,762,215
263,Baltimore Ave at Hartwick Rd,389,214
584,Forestville Rd at Parston Dr,293,213
656,Hanover Pkwy at Greenway Center Dr,232,213
1277,Temple Hill Rd at Rickey Ave,214,213
1239,Suitland Rd at 4410 Suitland Rd,92,212
884,Naylor Rd Station Ent Drop Off Only,117,212
25,23rd Ave at Sheridan St,187,212
593,Garrett A. Morgan Blvd at Morgan Blvd Station,132,211
206,Annapolis Rd at 48th St,147,210
212,Annapolis Rd at Bladensburg Elem. School,58,209
330,Breezewood Dr at Cherrywood Ter,248,208
500,Columbia Park Rd at South Club Dr,141,208
71,4112 Whitehall Square Apts,61,208
423,Capitol Heights Blvd at Emmet St,67,208
119,85th Avenue and Carrollon Manor,298,207
905,Old Alexandria Ferry Rd at Woodyard Rd,180,206
603,Good Luck Rd at Crest Park Dr,9,205
1274,Temple Hill Rd at Piscataway Rd,140,204
292,Beltway Plaza Shopping Center,182,204
835,Manor at Victoria Park,237,204
1092,Ritchie Rd at Roslyn Ave,207,203
617,Greenbelt Rd at Greenway Center,122,202
962,Owens Rd at Kennebec St,157,202
974,Oxon Hill Rd at 6192 Oxon Hill Rd,115,202
872,Motor Vehicle Administration,491,202
246,Auth Rd at Gloria Dr,36,201
516,Coventry Way at Old Alexandria Ferry Rd,150,201
513,County Rd at Valley Brook Apts,261,201
169,Addison Rd at St Margaret's School,99,200
911,Old Branch Ave at Kirby Ln,27,200
1025,Piscataway Rd at Pella Place,275,198
651,Hampton Park Boulevard at Hampton Mall Dr,177,197
30,28th Ave at Keating St,166,196
1021,Piscataway Rd at Brandywine Rd,70,195
215,Apollo Dr at Arena Dr,138,195
824,MLK Jr Hwy at Sheriff Rd,155,194
843,Marlboro Pike at Melwood Mall,213,194
258,Baltimore Ave at East-West Hwy,275,194
561,East-West Hwy at Toledo Terrace,194,193
99,5827 Allentown Way at Old Branch Ave,50,189
1202,Southern Maryland Hospital,620,186
803,Lottsford Rd at Harry S. Truman Dr,92,186
545,Donnell Dr at Marlboro Pike,422,185
1089,Ritchie Rd at Ritchie Dr,197,184
582,Fisher Rd at St. Moritz Dr,201,183
540,District Heights Pkwy at Rochelle Ave,237,183
840,Marlboro Pike at Kipling Pkwy,159,182
1197,Southern Ave at Robert Yedell Towers,169,182
255,Baltimore Ave at Cherokee St,234,181
74,4174 Whitehall Square Apts,171,181
1050,Raleigh Rd at Olson St,187,179
19,23rd Ave at Amherst Rd,282,179
397,CAMPUS WAY NORTH AT LADY GROVE ROAD,120,178
1332,Woodyard Rd at Opp. Pine View Ln,805,177
976,Oxon Hill Rd at 6246 Oxon Hill Rd,173,176
721,Jericho Residences (Southbound),179,176
416,Campus Way at PGCC Perimeter Rd,146,175
1184,Southern Ave at 9th St SE,285,174
810,MLK Jr Hwy at 65th Ave,204,174
72,4138 Whitehall Square Apts - in,142,173
314,Brandywine Rd & Gwynn Park High School,168,173
802,Lottsford Rd at Harry S. Truman,78,172
604,Good Luck Rd at Dawnwood Dr,199,170
747,Lamont Dr at Donoghue Dr,98,170
1095,Ritchie Rd at Vineyard Dr,238,170
271,Baltimore Ave at Oglethorpe St,132,170
326,Brandywine Road at Brooke Jane Drive,16,169
1191,Southern Ave at Forest Hills Apts,186,169
846,Marlboro Pike at Tucker's Restaurant,114,169
1310,WILSON BRIDGE DRIVE,231,167
216,Apollo Dr at Lottsford Rd,144,165
264,Baltimore Ave at Hollywood Rd,136,165
100,5846 ALLENTOWN WAY,110,165
435,Central Ave at Brightseat Rd,148,164
772,Largo Rd  at Water Foul Way,4,163
232,Ashwood Dr at Dunmore Pl,145,163
615,Greenbelt Metro Station Bus Bay A,3414,163
220,Ardwick-Ardmore Rd at MLK Jr Hwy,98,163
287,Belcrest Rd at Queens Chapel Rd,196,162
57,38th St at Perry St,141,161
439,Central Ave at Garrett A Morgan Blvd,63,161
746,Lamont Dr at Carrollton Pkwy,332,161
871,Morris Ave at Maxwell Dr,184,161
104,60th Ave at Seminole St,161,161
1004,PG Sports Complex Front Ent.,155,159
655,Hanover Pkwy at Greenbrook Dr,212,158
754,Landover Metro Station - Arrival,51,158
712,Indian Head Highway at Southern Ave,145,158
909,Old Branch Ave at Arbutus Ln,157,158
214,Annapolis Rd at Riverdale Rd,288,157
384,Brinkley Rd at Temple Hill Rd,123,157
599,Goddard Space Flight Center Main Gate (Southbound),14,157
943,Olson St at Norcross St,110,156
757,Landover Rd at 55th Ave,248,155
1224,St Barnabas Rd at Raleigh Rd,152,155
1113,Riverdale Rd at 67th Ave,158,155
855,Maxwell Dr at Morris Ave,203,154
268,Baltimore Ave at Lakeland Rd,128,154
742,Kipling Pkwy at Opp. 7805 Ritchie Rd,178,153
535,District Heights Pkwy at Addison Rd S,238,153
267,Baltimore Ave at Knox Rd,69,153
990,Oxon Hill Rd at Rivertown Commons(6135),159,152
758,Landover Rd at 56th Ave,57,152
477,Chillum Rd at Longford Dr,178,152
649,Hampton Park Boulevard at East Hampton Dr,57,151
529,Denise Dr at Dutton Way,247,151
93,5295 85th Ave,199,150
597,Goddard Space Flight Center Main Gate (Northbound),39,149
744,Kipling Pkwy at Wintergreen Ave,200,148
975,Oxon Hill Rd at 6201 Oxon Hill Plaza,92,146
1242,Suitland Rd at Opposite Prem. #4211,0,146
1106,Riverdale Rd at 57th Ave,266,146
646,Hamilton St at 38th St,131,145
602,Good Luck Rd at Cathedral Ave,150,145
595,Garrett A. Morgan Blvd at Rear Morgan Blvd Station Walkway,30,144
42,3209 75th Ave,226,144
328,Brandywine Road at Surrats Road,88,142
84,42nd Ave at Oglethorpe St,290,142
123,9240 Springhill Ln,54,142
1099,Ritchie-Marlboro Rd & Sansbury Rd,96,141
750,Lamont Dr at Larchwood St,34,141
613,Greenbelt Metro Dr at Cherrywood Ln,153,140
736,Kipling Pkwy at Brewton St,125,140
557,East-West Hwy at Metro Center Dr,88,139
1130,Rollins Ave at Rollins Ln,168,139
82,42nd Ave at Madison St,64,139
1090,Ritchie Rd at Ritchie Rd Spur,227,138
1176,Silver Hill Rd at Randall Rd,128,138
1078,Ritchie Rd at Ashville Rd,147,138
1182,Southern Ave at 13th St SE,369,137
960,Owens Rd at Irvington St,62,136
63,38th St at Windom Rd,201,136
784,Largo Rd at Largo Landing,179,135
381,Brinkley Rd at Shopton Pl,117,134
650,Hampton Park Boulevard at Edgeworth Dr,94,134
238,Auburn Ave at Chestnut Ave,63,134
26,23rd Ave at Woodberry St,80,133
1229,Stars Entrance Gaylord Hotel at National Harbor Blvd,82,133
973,Oxon Hill Rd at 6130 Oxon Hill Rd,81,133
1204,Southern Rd at Wheeler Rd,138,133
779,Largo Rd at Hancock Dr,17,132
519,Crescent Rd at Gardenway,196,132
404,Campus Way North at Grey Gables Ct,185,132
102,60th Ave at Greenbelt Rd,117,131
833,Mandan Rd at Hanover Pkwy,0,129
276,Baltimore Ave at Rossborough Ln,76,129
989,Oxon Hill Rd at Riverside Plaza Apts,287,129
325,Brandywine Road @ Surrats Road,102,128
445,Central Ave at Rollins Ave,72,128
201,Allentown Rd at Westchester Ct,145,128
619,Greenbelt Rd at Opp. Greenbelt Center,169,128
1053,Ray Rd at Cypress Creek Dr,89,127
1149,Saint Barnabas Rd at Barrowfield Rd,57,127
531,Denise Dr at Rollins Ave,246,126
1066,Rhode Island Ave at County Service Building - NB,99,126
1059,Rhode Island Ave at 38th St,216,126
1077,Ritchie Rd at Alberta Dr,91,126
253,Baltimore Ave at Berwyn Rd,306,125
819,MLK Jr Hwy at Glen Willow Dr,246,125
514,County Service Building,174,125
1286,Toledo Rd at Adelphi Rd,126,125
95,54th Ave at Jefferson St,65,125
1073,Rhode Island Avenue at Opp 37th Pl,22,124
805,Lottsford Rd at McCormick Dr,32,124
1155,Sheriff Rd at Belle Haven Dr,36,124
378,Brinkley Rd at Rose Croft Shopping Center,59,124
971,Oxon Hill Fringe Parking Lot at Bus Bay F,34,123
931,Old Marlboro Pike at Roblee Dr,162,122
790,Largo Rd at Watkins Park Dr,28,122
203,Allentown Way at Allentown Rd,52,121
191,Allentown Rd at Karen Anne Dr,130,121
1183,Southern Ave at 6th St SE,70,121
481,Cipriano Rd at Brae Brooke Dr,150,119
1096,Ritchie Rd at Walker Mill Rd,59,119
701,INDIAN HEAD HIGHWAY & SOUTHERN AVENUE,113,119
1231,Stuart Ln at Surrats Rd,18,119
1086,Ritchie Rd at Napier Dr,120,118
988,Oxon Hill Rd at Oxon Hill Plaza(6201),143,118
1152,Saint Barnabas Rd at John Hanson Ln,155,118
811,MLK Jr Hwy at 69th Pl,131,118
189,Allentown Rd at Coolridge Rd,107,118
369,Brinkley Rd at Kildare Ct,66,117
1225,St Barnabas Rd at Temple Hill Rd,18,117
576,Fisher Rd at Clow Ct,113,117
16,16th Ave at Cypress Creek Dr,99,117
494,Columbia Park Rd at Clarkson Way,76,116
316,Brandywine Rd at Clinton Way,29,116
902,Old Alexandria Ferry Rd at Mike Shapiro Dr,114,116
1190,Southern Ave at Forest Hills Apartment,168,116
20,23rd Ave at Banning Pl,171,116
791,Largo Rd at West Kettering Dr,17,115
5,1100 Owens Rd,94,115
318,Brandywine Rd at Horshoe Rd,33,115
54,38th St at Hamilton St,172,115
376,Brinkley Rd at Opp. Rosecroft Shopping Center,349,114
366,Brinkley Rd at Huncrest Ent,160,114
294,Benning Rd at Drum Ave,77,114
739,Kipling Pkwy at Harwood Rd,110,113
822,MLK Jr Hwy at Roosevelt Ave,106,112
1329,Woodyard Rd at Autumn Way,34,112
1067,Rhode Island Ave at County Service Building - SB,97,111
1278,Temple Hill Rd at Santeetlah Dr,56,111
1326,Wmap Rd at Icesat Rd,91,111
260,Baltimore Ave at Guilford Rd,152,111
1311,Walker Mill Dr at New Mt. Nebo Baptist Church,62,110
555,East Capitol Street at Maryland Park Drive,44,110
1085,Ritchie Rd at Mane Ln,60,110
1035,Queens Chapel Rd at Lancer Dr,79,109
775,Largo Rd at Buck Ln,105,109
166,Addison Rd at James Farmer Way,140,109
967,Owens Rd at Wheeler Rd,70,109
479,Chillum Rd at Shoppers Food,58,109
549,Dower House Rd at Old Marlboro Pike,78,109
580,Fisher Rd at Heather Hill Ent.,56,108
34,28th Pkwy at Afton St,161,108
1173,Silver Hill Rd at Parkway Terrace Dr,180,108
542,Dodge Park Rd at Hubbard Rd,189,108
743,Kipling Pkwy at Ritchie Rd,62,107
1270,Temple Hill Rd at Megan Dr,117,107
373,Brinkley Rd at Middlefield Rd,79,106
22,23rd Ave at Drexel St,154,106
880,Nalley Rd at Michele Ct,29,106
368,Brinkley Rd at John Hanson Ln,125,106
76,4211 Suitland Rd (Opposite),15,106
643,Hamilton St at 36th Ave,166,105
361,Brinkley Rd at Cherryfield Rd,44,105
