,hour,route,boardings,alightings
151,9,Route 30,859,850
304,14,Route 35,849,870
182,10,Route 30,847,963
269,13,Route 30,845,928
173,10,Route 21,838,874
125,8,Route 35,831,860
184,10,Route 33,818,730
170,10,Route 17 (Route 1 Ride),817,780
383,17,Route 17 (Route 1 Ride),807,771
155,9,Route 35,797,789
186,10,Route 35,793,794
240,12,Route 30,781,807
49,6,Route 17 (Route 1 Ride),769,710
259,13,Route 20,759,748
95,7,Route 35,745,679
171,10,Route 18,743,915
351,16,Route 17 (Route 1 Ride),731,769
213,11,Route 33,725,791
97,7,Route 37,720,659
430,18,Route 35,716,787
287,14,Route 16,708,760
199,11,Route 17 (Route 1 Ride),704,746
98,7,Route 51,702,684
398,17,Route 34,696,681
334,15,Route 34,695,647
139,9,Route 17 (Route 1 Ride),686,710
366,16,Route 34,681,654
153,9,Route 33,675,752
202,11,Route 21,671,709
370,16,Route 37,665,558
291,14,Route 21,660,544
271,13,Route 33,658,733
288,14,Route 17 (Route 1 Ride),657,683
417,18,Route 21,647,845
244,12,Route 35,647,635
256,13,Route 16,645,700
242,12,Route 33,643,613
231,12,Route 21,630,613
94,7,Route 34,626,556
360,16,Route 26,626,606
257,13,Route 17 (Route 1 Ride),625,621
166,10,Route 13,625,604
189,10,Route 51,623,599
228,12,Route 17 (Route 1 Ride),615,645
225,12,Route 13,614,612
392,17,Route 26,608,598
88,7,Route 26,606,595
260,13,Route 21,605,634
237,12,Route 26,595,565
143,9,Route 21 Express,593,524
128,8,Route 51,576,503
414,18,Route 17 (Route 1 Ride),572,680
429,18,Route 34,571,599
215,11,Route 35,569,550
273,13,Route 35,562,663
328,15,Route 26,562,532
247,12,Route 51,562,573
401,17,Route 37,561,605
75,7,Route 13,560,523
400,17,Route 36,552,555
196,11,Route 13,552,577
127,8,Route 37,552,545
266,13,Route 26,551,476
85,7,Route 23,549,527
254,13,Route 13,547,584
74,7,Route 12,547,507
67,6,Route 37,547,547
218,11,Route 51,538,512
118,8,Route 26,538,587
157,9,Route 36,535,560
452,19,Route 24,533,611
148,9,Route 26,529,483
188,10,Route 36,524,484
446,19,Route 18,513,644
124,8,Route 34,512,565
432,18,Route 37,512,527
126,8,Route 36,509,517
303,14,Route 34,503,501
135,9,Route 13,491,500
217,11,Route 36,488,562
159,9,Route 51,484,520
105,8,Route 13,472,448
203,11,Route 21 Express,465,424
96,7,Route 36,465,378
179,10,Route 26,463,468
174,10,Route 21 Express,461,451
444,19,Route 16,459,466
457,19,Route 32,455,472
285,14,Route 14,453,607
113,8,Route 21 Express,450,395
369,16,Route 36,446,411
208,11,Route 26,445,491
44,6,Route 12,434,431
104,8,Route 12,433,457
181,10,Route 28,431,430
64,6,Route 34,427,480
347,16,Route 13,423,435
284,14,Route 13,418,400
423,18,Route 26,416,482
90,7,Route 28,416,407
357,16,Route 23,413,436
378,17,Route 12,402,406
272,13,Route 34,402,396
58,6,Route 26,401,401
306,14,Route 36,398,343
339,15,Route 51,385,357
243,12,Route 34,385,350
315,15,Route 13,381,383
292,14,Route 21 Express,379,383
120,8,Route 28,374,390
214,11,Route 34,367,374
185,10,Route 34,365,367
261,13,Route 21 Express,362,277
431,18,Route 36,361,318
232,12,Route 21 Express,360,409
330,15,Route 28,358,342
154,9,Route 34,357,365
150,9,Route 28,357,332
337,15,Route 36,351,433
314,15,Route 12,350,309
246,12,Route 36,346,371
394,17,Route 28,341,305
348,16,Route 14,340,299
210,11,Route 28,338,368
115,8,Route 23,333,324
299,14,Route 28,333,335
346,16,Route 12,330,364
83,7,Route 21 Express,329,397
389,17,Route 23,329,315
134,9,Route 12,326,317
409,18,Route 12,322,337
377,17,Route 11,321,275
276,13,Route 51,318,322
387,17,Route 21 Express,318,315
362,16,Route 28,318,338
379,17,Route 13,317,345
459,19,Route 34,317,324
420,18,Route 23,310,260
297,14,Route 26,305,336
22,5,Route 18,303,113
87,7,Route 25,303,312
323,15,Route 21 Express,302,272
89,7,Route 27,299,293
55,6,Route 23,298,262
307,14,Route 51,295,285
381,17,Route 15 Express,293,323
349,16,Route 15 Express,280,231
425,18,Route 28,276,334
76,7,Route 14,275,257
275,13,Route 36,275,232
107,8,Route 15 Express,270,282
355,16,Route 21 Express,268,283
45,6,Route 13,267,237
60,6,Route 28,261,247
54,6,Route 22,261,219
313,15,Route 11,261,223
239,12,Route 28,256,260
410,18,Route 13,254,261
224,12,Route 12,254,266
458,19,Route 33,253,388
165,10,Route 12,252,247
345,16,Route 11,250,259
234,12,Route 23,249,217
47,6,Route 15 Express,249,212
205,11,Route 23,248,258
253,13,Route 12,247,237
316,15,Route 14,245,253
77,7,Route 15 Express,244,231
294,14,Route 23,244,231
255,13,Route 14,240,181
445,19,Route 17 (Route 1 Ride),237,228
103,8,Route 11,235,269
263,13,Route 23,230,259
84,7,Route 22,229,244
419,18,Route 22,228,208
343,16,Deadhead,228,213
