,stop,boardings
1216,Springhill Ln at Springhill Dr,253
611,Gov. Oden Bowie Dr at Rear C.A.B.,250
487,College Park Metro Station at Bus Bay B,250
330,Breezewood Dr at Cherrywood Ter,248
757,Landover Rd at 55th Ave,248
529,Denise Dr at Dutton Way,247
819,MLK Jr Hwy at Glen Willow Dr,246
531,Denise Dr at Rollins Ave,246
512,County Rd at Foster St,243
773,Largo Rd at Black Swan Dr,243
1290,University Blvd at 23rd Ave,242
1228,St George Blvd at Waterfront St,242
1095,Ritchie Rd at Vineyard Dr,238
535,District Heights Pkwy at Addison Rd S,238
540,District Heights Pkwy at Rochelle Ave,237
835,Manor at Victoria Park,237
255,Baltimore Ave at Cherokee St,234
52,38th St at Bunker Hill Rd,232
656,Hanover Pkwy at Greenway Center Dr,232
1310,WILSON BRIDGE DRIVE,231
437,Central Ave at Cindy Ln,230
753,Lamont Dr at Westbrook Dr,228
1090,Ritchie Rd at Ritchie Rd Spur,227
42,3209 75th Ave,226
496,Columbia Park Rd at Marshall Pl,225
310,Bock Rd at Wolf St,225
848,Marlboro Pike at Upland Ave,223
998,PALMER ROAD & INDIAN HEAD HIGHWAY,221
1328,Woody Terrace at Woodyard Road,220
1059,Rhode Island Ave at 38th St,216
607,Good Luck Rd at Parkdale HS,215
1137,SOUTHERN AVENUE & CHESAPEAKE STREET SE,214
1277,Temple Hill Rd at Rickey Ave,214
843,Marlboro Pike at Melwood Mall,213
655,Hanover Pkwy at Greenbrook Dr,212
547,Donnell Drive at Marlboro Pike,212
970,Oxon Hill Fringe Parking Lot Bus Bay B,211
324,Brandywine Road @ Northgate Parkway,211
1024,Piscataway Rd at Old Branch Ave,210
285,Belcrest Rd at Freedom Way,210
938,Old Pike Way at Dower House Rd,208
749,Lamont Dr at Lamont Pl,208
1092,Ritchie Rd at Roslyn Ave,207
329,Breezewood Dr at Cherrywood Ln,206
810,MLK Jr Hwy at 65th Ave,204
855,Maxwell Dr at Morris Ave,203
185,Allentown Rd at Allentown Way,202
582,Fisher Rd at St. Moritz Dr,201
63,38th St at Windom Rd,201
478,Chillum Rd at Queens Chapel Rd,201
70,4106 Whitehall Square Apts,200
744,Kipling Pkwy at Wintergreen Ave,200
93,5295 85th Ave,199
604,Good Luck Rd at Dawnwood Dr,199
1089,Ritchie Rd at Ritchie Dr,197
519,Crescent Rd at Gardenway,196
17,16th Ave at Cypress Creek Dr - in,196
287,Belcrest Rd at Queens Chapel Rd,196
561,East-West Hwy at Toledo Terrace,194
550,Dunmore Pl at Edgeworth Dr,194
503,Columbia Park Rd at Virginia Ave,193
950,Opp. 4174 Whitehall Square Apts,193
256,Baltimore Ave at Cherry Hill Road,192
1057,Rhode Island Ave at 34th Street,191
15,15th Ave at University Blvd,190
1322,Whitehall Square Apts at Community Hall,189
542,Dodge Park Rd at Hubbard Rd,189
1050,Raleigh Rd at Olson St,187
25,23rd Ave at Sheridan St,187
1191,Southern Ave at Forest Hills Apts,186
1234,Stuart Ln at Woodyard Rd,185
404,Campus Way North at Grey Gables Ct,185
871,Morris Ave at Maxwell Dr,184
469,Cheverly Ave at Montrose Rd,183
292,Beltway Plaza Shopping Center,182
664,Hanover Pkwy at Prem # 7800,180
1173,Silver Hill Rd at Parkway Terrace Dr,180
1276,Temple Hill Rd at Portal Ave,180
1054,Ray Rd at Cypress Creek Dr - in,180
905,Old Alexandria Ferry Rd at Woodyard Rd,180
562,Edgeworth Dr at Ritchie Rd,179
784,Largo Rd at Largo Landing,179
721,Jericho Residences (Southbound),179
477,Chillum Rd at Longford Dr,178
742,Kipling Pkwy at Opp. 7805 Ritchie Rd,178
530,Denise Dr at Epworth Way,177
334,Brightseat Rd at Ardwick-Ardmore Rd,177
651,Hampton Park Boulevard at Hampton Mall Dr,177
514,County Service Building,174
976,Oxon Hill Rd at 6246 Oxon Hill Rd,173
54,38th St at Hamilton St,172
20,23rd Ave at Banning Pl,171
663,Hanover Pkwy at Prem # 7718,171
74,4174 Whitehall Square Apts,171
451,Central Ave at Yeoman Pl,170
1197,Southern Ave at Robert Yedell Towers,169
619,Greenbelt Rd at Opp. Greenbelt Center,169
708,Indian Head Highway (MD. RTE. 210) at Southern Ave,168
314,Brandywine Rd & Gwynn Park High School,168
1130,Rollins Ave at Rollins Ln,168
1190,Southern Ave at Forest Hills Apartment,168
30,28th Ave at Keating St,166
643,Hamilton St at 36th Ave,166
410,Campus Way South at Central Ave,166
999,PALMER ROAD & OLD PALMER ROAD,165
1284,Timothy Branch Dr at Safeway Ent,164
931,Old Marlboro Pike at Roblee Dr,162
104,60th Ave at Seminole St,161
34,28th Pkwy at Afton St,161
789,Largo Rd at Water Fowl Way,160
366,Brinkley Rd at Huncrest Ent,160
990,Oxon Hill Rd at Rivertown Commons(6135),159
840,Marlboro Pike at Kipling Pkwy,159
1034,Queens Chapel Rd at Hamilton St,159
1113,Riverdale Rd at 67th Ave,158
247,Auth Rd at Henderson Way,158
909,Old Branch Ave at Arbutus Ln,157
962,Owens Rd at Kennebec St,157
239,Auburn Ave at Riverdale Rd,156
107,7600 Riverdale Rd,156
887,New Carrollton Station - Arrival,156
278,Baltimore Ave at Tecumseh St,156
284,Belcrest Rd at 6505 Belcrest Rd,155
1152,Saint Barnabas Rd at John Hanson Ln,155
824,MLK Jr Hwy at Sheriff Rd,155
1004,PG Sports Complex Front Ent.,155
22,23rd Ave at Drexel St,154
674,Hastings Dr at Peppermill Dr,154
58,38th St at Shepherd St,153
613,Greenbelt Metro Dr at Cherrywood Ln,153
260,Baltimore Ave at Guilford Rd,152
554,East Capitol St at Yost Pl,152
1224,St Barnabas Rd at Raleigh Rd,152
538,District Heights Pkwy at Marbury Ct (W),151
653,Hanover Pkwy at Green Manor Ct,150
481,Cipriano Rd at Brae Brooke Dr,150
516,Coventry Way at Old Alexandria Ferry Rd,150
602,Good Luck Rd at Cathedral Ave,150
548,Donnell Drive at Target Store,149
435,Central Ave at Brightseat Rd,148
172,Addison Rd at Wilburn St,147
1078,Ritchie Rd at Ashville Rd,147
1199,Southern Ave at United Medical Center,147
866,Merrimac St at 14th Ave,147
206,Annapolis Rd at 48th St,147
807,Lottsford Rd at Zachery St,147
1283,Temple Hill Rd at Weldon Dr,146
416,Campus Way at PGCC Perimeter Rd,146
201,Allentown Rd at Westchester Ct,145
712,Indian Head Highway at Southern Ave,145
232,Ashwood Dr at Dunmore Pl,145
377,Brinkley Rd at Roberts Dr,145
1121,Riverdale Rd at Opp. Heritage Square Apts,144
94,5401 85th Ave,144
216,Apollo Dr at Lottsford Rd,144
644,Hamilton St at 37th Ave,143
988,Oxon Hill Rd at Oxon Hill Plaza(6201),143
72,4138 Whitehall Square Apts - in,142
57,38th St at Perry St,141
710,Indian Head Highway at Audrey Ln,141
243,Auth Rd at Carswell Ave,141
500,Columbia Park Rd at South Club Dr,141
166,Addison Rd at James Farmer Way,140
893,OLD BRANCH AVENUE & ALLENTOWN WAY,140
1274,Temple Hill Rd at Piscataway Rd,140
168,Addison Rd at Seat Pleasant Dr,140
438,Central Ave at Daimler Dr,140
1070,Rhode Island Ave at Volta Ave,140
1198,Southern Ave at UNITED MEDICAL CENTER,140
1103,Riverdale Rd and 7600 Riverdale Road,139
342,Brightseat Rd at Evarts St,139
215,Apollo Dr at Arena Dr,138
1204,Southern Rd at Wheeler Rd,138
277,Baltimore Ave at Sheridan St,138
254,Baltimore Ave at Campus Dr,137
829,Madison St at Timber Creek Dr,136
782,Largo Rd at Kettering Dr,136
264,Baltimore Ave at Hollywood Rd,136
571,Fairlawn St at Colebrooke Dr,135
621,Greenbelt Road (MD. RTE. 193) at NASA Goddard Main Gate,135
1012,Pennsylvania Ave at Forestville Rd,135
33,28th Pkwy at 27th Ave,134
13,14th Ave at Langley Way,134
300,Bladensburg Rd at 42nd Ave,134
669,Harry S Truman Dr at Mt Lubentia Way,133
18,23rd Ave at  Beechwood Rd,133
379,Brinkley Rd at Rosecroft Shopping Center,132
536,District Heights Pkwy at Breton Dr,132
740,Kipling Pkwy at Marbury Dr,132
271,Baltimore Ave at Oglethorpe St,132
593,Garrett A. Morgan Blvd at Morgan Blvd Station,132
322,Brandywine Rd at Woodyard Rd,131
646,Hamilton St at 38th St,131
811,MLK Jr Hwy at 69th Pl,131
730,Judge's Dr at Pratt St,130
1120,Riverdale Rd at Mahoney Dr,130
191,Allentown Rd at Karen Anne Dr,130
268,Baltimore Ave at Lakeland Rd,128
1176,Silver Hill Rd at Randall Rd,128
1267,Temple Hill Rd at Kirbywood St,128
956,Opposite of Rose Croft Shopping Center,127
662,Hanover Pkwy at Ora Glen Dr,127
1286,Toledo Rd at Adelphi Rd,126
736,Kipling Pkwy at Brewton St,125
368,Brinkley Rd at John Hanson Ln,125
1062,Rhode Island Ave at 42nd Pl,123
384,Brinkley Rd at Temple Hill Rd,123
617,Greenbelt Rd at Greenway Center,122
1064,Rhode Island Ave at Bunker Hill Rd,122
1058,Rhode Island Ave at 37th St,121
1030,Possum Ct at Walker Mill Dr,121
1097,Ritchie Station Court Bus Stop #1,121
1230,Stuart Lane at Surratts Road,121
1237,Suitland Metro - Arrival,120
397,CAMPUS WAY NORTH AT LADY GROVE ROAD,120
1080,Ritchie Rd at D'arcy Rd,120
1086,Ritchie Rd at Napier Dr,120
850,Marlboro Pike at Whitney Pl,119
358,Brinkley Rd at Brinkley House W Ent,119
1244,Suitland Rd at Suitland Federal Center Gate 1,119
1275,Temple Hill Rd at Plata St,118
1270,Temple Hill Rd at Megan Dr,117
884,Naylor Rd Station Ent Drop Off Only,117
