,stops,boardings,alightings
124,ROCKVILLE STATION  & BAY A - WEST,36829.0,34588.0
43,GERMANTOWN TRANSIT CENTER  & BAY B,29052.0,19982.0
157,TWINBROOK STATION  & BAY A - WEST,22561.0,20151.0
128,S CAMPUS DR & CAMPUS DR,22558.0,16901.0
58,MEDICAL CENTER STATION  & BAY D,22028.0,21376.0
51,LAKEFOREST TRANSIT CENTER  & ODENDH,20221.0,19610.0
145,SHADY GROVE STATION  & BAY C - EAST,19847.0,25072.0
101,ROCKVILLE PIKE & MARINELLI RD,14746.0,11563.0
89,ROCKVILLE PIKE & EDMONSTON DR,11357.0,11049.0
120,ROCKVILLE PIKE & TUCKERMAN LN,7472.0,3843.0
96,ROCKVILLE PIKE & HALPINE RD,7076.0,2145.0
47,HUNGERFORD DR & FREDERICK AVE,6454.0,7676.0
87,ROCKVILLE PIKE & CONGRESSIONAL LN,6068.0,7320.0
77,ODENDHAL AVE & FREDERICK AVE,6057.0,6639.0
83,ROCKVILLE PIKE & BOU AVE,5694.0,5485.0
110,ROCKVILLE PIKE & RANDOLPH RD,5689.0,5221.0
158,UNKNOWN,5038.0,6562.0
59,MONROE ST & MONROE PL,4666.0,4178.0
24,FREDERICK RD & GUNNERS BRANCH RD,4085.0,5133.0
109,ROCKVILLE PIKE & POOKS HILL RD,4080.0,3116.0
74,OBSERVATION DR & MONTGOMERY COLLEGE,4066.0,3197.0
139,S FREDERICK AVE & SUMMIT AVE,3864.0,2506.0
125,ROCKVILLE STATION  & BAY B - WEST,3837.0,3007.0
18,FREDERICK RD & APPLEDOWRE WAY,3806.0,2206.0
133,S FREDERICK AVE & EDUCATION BLVD,3738.0,2553.0
69,N WASHINGTON ST & DAWSON AVE,3466.0,3194.0
118,ROCKVILLE PIKE & TEMPLETON PL,3412.0,3487.0
144,SHADY GROVE STATION  & BAY A - WEST,3008.0,3028.0
107,ROCKVILLE PIKE & OLD GEORGETOWN RD,2913.0,865.0
112,ROCKVILLE PIKE & ROLLINS AVE,2836.0,5778.0
79,ROCKVILLE PIKE & @1001,2791.0,1247.0
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,2733.0,2505.0
114,ROCKVILLE PIKE & SECURITY LN,2731.0,1834.0
68,N WASHINGTON ST & BEALL AVE,2731.0,2814.0
84,ROCKVILLE PIKE & BOUIC AVE,2722.0,2393.0
37,FREDERICK RD & SHADY GROVE RD,2714.0,3054.0
111,ROCKVILLE PIKE & RICHARD MONTGOMERY,2577.0,866.0
32,FREDERICK RD & OXBRIDGE DR,2452.0,1832.0
117,ROCKVILLE PIKE & TALBOTT ST,2416.0,3610.0
