,stops,boardings
67,N FREDERICK RD & GUNNERS BRANCH RD,354.0
56,MANNAKEE ST & CAMPUS DR,342.0
93,ROCKVILLE PIKE & FLANDERS AVE,334.0
40,FREDERICK RD & WHEATFIELD DR,326.0
155,TRAVIS AVE & WATKINS MILL RD,297.0
25,FREDERICK RD & GUNNERS DR,288.0
48,HUNGERFORD DR & MANNAKEE ST,261.0
90,ROCKVILLE PIKE & ELSMERE AVE,260.0
134,S FREDERICK AVE & FULKS CORNER AVE,247.0
27,FREDERICK RD & INDIANOLA DR,242.0
140,S FREDERICK AVE & VIRGINIA DR,239.0
28,FREDERICK RD & MAGNOLIA DR,238.0
49,HUNGERFORD DR & N CAMPUS DR,204.0
45,HALPINE RD & ROCKVILLE PIKE,191.0
152,SOMERVILLE DR & REDLAND RD,187.0
121,ROCKVILLE PIKE & WICKSHIRE WAY,175.0
147,SHAKESPEARE BLVD & AMBER RIDGE DR,172.0
95,ROCKVILLE PIKE & GROSVENOR STATION,172.0
81,ROCKVILLE PIKE & BELLEVUE DR,170.0
97,ROCKVILLE PIKE & HILLERY WAY,158.0
150,SHAKESPEARE BLVD & MILESTONE PARK &,143.0
55,MANNAKEE ST & CAMPUS (E) DR,143.0
142,S WASHINGTON ST & COURT HOUSE SQ,120.0
126,RUSSELL AVE & CHRISTOPHER AVE,116.0
160,WATKINS MILL RD & TRAVIS LN,113.0
16,FREDERICK RD & @15501,103.0
149,SHAKESPEARE BLVD & FREDERICK RD,102.0
75,OBSERVATION DR & OBSERVATION CT,98.0
85,ROCKVILLE PIKE & BROAD BROOK DR,94.0
38,FREDERICK RD & SHAKESPEARE BLVD,91.0
14,E MIDDLE LN & WASHINGTON ST,91.0
105,ROCKVILLE PIKE & NORTH DR,86.0
159,WATKINS MILL RD & TRAVIS AVE,80.0
41,GERMANTOWN RD & GOLDENROD LN,65.0
31,FREDERICK RD & NEELSVILLE CHURCH RD,63.0
73,OBSERVATION DR & BOLAND FARM RD,56.0
65,N FREDERICK AVE & TRAVIS AVE,55.0
50,KING FARM BLVD & FREDERICK RD,53.0
76,OBSERVATION DR & PANTHER RIDGE DR,53.0
156,TUCKERMAN LN & ROCKVILLE PIKE,47.0
35,FREDERICK RD & RIDGEMONT AVE,39.0
15,FREDERICK RD & @15,29.0
100,ROCKVILLE PIKE & LOCUST HILL RD,25.0
72,OBSERVATION DR & @20457 (SENECA MEA,17.0
46,HUNGERFORD DR & @700,13.0
21,FREDERICK RD & COLLINS DR,11.0
0,CHAPMAN AVE & BOUIC AVE,7.0
146,SHADYGROVE METRO LOT  & METRO LOT,5.0
