,stops,alightings
124,ROCKVILLE STATION  & BAY A - WEST,34588.0
145,SHADY GROVE STATION  & BAY C - EAST,25072.0
58,MEDICAL CENTER STATION  & BAY D,21376.0
157,TWINBROOK STATION  & BAY A - WEST,20151.0
43,GERMANTOWN TRANSIT CENTER  & BAY B,19982.0
51,LAKEFOREST TRANSIT CENTER  & ODENDH,19610.0
128,S CAMPUS DR & CAMPUS DR,16901.0
101,ROCKVILLE PIKE & MARINELLI RD,11563.0
89,ROCKVILLE PIKE & EDMONSTON DR,11049.0
47,HUNGERFORD DR & FREDERICK AVE,7676.0
87,ROCKVILLE PIKE & CONGRESSIONAL LN,7320.0
77,ODENDHAL AVE & FREDERICK AVE,6639.0
158,UNKNOWN,6562.0
112,ROCKVILLE PIKE & ROLLINS AVE,5778.0
83,ROCKVILLE PIKE & BOU AVE,5485.0
110,ROCKVILLE PIKE & RANDOLPH RD,5221.0
24,FREDERICK RD & GUNNERS BRANCH RD,5133.0
99,ROCKVILLE PIKE & HUBBARD DR,4333.0
59,MONROE ST & MONROE PL,4178.0
44,GROSVENOR STATION  & BAY E,3922.0
120,ROCKVILLE PIKE & TUCKERMAN LN,3843.0
117,ROCKVILLE PIKE & TALBOTT ST,3610.0
113,ROCKVILLE PIKE & ROSE AVE,3595.0
118,ROCKVILLE PIKE & TEMPLETON PL,3487.0
74,OBSERVATION DR & MONTGOMERY COLLEGE,3197.0
69,N WASHINGTON ST & DAWSON AVE,3194.0
109,ROCKVILLE PIKE & POOKS HILL RD,3116.0
37,FREDERICK RD & SHADY GROVE RD,3054.0
144,SHADY GROVE STATION  & BAY A - WEST,3028.0
125,ROCKVILLE STATION  & BAY B - WEST,3007.0
45,HALPINE RD & ROCKVILLE PIKE,2924.0
68,N WASHINGTON ST & BEALL AVE,2814.0
133,S FREDERICK AVE & EDUCATION BLVD,2553.0
139,S FREDERICK AVE & SUMMIT AVE,2506.0
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,2505.0
57,MANNAKEE ST & HUNGERFORD DR,2490.0
102,ROCKVILLE PIKE & MT VERNON PL,2401.0
70,N WASHINGTON ST & MARTINS LN,2395.0
84,ROCKVILLE PIKE & BOUIC AVE,2393.0
91,ROCKVILLE PIKE & EXECUTIVE BLVD,2357.0
5,CHRISTOPHER AVE & RUSSELL AVE,2259.0
104,ROCKVILLE PIKE & NICHOLSON LN,2233.0
60,N FREDERICK AVE & BROOKS AVE,2223.0
18,FREDERICK RD & APPLEDOWRE WAY,2206.0
105,ROCKVILLE PIKE & NORTH DR,2195.0
96,ROCKVILLE PIKE & HALPINE RD,2145.0
92,ROCKVILLE PIKE & FIRST ST,2093.0
63,N FREDERICK AVE & MONTGOMERY AVE,2075.0
20,FREDERICK RD & COLLEGE PKWY,2007.0
64,N FREDERICK AVE & PROFESSIONAL DR,1915.0
53,LOST KNIFE RD & CONTOUR RD,1914.0
36,FREDERICK RD & SCENERY DR,1885.0
78,ODENDHAL AVE & RUSSELL AVE,1864.0
108,ROCKVILLE PIKE & PIKE CENTER,1850.0
114,ROCKVILLE PIKE & SECURITY LN,1834.0
32,FREDERICK RD & OXBRIDGE DR,1832.0
123,ROCKVILLE PIKE & WOOTTON PKWY,1802.0
71,N WASHINGTON ST & MIDDLE LN,1735.0
151,SHAKESPEARE BLVD & OBSERVATION DR,1701.0
34,FREDERICK RD & REDLAND RD,1631.0
138,S FREDERICK AVE & S WESTLAND DR,1619.0
129,S FREDERICK AVE & CEDAR AVE,1574.0
14,E MIDDLE LN & WASHINGTON ST,1478.0
103,ROCKVILLE PIKE & NEW ST,1462.0
119,ROCKVILLE PIKE & THOMPSON AVE,1433.0
122,ROCKVILLE PIKE & WOODMONT STATION,1425.0
6,CHRISTOPHER AVE & VILLAGE OVERLOOK,1391.0
88,ROCKVILLE PIKE & COUNTRY CLUB RD,1297.0
137,S FREDERICK AVE & ROSEMONT DR,1286.0
79,ROCKVILLE PIKE & @1001,1247.0
33,FREDERICK RD & PLUMMER DR,1244.0
54,LOST KNIFE RD & MONTGOMERY VILLAGE,1195.0
62,N FREDERICK AVE & MARYLAND AVE,1065.0
131,S FREDERICK AVE & DEER PARK DR,1053.0
7,CONTOUR RD & HORIZON RUN RD,1028.0
66,N FREDERICK AVE & WHETSTONE DR,1020.0
61,N FREDERICK AVE & CHESTNUT ST,1012.0
141,S FREDERICK AVE & WESTLAND DR,912.0
13,E MIDDLE LN & MONROE ST,890.0
3,CHRISTOPHER AVE & HELLINGLY PL,875.0
28,FREDERICK RD & MAGNOLIA DR,873.0
111,ROCKVILLE PIKE & RICHARD MONTGOMERY,866.0
107,ROCKVILLE PIKE & OLD GEORGETOWN RD,865.0
153,TRAVIS AVE & TRAVIS LN,864.0
52,LOST KNIFE RD & CIDER MILL APTS,854.0
149,SHAKESPEARE BLVD & FREDERICK RD,827.0
97,ROCKVILLE PIKE & HILLERY WAY,810.0
