,stop,alightings
366,Brinkley Rd at Brinkley House W Ent,1187
1233,Springhill Dr at Springhill Ln,1186
1032,Pennsylvania Ave at Old Marlboro Pl,1180
122,85th Avenue and Carrollon Manor,1172
1234,Springhill Ln at Breezewood Ct,1162
417,Campus Way South at Central Ave,1148
1127,Riverdale Rd at 57th Ave,1134
526,Crescent Rd at Gardenway,1132
1302,Temple Hill Rd at St Barnabas Rd,1128
423,Campus Way at PGCC Perimeter Rd,1124
1314,University Blvd at Riggs Rd,1090
83,42nd Ave at Madison St,1086
16,16th Ave at Cypress Creek Dr,1076
1176,Sheriff Rd at Belle Haven Dr,1071
565,East-West Hwy at Metro Center Dr,1066
399,Brooks Drive at Marlboro Pike,1058
1237,Springhill Ln at Springhill Dr,1045
42,3209 75th Ave,1033
260,Baltimore Ave at Cherry Hill Road,1028
860,Marlboro Pike at Walters Ln,1024
661,Hampton Park Boulevard at Hampton Mall Dr,1013
1078,Rhode Island Ave at 34th Street,1003
628,Greenbelt Rd at Opp. Greenbelt Center,1001
302,Bladensburg Rd at 38th St,999
338,Breezewood Dr at Cherrywood Ter,988
957,Old Silver Hill Rd at Parkland Dr,985
162,Addison Rd at Adak St,985
73,4138 Whitehall Square Apts - in,983
556,Donnell Drive at Target Store,971
189,Allentown Rd at Allentown Way,967
488,Cipriano Rd at Brae Brooke Dr,945
31,28th Ave at Keith St,936
612,Good Luck Rd at Crest Park Dr,933
216,Annapolis Rd at Bladensburg Elem. School,917
1069,Raleigh Rd at Culver St,914
484,Chillum Rd at Longford Dr,913
720,Indian Head Highway at Audrey Ln,913
751,Kipling Pkwy at Marlboro Pike,906
85,42nd Ave at Oglethorpe St,905
666,Hanover Pkwy at Greenway Center Dr,903
987,Oxon Hill Fringe Parking Lot at Bus Bay F,901
53,38th St at Bunker Hill Rd,892
492,Clinton Manor,883
580,Fairlawn St at Colebrooke Dr,881
294,Belcrest at PG Plaza Metrorail,880
920,Old Alexandria Ferry Rd at Woodyard Rd,869
829,MLK Jr Hwy at Columbia Park Rd,866
430,Capitol Heights Blvd at Emmet St,862
1297,Temple Hill Rd at Portal Ave,860
567,East-West Hwy at Toledo Ter,856
550,Dodge Park Rd at Hubbard Rd,856
672,Hanover Pkwy at Ora Glen Dr,845
659,Hampton Park Boulevard at East Hampton Dr,841
677,Harry S Truman Dr at Birdie Ln,839
1024,PGCC Perimeter Rd at Annex A Building,838
442,Central Ave at Brightseat Rd,835
1049,Possum Ct at Walker Mill Dr,823
1280,Temple Hill Rd at Allentown Rd,818
197,Allentown Rd at Old Branch Ave,816
1336,Walker Mill Rd at Rochell Ave,809
1100,Ritchie Rd at Central Ave,803
259,Baltimore Ave at Cherokee St,800
1232,Springhill Dr at Cherrywood Ln,799
420,Campus Way South at Joyceton Dr,797
502,Columbia Park Rd at Marshall Pl,791
1033,Pennsylvania Ave at Penn Crossing Dr,787
990,Oxon Hill Rd at 6192 Oxon Hill Rd,775
756,Lamont Dr at Carrollton Pkwy,771
1031,Pennsylvania Ave at Forestville Rd,771
1137,Riverdale Rd at Eastpine Dr,769
1073,Ray Rd at Cypress Creek Dr,765
282,Baltimore Ave at Tecumseh St,765
953,Old Pike Way at Dower House Rd,762
1113,Ritchie Rd at Roslyn Ave,761
1319,Valley Trail Ln at Catesby Ct,760
1308,Toledo Rd at Belcrest Rd,755
613,Good Luck Rd at Dawnwood Dr,754
818,Lottsford Rd at Zachery St,750
192,Allentown Rd at Camp Springs Ave,745
279,Baltimore Ave at Riverdale Rd,739
869,Maxwell Dr at Allentown Rd,738
790,Largo Rd at Hancock Dr,733
267,Baltimore Ave at Hartwick Rd,732
801,Largo Rd at Watkins Park Dr,723
1307,Toledo Rd at Adelphi Rd,723
859,Marlboro Pike at Upland Ave,719
743,Kenilworth Ave at Nicholson St,717
1134,Riverdale Rd at 67th Ave,716
958,Olson St at Norcross St,714
1054,Queens Chapel Rd at Hamilton St,712
98,54th Ave at Jefferson St,712
652,Hamilton St at 35th Ave,712
783,Largo Rd  at Water Foul Way,710
272,Baltimore Ave at Lakeland Rd,710
300,Benning Rd at Drum Ave,709
774,Landover Rd at Annapolis Rd,706
1332,Walker Mill Dr at New Mt. Nebo Baptist Church,705
1051,Prince George's Plaza Entrance,702
1120,Ritchie-Marlboro Rd & Sansbury Rd,702
501,Columbia Park Rd at Columbia Pl,700
520,County Rd at Valley Brook Apts,699
486,Chillum Rd at Shoppers Food,698
288,Belcrest Rd at 6505 Belcrest Rd,695
398,Brooks Dr at Ridley St,692
895,Nalley Rd at Michele Ct,692
1209,Southern Ave at C St,692
718,Indian Head Highway (MD. RTE. 210) at Southern Ave,685
591,Fisher Rd at St. Moritz Dr,678
1298,Temple Hill Rd at Rickey Ave,678
673,Hanover Pkwy at Prem # 7718,675
665,Hanover Pkwy at Greenbrook Dr,675
622,Greenbelt Metro Dr at Cherrywood Ln,674
1140,Riverdale Rd at Heritage Square Apts,673
593,Forestville Rd at Parston Dr,672
242,Auburn Ave at Chestnut Ave,669
851,Marlboro Pike at Kipling Pkwy,664
1205,Southern Ave at 9th St SE,655
1075,Ray Rd at Madison St,654
102,5827 Allentown Way at Old Branch Ave,654
1098,Ritchie Rd at Alberta Dr,650
757,Lamont Dr at Donoghue Dr,647
411,Campus Way North at Grey Gables Ct,647
523,Coventry Way at Old Alexandria Ferry Rd,643
978,Owens Rd at Kennebec St,641
846,Manor at Victoria Park,638
1040,Piscataway Rd at Brandywine Rd,637
84,42nd Ave at Nicholson St,629
1044,Piscataway Rd at Pella Place,628
30,28th Ave at Keating St,626
754,Kipling Pkwy at Wintergreen Ave,626
521,County Service Building,623
1218,Southern Ave at Robert Yedell Towers,622
572,Elm St at Gov Oden Bowie Dr,621
219,Apollo Dr at Arena Dr,618
706,Hubbard Rd at Martin Luther King,617
660,Hampton Park Boulevard at Edgeworth Dr,617
1008,Oxon Hill Rd at Rivertown Commons(6135),615
494,College Park Station,611
333,Brandywine Road at Brooke Jane Drive,610
926,Old Branch Ave at Kirby Ln,609
662,Hampton Park Boulevard at Steeplechase,605
1116,Ritchie Rd at Vineyard Dr,605
392,Brinkley Rd at Temple Hill Rd,603
1229,Southway at Crescent Rd,602
886,Morris Ave at Maxwell Dr,600
1331,WILSON BRIDGE DRIVE,598
48,34th St at Bunker Hill Rd,593
1174,Sargent Rd at Rollingcrest Commons,591
236,Ashwood Dr at Dunmore Pl,589
992,Oxon Hill Rd at 6246 Oxon Hill Rd,588
551,Dodge Park Rd at Landover Rd,587
59,38th St at Shepherd St,585
991,Oxon Hill Rd at 6201 Oxon Hill Plaza,582
749,Kipling Pkwy at Harwood Rd,581
759,Lamont Dr at Lamont Pl,579
1197,Silver Hill Rd at Randall Rd,579
99,5600 54th Ave,579
220,Apollo Dr at Lottsford Rd,571
290,Belcrest Rd at PG Plaza,569
854,Marlboro Pike at Melwood Mall,566
1055,Queens Chapel Rd at Lancer Dr,566
722,Indian Head Highway at Southern Ave,564
1198,Silver Hill Rd at Suitland Rd,560
74,414 Brightseat Rd,558
