,stop,boardings,alightings
1348,Wmap Rd at Icesat Rd,1019,1278
1260,Suitland Rd at 4410 Suitland Rd,574,1277
847,Marlboro Pike at County Rd,2469,1269
1071,Raleigh Rd at St Barnabas Rd,929,1262
606,Goddard Space Flight Center Main Gate (Northbound),422,1255
75,4174 Whitehall Square Apts,1002,1238
1263,Suitland Rd at Opposite Prem. #4211,0,1235
15,15th Ave at University Blvd,607,1233
667,Hanover Pkwy at Hanover Dr,1337,1232
319,Branchwood Towers,1092,1217
401,CAB - Arrival,13,1214
1224,Southern Maryland Hospital (Hidden Arrival),38,1210
506,Columbia Park Rd at South Club Dr,662,1210
538,Denise Dr at Epworth Way,774,1204
781,Lansdowne Village Apts,1258,1199
24,23rd Ave at Lewisdale Dr,946,1196
366,Brinkley Rd at Brinkley House W Ent,212,1187
1233,Springhill Dr at Springhill Ln,998,1186
1032,Pennsylvania Ave at Old Marlboro Pl,77,1180
122,85th Avenue and Carrollon Manor,460,1172
1234,Springhill Ln at Breezewood Ct,1386,1162
417,Campus Way South at Central Ave,821,1148
1127,Riverdale Rd at 57th Ave,1902,1134
526,Crescent Rd at Gardenway,1381,1132
1302,Temple Hill Rd at St Barnabas Rd,1545,1128
423,Campus Way at PGCC Perimeter Rd,797,1124
1314,University Blvd at Riggs Rd,2415,1090
83,42nd Ave at Madison St,435,1086
16,16th Ave at Cypress Creek Dr,795,1076
1176,Sheriff Rd at Belle Haven Dr,277,1071
565,East-West Hwy at Metro Center Dr,651,1066
399,Brooks Drive at Marlboro Pike,838,1058
1237,Springhill Ln at Springhill Dr,1061,1045
42,3209 75th Ave,1654,1033
260,Baltimore Ave at Cherry Hill Road,697,1028
860,Marlboro Pike at Walters Ln,937,1024
661,Hampton Park Boulevard at Hampton Mall Dr,823,1013
1078,Rhode Island Ave at 34th Street,598,1003
628,Greenbelt Rd at Opp. Greenbelt Center,1162,1001
302,Bladensburg Rd at 38th St,1097,999
338,Breezewood Dr at Cherrywood Ter,1144,988
162,Addison Rd at Adak St,805,985
957,Old Silver Hill Rd at Parkland Dr,1051,985
73,4138 Whitehall Square Apts - in,788,983
556,Donnell Drive at Target Store,478,971
189,Allentown Rd at Allentown Way,251,967
488,Cipriano Rd at Brae Brooke Dr,1354,945
31,28th Ave at Keith St,1047,936
612,Good Luck Rd at Crest Park Dr,103,933
216,Annapolis Rd at Bladensburg Elem. School,313,917
1069,Raleigh Rd at Culver St,1076,914
720,Indian Head Highway at Audrey Ln,578,913
484,Chillum Rd at Longford Dr,1237,913
751,Kipling Pkwy at Marlboro Pike,956,906
85,42nd Ave at Oglethorpe St,1177,905
666,Hanover Pkwy at Greenway Center Dr,1195,903
987,Oxon Hill Fringe Parking Lot at Bus Bay F,143,901
53,38th St at Bunker Hill Rd,595,892
492,Clinton Manor,1069,883
580,Fairlawn St at Colebrooke Dr,404,881
294,Belcrest at PG Plaza Metrorail,1088,880
920,Old Alexandria Ferry Rd at Woodyard Rd,838,869
829,MLK Jr Hwy at Columbia Park Rd,736,866
430,Capitol Heights Blvd at Emmet St,441,862
1297,Temple Hill Rd at Portal Ave,634,860
567,East-West Hwy at Toledo Ter,455,856
550,Dodge Park Rd at Hubbard Rd,1451,856
672,Hanover Pkwy at Ora Glen Dr,396,845
659,Hampton Park Boulevard at East Hampton Dr,249,841
677,Harry S Truman Dr at Birdie Ln,971,839
1024,PGCC Perimeter Rd at Annex A Building,365,838
442,Central Ave at Brightseat Rd,787,835
1049,Possum Ct at Walker Mill Dr,893,823
1280,Temple Hill Rd at Allentown Rd,779,818
197,Allentown Rd at Old Branch Ave,388,816
1336,Walker Mill Rd at Rochell Ave,1037,809
1100,Ritchie Rd at Central Ave,79,803
259,Baltimore Ave at Cherokee St,945,800
1232,Springhill Dr at Cherrywood Ln,1042,799
420,Campus Way South at Joyceton Dr,1644,797
502,Columbia Park Rd at Marshall Pl,737,791
1033,Pennsylvania Ave at Penn Crossing Dr,443,787
990,Oxon Hill Rd at 6192 Oxon Hill Rd,412,775
756,Lamont Dr at Carrollton Pkwy,1544,771
1031,Pennsylvania Ave at Forestville Rd,301,771
1137,Riverdale Rd at Eastpine Dr,94,769
1073,Ray Rd at Cypress Creek Dr,566,765
282,Baltimore Ave at Tecumseh St,387,765
953,Old Pike Way at Dower House Rd,828,762
1113,Ritchie Rd at Roslyn Ave,523,761
1319,Valley Trail Ln at Catesby Ct,1071,760
1308,Toledo Rd at Belcrest Rd,638,755
613,Good Luck Rd at Dawnwood Dr,639,754
818,Lottsford Rd at Zachery St,579,750
192,Allentown Rd at Camp Springs Ave,1446,745
279,Baltimore Ave at Riverdale Rd,121,739
869,Maxwell Dr at Allentown Rd,744,738
790,Largo Rd at Hancock Dr,64,733
267,Baltimore Ave at Hartwick Rd,970,732
1307,Toledo Rd at Adelphi Rd,645,723
801,Largo Rd at Watkins Park Dr,188,723
859,Marlboro Pike at Upland Ave,830,719
743,Kenilworth Ave at Nicholson St,343,717
1134,Riverdale Rd at 67th Ave,927,716
958,Olson St at Norcross St,314,714
1054,Queens Chapel Rd at Hamilton St,420,712
98,54th Ave at Jefferson St,511,712
652,Hamilton St at 35th Ave,1020,712
783,Largo Rd  at Water Foul Way,11,710
272,Baltimore Ave at Lakeland Rd,576,710
300,Benning Rd at Drum Ave,395,709
774,Landover Rd at Annapolis Rd,697,706
1332,Walker Mill Dr at New Mt. Nebo Baptist Church,409,705
1051,Prince George's Plaza Entrance,0,702
1120,Ritchie-Marlboro Rd & Sansbury Rd,635,702
501,Columbia Park Rd at Columbia Pl,733,700
520,County Rd at Valley Brook Apts,709,699
486,Chillum Rd at Shoppers Food,206,698
288,Belcrest Rd at 6505 Belcrest Rd,1375,695
1209,Southern Ave at C St,445,692
895,Nalley Rd at Michele Ct,229,692
398,Brooks Dr at Ridley St,1283,692
718,Indian Head Highway (MD. RTE. 210) at Southern Ave,732,685
591,Fisher Rd at St. Moritz Dr,923,678
1298,Temple Hill Rd at Rickey Ave,891,678
665,Hanover Pkwy at Greenbrook Dr,904,675
673,Hanover Pkwy at Prem # 7718,1181,675
622,Greenbelt Metro Dr at Cherrywood Ln,505,674
1140,Riverdale Rd at Heritage Square Apts,206,673
593,Forestville Rd at Parston Dr,1037,672
242,Auburn Ave at Chestnut Ave,315,669
851,Marlboro Pike at Kipling Pkwy,536,664
1205,Southern Ave at 9th St SE,974,655
102,5827 Allentown Way at Old Branch Ave,201,654
1075,Ray Rd at Madison St,552,654
1098,Ritchie Rd at Alberta Dr,271,650
411,Campus Way North at Grey Gables Ct,787,647
757,Lamont Dr at Donoghue Dr,655,647
523,Coventry Way at Old Alexandria Ferry Rd,403,643
978,Owens Rd at Kennebec St,650,641
846,Manor at Victoria Park,686,638
1040,Piscataway Rd at Brandywine Rd,96,637
84,42nd Ave at Nicholson St,1159,629
1044,Piscataway Rd at Pella Place,774,628
754,Kipling Pkwy at Wintergreen Ave,752,626
30,28th Ave at Keating St,666,626
521,County Service Building,907,623
1218,Southern Ave at Robert Yedell Towers,415,622
572,Elm St at Gov Oden Bowie Dr,1611,621
219,Apollo Dr at Arena Dr,478,618
660,Hampton Park Boulevard at Edgeworth Dr,254,617
706,Hubbard Rd at Martin Luther King,598,617
1008,Oxon Hill Rd at Rivertown Commons(6135),708,615
494,College Park Station,468,611
333,Brandywine Road at Brooke Jane Drive,89,610
926,Old Branch Ave at Kirby Ln,56,609
662,Hampton Park Boulevard at Steeplechase,414,605
1116,Ritchie Rd at Vineyard Dr,738,605
392,Brinkley Rd at Temple Hill Rd,494,603
1229,Southway at Crescent Rd,513,602
886,Morris Ave at Maxwell Dr,434,600
1331,WILSON BRIDGE DRIVE,646,598
48,34th St at Bunker Hill Rd,207,593
1174,Sargent Rd at Rollingcrest Commons,649,591
236,Ashwood Dr at Dunmore Pl,434,589
992,Oxon Hill Rd at 6246 Oxon Hill Rd,411,588
551,Dodge Park Rd at Landover Rd,603,587
59,38th St at Shepherd St,388,585
991,Oxon Hill Rd at 6201 Oxon Hill Plaza,286,582
749,Kipling Pkwy at Harwood Rd,628,581
99,5600 54th Ave,406,579
759,Lamont Dr at Lamont Pl,837,579
1197,Silver Hill Rd at Randall Rd,600,579
220,Apollo Dr at Lottsford Rd,576,571
290,Belcrest Rd at PG Plaza,354,569
1055,Queens Chapel Rd at Lancer Dr,290,566
854,Marlboro Pike at Melwood Mall,689,566
722,Indian Head Highway at Southern Ave,458,564
1198,Silver Hill Rd at Suitland Rd,685,560
74,414 Brightseat Rd,368,558
548,District Heights Pkwy at Rochelle Ave,707,556
543,District Heights Pkwy at Addison Rd S,661,556
1070,Raleigh Rd at Olson St,753,550
768,Landover Rd at 55th Ave,896,550
434,Capitol Heights Station,6193,548
271,Baltimore Ave at Knox Rd,372,546
1194,Silver Hill Rd at Parkway Terrace Dr,734,545
275,Baltimore Ave at Oglethorpe St,368,545
1110,Ritchie Rd at Ritchie Dr,391,542
870,Maxwell Dr at Morris Ave,693,537
479,Chillum Rd at 18th Ave,82,535
293,Belcrest Rd at Queens Chapel Rd,683,535
1351,Woodyard Rd at Autumn Way,166,534
760,Lamont Dr at Larchwood St,192,533
553,Donnell Dr at Marlboro Pike,1910,533
562,East Capitol St at Yost Pl,497,529
280,Baltimore Ave at Rossborough Ln,382,529
1245,St Barnabas Rd at Raleigh Rd,498,527
476,Cheverly Ave at Montrose Rd,393,525
1014,PALMER ROAD & DEVON HILLS DRIVE,658,524
989,Oxon Hill Rd at 6130 Oxon Hill Rd,190,522
218,Annapolis Rd at Riverdale Rd,1013,522
9,1400 Merchantile Ln,221,522
1187,Sheriff Rd at MLK Highway,201,519
601,Garrett A. Morgan Blvd at Gibbs Way,171,516
315,Bock Rd at Technology Recreation Complex,302,513
25,23rd Ave at Sheridan St,506,511
1299,Temple Hill Rd at Santeetlah Dr,190,508
1261,Suitland Rd at Homer Ave,363,508
389,Brinkley Rd at Shopton Pl,376,508
1315,Upshur St at 28th St,274,505
946,Old Marlboro Pike at Roblee Dr,552,505
904,New Carrollton Station Bay K,3547,505
868,Mattowoman Beantown Rd at MTA Park and Ride Lot (Arrival),30,500
890,Nalley Rd at Capital View Dr,853,499
64,38th St at Windom Rd,900,498
636,Greenbrook Dr at Hanover Pkwy,470,496
1265,Suitland Rd at Suitland Federal Center Gate 1,696,496
1304,Temple Hill Rd at Weldon Dr,702,494
444,Central Ave at Cindy Ln,979,494
589,Fisher Rd at Heather Hill Ent.,234,494
336,Brandywine Road at Surrats Road,260,492
126,9240 Springhill Ln,194,491
840,Madison St at Timber Creek Dr,749,489
1186,Sheriff Rd at Harvey Dr,357,489
924,Old Branch Ave at Arbutus Ln,612,489
47,3417 Dodge Park Rd,490,488
49,34th St at Newton St,50,487
409,Campus Drive at Baltimore Ave,160,485
1287,Temple Hill Rd at Henderson Rd,384,485
184,Ager Rd at Oglethorpe St,588,484
1021,PG Plaza Station (Hidden Arrival),0,483
41,3133 Pennsy Dr,494,483
653,Hamilton St at 36th Ave,833,482
1141,Riverdale Rd at Mahoney Dr,601,481
4,10800 Indian Head Highway at Fort Washington Manor,363,481
26,23rd Ave at Woodberry St,331,480
386,Brinkley Rd at Rose Croft Shopping Center,355,479
19,23rd Ave at Amherst Rd,1224,479
585,Fisher Rd at Clow Ct,670,478
405,CAMPUS WAY NORTH AT LADY GROVE ROAD,386,478
507,Columbia Park Rd at Stanford Court,127,476
1321,Village Dr West at Bishopmill Dr,475,475
655,Hamilton St at 38th Ave,372,472
20,23rd Ave at Banning Pl,851,470
262,Baltimore Ave at East-West Hwy,863,467
123,85th Avenue and Hiltop Apartments,291,465
105,60th Ave at Greenbelt Rd,368,463
1203,Southern Ave at 13th St SE,896,461
27,2400 Chillum Rd,489,461
821,MLK Jr Hwy at 65th Ave,509,461
391,Brinkley Rd at Summerhill Rd,567,459
1106,Ritchie Rd at Mane Ln,286,458
500,Columbia Park Rd at Clarkson Way,177,458
1035,Peppermill Dr at Canyon Dr,731,457
537,Denise Dr at Dutton Way,1123,455
489,Clairfield Lane - Arrival,9,455
900,New Carrollton Station,20468,455
1111,Ritchie Rd at Ritchie Rd Spur,786,454
1138,Riverdale Rd at Fernwood Terrance,91,449
701,Hillside Rd at Laurel Hill Rd,396,446
611,Good Luck Rd at Cathedral Ave,472,446
848,Marlboro Pike at Forest Run Dr,59,444
77,4211 Suitland Rd (Opposite),74,442
402,CAMPUS WAY AT NORTH AT ST. JOSEPHS DRIVE,416,439
238,Ashwood Dr at Ritchie Rd,72,439
322,Brandywine Rd at Clinton Way,182,439
529,Crescent Rd at Ridge Rd,209,438
33,28th Pkwy at 27th Ave,473,436
1262,Suitland Rd at Opp. Suitland Federal Center Gate 3,366,435
988,Oxon Hill Rd OXON HILL FRINGE at Oxon Rd (arrival) (Arrival),11,432
830,MLK Jr Hwy at Glen Willow Dr,750,430
432,Capitol Heights Blvd at Heath St,241,428
1099,Ritchie Rd at Ashville Rd,519,427
1181,Sheriff Rd at Dutch Village Dr,305,425
55,38th St at Hamilton St,517,425
446,Central Ave at Garrett A Morgan Blvd,103,419
795,Largo Rd at Largo Landing,499,418
421,Campus Way South at PGCC Perimeter Rd,346,414
22,23rd Ave at Drexel St,649,410
1101,Ritchie Rd at D'arcy Rd,339,409
742,Kanawha St at 15th Ave,865,409
210,Annapolis Rd at 48th St,309,406
1017,PALMER ROAD & OLD PALMER ROAD,587,406
1223,Southern Maryland Hospital,1643,403
157,ALLENTOWN WAY & 5846 ALLENTOWN WAY,0,401
544,District Heights Pkwy at Breton Dr,532,400
369,Brinkley Rd at Cherryfield Rd,151,399
1139,Riverdale Rd at Fountainbleau Dr,1136,398
1328,Village Green Dr at Sheriff Rd,408,396
193,Allentown Rd at Coolridge Rd,489,394
505,Columbia Park Rd at Oregon Ave,99,394
90,4412 Suitland Rd (Opposite),349,388
