,hour,route,boardings,alightings
520,23,Maintenance,57,56
455,18,Route 51,55,54
116,8,Maintenance,57,53
26,5,Maintenance,58,52
47,5,Route 35,260,51
38,5,Route 23,24,50
113,7,Strategic,57,49
503,20,Route 26,9,45
487,19,Special,35,44
85,7,Maintenance,45,43
82,6,Strategic,50,42
37,5,Route 22,40,40
24,4,Strategic,38,40
489,19,Training,36,39
360,15,Route 37,153,39
237,11,Strategic,30,35
300,13,Training,23,33
46,5,Route 34,590,31
175,9,Strategic,33,31
363,15,Strategic,43,29
299,13,Strategic,38,28
5,1,Maintenance,24,28
508,20,Strategic,26,28
517,22,Strategic,25,25
65,6,Route 21 Express,530,25
491,20,Maintenance,27,25
52,5,Training,20,24
31,5,Route 15 Express,42,24
499,20,Route 21,0,23
498,20,Route 20,24,22
331,14,Strategic,42,22
45,5,Route 33,25,21
43,5,Route 30,37,21
364,15,Training,17,20
36,5,Route 21,111,19
268,12,Strategic,25,18
176,9,Training,22,18
40,5,Route 26,41,18
6,1,Strategic,10,17
114,7,Training,16,17
15,4,Maintenance,22,15
514,21,Strategic,12,14
48,5,Route 36,17,14
17,4,Route 14,14,14
207,10,Strategic,21,14
12,3,Maintenance,9,13
145,8,Training,13,13
41,5,Route 27,17,13
2,0,Special,9,13
238,11,Training,9,13
3,0,Strategic,8,12
10,2,Strategic,9,12
21,4,Route 24,10,12
301,13,UPS,13,12
35,5,Route 20,10,12
270,12,UPS,12,11
42,5,Route 28,13,11
308,14,Route 15 Express,16,11
208,10,Training,9,10
477,19,Route 27,4,10
396,16,Training,6,8
18,4,Route 17 (Route 1 Ride),4,7
458,18,Training,3,7
83,6,Training,7,7
332,14,Training,6,6
518,22,Training,6,6
427,17,Training,4,5
239,11,UPS,7,5
269,12,Training,4,4
50,5,Route 51,2,4
13,3,Strategic,4,3
509,20,Training,2,3
513,21,Special,1,2
22,4,Route 32,1,2
23,4,Route 33,0,2
522,23,Training,1,1
16,4,Route 11,1,1
20,4,Route 21,1,1
512,21,Route 33,0,1
9,2,Special,0,1
493,20,Route 12,0,1
19,4,Route 18,0,1
177,9,UPS,1,0
