route,stops,early,on_time,late,total,early %,on_time %,late %
24,Capitol Heights Station Bay B,101,497,15,613,0.16,0.81,0.02
24,Kipling Pkwy at Council Dr,220,384,12,616,0.36,0.62,0.02
24,Brooks Drive at Marlboro Pike,227,374,9,610,0.37,0.61,0.01
24,Morgan Blvd Metro Station,248,526,197,971,0.26,0.54,0.2
24,District Heights Municipal Bldg,688,568,22,1278,0.54,0.44,0.02
24,Old Forestville Rd at Forestville Rd,760,463,83,1306,0.58,0.35,0.06
24,Brooks Dr at Marlboro Pike,401,210,15,626,0.64,0.34,0.02
24,Denise Dr at Rollins Ave,791,378,18,1187,0.67,0.32,0.02
24,Council Dr at Kipling Pkwy,448,160,15,623,0.72,0.26,0.02
24,Capitol Heights - Arrival,264,122,210,596,0.44,0.2,0.35
