route,stops,early,on_time,late,total,early %,on_time %,late %
16,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),80,309,83,472,0.17,0.65,0.18
16,New Carrollton Station,73,256,87,416,0.18,0.62,0.21
16,Greenbelt Metro Station Bus Bay A,98,208,65,371,0.26,0.56,0.18
16,Lamont Dr at Donoghue Dr,146,231,67,444,0.33,0.52,0.15
16,Hanover Pkwy at Greenway Center Dr,223,229,38,490,0.46,0.47,0.08
16,57th Ave at Berwyn Rd,415,403,117,935,0.44,0.43,0.13
16,Doctors Community Hospital,511,418,105,1034,0.49,0.4,0.1
16,Hanover Pkwy at Ora Glen Dr,252,171,34,457,0.55,0.37,0.07
16,Riverdale Rd at Carrollton Mall,501,330,98,929,0.54,0.36,0.11
16,Lamont Dr at Lamont Pl,298,172,18,488,0.61,0.35,0.04
16,Beltway Plaza Shopping Center,330,109,20,459,0.72,0.24,0.04
16,New Carrollton Station - Arrival,275,66,108,449,0.61,0.15,0.24
16,Greenbelt Metro Station (Arrival),282,61,151,494,0.57,0.12,0.31
