route,stops,early,on_time,late,total,early %,on_time %,late %
25,Capitol Heights Station,22,1760,169,1951,0.01,0.9,0.09
25,East Capital Street at Old Central Ave,26,800,108,934,0.03,0.86,0.12
25,Marlboro Pike at Nova Ave,54,771,129,954,0.06,0.81,0.14
25,Highview Pl at Sunbury Ct,327,1508,163,1998,0.16,0.75,0.08
25,Benning Rd at Southern Ave,247,675,53,975,0.25,0.69,0.05
25,East Capitol St at Yost Pl,310,665,87,1062,0.29,0.63,0.08
25,Southern Ave at C St,572,1149,122,1843,0.31,0.62,0.07
25,Benning Rd at Abel Ave,381,419,50,850,0.45,0.49,0.06
25,Capitol Heights - Arrival,871,855,322,2048,0.43,0.42,0.16
25,Nova Ave at Marlboro Pike,764,294,26,1084,0.7,0.27,0.02
