route,stops,early,on_time,late,total,early %,on_time %,late %
36,Mattowoman Beantown Rd at MTA Park and Ride Lot,17,804,235,1056,0.02,0.76,0.22
36,Matapeake Business Dr at Target Store (opposite),149,763,257,1169,0.13,0.65,0.22
36,Brandywine Road @ Groveton Drive,162,677,272,1111,0.15,0.61,0.24
36,Brandywine Road at Surrats Road,207,663,209,1079,0.19,0.61,0.19
36,Brandywine Road at Groveton Drive,233,635,211,1079,0.22,0.59,0.2
36,Gwynn Park High School,487,1352,474,2313,0.21,0.58,0.2
36,Mattawoman Beantown Rd at Pinefield Center,234,1277,784,2295,0.1,0.56,0.34
36,Clinton Fringe Parking Lot,549,1151,386,2086,0.26,0.55,0.19
36,Brandywine Road @ Surrats Road,292,577,257,1126,0.26,0.51,0.23
36,Matapeake Business Dr at Target Store,198,567,392,1157,0.17,0.49,0.34
36,Mattowoman Beantown Rd at MTA Park and Ride Lot (Arrival),324,394,333,1051,0.31,0.37,0.32
