route,stops,early,on_time,late,total,early %,on_time %,late %
37,OLD BRANCH AVENUE & ALLENTOWN WAY,14,248,16,278,0.05,0.89,0.06
37,ALLENTOWN ROAD & TEMPLE HILL ROAD AM NS,28,266,20,314,0.09,0.85,0.06
37,TUCKER ROAD & ARUNDEL ROAD,37,264,26,327,0.11,0.81,0.08
37,WILSON BRIDGE DRIVE,302,178,19,499,0.61,0.36,0.04
37,SOUTHERN AVENUE METRO STATION & BUS BAY K,29,75,133,237,0.12,0.32,0.56
37,TUCKER RD & ALLENTOWN RD,105,51,13,169,0.62,0.3,0.08
37,INDIAN HEAD HIGHWAY & SOUTHERN AVENUE,342,138,17,497,0.69,0.28,0.03
37,ALLENTOWN ROAD & OLD BRANCH AVENUE,114,37,9,160,0.71,0.23,0.06
37,ALLENTOWN ROAD & TEMPLE HILL ROAD PM NS,128,35,8,171,0.75,0.2,0.05
