route,stops,early,on_time,late,total,early %,on_time %,late %
55,HUNGERFORD DR & N CAMPUS DR,0,101,12,113,0.0,0.89,0.11
55,SHADYGROVE METRO LOT  & METRO LOT,1,5,0,6,0.17,0.83,0.0
55,N WASHINGTON ST & MIDDLE LN,25,140,8,173,0.14,0.81,0.05
55,RUSSELL AVE & WATKINS MILL RD,21,143,14,178,0.12,0.8,0.08
55,E MIDDLE LN & MARYLAND AVE,71,380,25,476,0.15,0.8,0.05
55,SHAKESPEARE BLVD & ETON MANOR DR,76,621,78,775,0.1,0.8,0.1
55,E MIDDLE LN & MONROE ST,41,287,35,363,0.11,0.79,0.1
55,OBSERVATION DR & BOLAND FARM RD,10,84,12,106,0.09,0.79,0.11
55,N WASHINGTON ST & BEALL AVE,62,400,42,504,0.12,0.79,0.08
55,SHAKESPEARE BLVD & AMBER RIDGE DR,35,277,39,351,0.1,0.79,0.11
55,OBSERVATION DR & PANTHER RIDGE DR,10,69,10,89,0.11,0.78,0.11
55,N FREDERICK RD & GUNNERS BRANCH RD,114,562,41,717,0.16,0.78,0.06
55,RUSSELL AVE & CHRISTOPHER AVE,4,43,9,56,0.07,0.77,0.16
55,HUNGERFORD DR & FREDERICK AVE,88,572,85,745,0.12,0.77,0.11
55,HUNGERFORD DR & MANNAKEE ST,9,66,11,86,0.1,0.77,0.13
55,N WASHINGTON ST & DAWSON AVE,76,386,49,511,0.15,0.76,0.1
55,FREDERICK RD & SHAKESPEARE BLVD,33,139,10,182,0.18,0.76,0.05
55,CHRISTOPHER AVE & VILLAGE OVERLOOK,15,131,29,175,0.09,0.75,0.17
55,OBSERVATION DR & OBSERVATION CT,32,156,19,207,0.15,0.75,0.09
55,E MIDDLE LN & WASHINGTON ST,1,6,1,8,0.12,0.75,0.12
55,FREDERICK RD & @20010,52,227,29,308,0.17,0.74,0.09
55,N WASHINGTON ST & MARTINS LN,45,200,24,269,0.17,0.74,0.09
55,N FREDERICK AVE & MARYLAND AVE,48,182,20,250,0.19,0.73,0.08
55,SHAKESPEARE BLVD & OBSERVATION DR,280,1583,305,2168,0.13,0.73,0.14
55,FREDERICK RD & ARCHDALE RD,58,205,20,283,0.2,0.72,0.07
55,CONTOUR RD & ODENDHAL AVE,52,172,19,243,0.21,0.71,0.08
55,CONTOUR RD & TUNSTALL DR,29,157,36,222,0.13,0.71,0.16
55,FREDERICK RD & COLLINS DR,5,27,6,38,0.13,0.71,0.16
55,FREDERICK RD & MIDWAY CENTER,14,85,20,119,0.12,0.71,0.17
55,FREDERICK RD & SHADY GROVE RD,135,592,103,830,0.16,0.71,0.12
55,FREDERICK RD & GUDE DR,22,109,25,156,0.14,0.7,0.16
55,S FREDERICK AVE & CENTRAL AVE,10,74,22,106,0.09,0.7,0.21
55,CHRISTOPHER AVE & MONTGOMERY VILLAG,102,579,141,822,0.12,0.7,0.17
55,S FREDERICK AVE & EDUCATION BLVD,198,770,152,1120,0.18,0.69,0.14
55,S FREDERICK AVE & S WESTLAND DR,99,394,74,567,0.17,0.69,0.13
55,S FREDERICK AVE & N WESTLAND DR,96,445,102,643,0.15,0.69,0.16
55,FREDERICK RD & GERMANTOWN RD,62,210,32,304,0.2,0.69,0.11
55,FREDERICK RD & COLLEGE PKWY,101,364,72,537,0.19,0.68,0.13
55,WATKINS MILL RD & TRAVIS AVE,33,100,15,148,0.22,0.68,0.1
55,N FREDERICK AVE & WHETSTONE DR,42,158,32,232,0.18,0.68,0.14
55,CHRISTOPHER AVE & HELLINGLY PL,28,148,42,218,0.13,0.68,0.19
55,CHRISTOPHER AVE & GALLOP HILL RD,129,333,26,488,0.26,0.68,0.05
55,FREDERICK RD & @15,0,2,1,3,0.0,0.67,0.33
55,FREDERICK RD & GUNNERS BRANCH RD,215,777,163,1155,0.19,0.67,0.14
55,FREDERICK RD & HIGH POINT DR,28,70,6,104,0.27,0.67,0.06
55,FREDERICK RD & OXBRIDGE DR,112,373,69,554,0.2,0.67,0.12
55,FREDERICK RD & SCENERY DR,62,249,60,371,0.17,0.67,0.16
55,GERMANTOWN RD & OBSERVATION DR,17,57,11,85,0.2,0.67,0.13
55,FREDERICK RD & @15501,9,35,9,53,0.17,0.66,0.17
55,SOMERVILLE DR & REDLAND RD,22,59,8,89,0.25,0.66,0.09
55,OBSERVATION DR & @20457 (SENECA MEA,2,27,12,41,0.05,0.66,0.29
55,FREDERICK RD & MIDDLEBROOK RD,98,300,60,458,0.21,0.66,0.13
55,S FREDERICK AVE & SUMMIT AVE,231,750,159,1140,0.2,0.66,0.14
55,TRAVIS AVE & TRAVIS LN,179,485,71,735,0.24,0.66,0.1
55,FREDERICK RD & PLUMMER DR,103,297,54,454,0.23,0.65,0.12
55,FREDERICK RD & REDLAND RD,65,217,50,332,0.2,0.65,0.15
55,S FREDERICK AVE & DEER PARK DR,150,405,69,624,0.24,0.65,0.11
55,CHRISTOPHER AVE & RUSSELL AVE,104,355,86,545,0.19,0.65,0.16
55,CONTOUR RD & HORIZON RUN RD,76,201,38,315,0.24,0.64,0.12
55,S FREDERICK AVE & FULKS CORNER AVE,92,280,64,436,0.21,0.64,0.15
55,S FREDERICK AVE & ROSEMONT DR,28,62,7,97,0.29,0.64,0.07
55,LOST KNIFE RD & MONTGOMERY VILLAGE,94,212,26,332,0.28,0.64,0.08
55,FREDERICK RD & RIDGEMONT AVE,14,47,13,74,0.19,0.64,0.18
55,TRAVIS AVE & TRAVIS VIEW CT,55,176,45,276,0.2,0.64,0.16
55,N FREDERICK AVE & PROFESSIONAL DR,66,258,77,401,0.16,0.64,0.19
55,SHAKESPEARE BLVD & FREDERICK RD,37,101,21,159,0.23,0.64,0.13
55,FREDERICK RD & APPLEDOWRE WAY,191,530,114,835,0.23,0.63,0.14
55,S FREDERICK AVE & O'NEILL DR,32,59,2,93,0.34,0.63,0.02
55,FREDERICK RD & INDIANOLA DR,18,46,10,74,0.24,0.62,0.14
55,MANNAKEE ST & HUNGERFORD DR,36,237,108,381,0.09,0.62,0.28
55,N FREDERICK AVE & MONTGOMERY AVE,112,286,65,463,0.24,0.62,0.14
55,N FREDERICK AVE & BROOKS AVE,139,327,73,539,0.26,0.61,0.14
55,S CAMPUS DR & CAMPUS DR,687,4058,1959,6704,0.1,0.61,0.29
55,FREDERICK RD & GUNNERS DR,16,37,8,61,0.26,0.61,0.13
55,FREDERICK RD & WHEATFIELD DR,26,62,13,101,0.26,0.61,0.13
55,CHRISTOPHER AVE & FEATHERTREE WAY,94,171,14,279,0.34,0.61,0.05
55,CONTOUR RD & LOST KNIFE RD,124,293,74,491,0.25,0.6,0.15
55,LOST KNIFE RD & CIDER MILL APTS,133,367,109,609,0.22,0.6,0.18
55,LAKEFOREST TRANSIT CENTER  & ODENDH,2294,5862,1740,9896,0.23,0.59,0.18
55,MANNAKEE ST & CAMPUS (E) DR,4,22,11,37,0.11,0.59,0.3
55,ROCKVILLE STATION  & BAY B - WEST,3599,7286,1603,12488,0.29,0.58,0.13
55,WATKINS MILL RD & TRAVIS LN,53,121,36,210,0.25,0.58,0.17
55,S FREDERICK AVE & CEDAR AVE,133,218,27,378,0.35,0.58,0.07
55,N FREDERICK AVE & TRAVIS AVE,14,45,18,77,0.18,0.58,0.23
55,OBSERVATION DR & MONTGOMERY COLLEGE,374,1630,836,2840,0.13,0.57,0.29
55,ODENDHAL AVE & FREDERICK AVE,502,1074,303,1879,0.27,0.57,0.16
55,TRAVIS AVE & WATKINS MILL RD,39,95,32,166,0.23,0.57,0.19
55,SHAKESPEARE BLVD & MILESTONE PARK &,55,170,71,296,0.19,0.57,0.24
55,S FREDERICK AVE & VIRGINIA DR,17,25,2,44,0.39,0.57,0.05
55,ODENDHAL AVE & RUSSELL AVE,119,241,69,429,0.28,0.56,0.16
55,SHADY GROVE STATION  & BAY A - WEST,1712,5595,2907,10214,0.17,0.55,0.28
55,MANNAKEE ST & CAMPUS DR,3,18,13,34,0.09,0.53,0.38
55,S FREDERICK AVE & WESTLAND DR,61,93,22,176,0.35,0.53,0.12
55,N FREDERICK AVE & CHESTNUT ST,103,159,48,310,0.33,0.51,0.15
55,S FREDERICK AVE & DEER PARK RD,151,179,23,353,0.43,0.51,0.07
55,GERMANTOWN RD & GOLDENROD LN,3,17,14,34,0.09,0.5,0.41
55,FREDERICK RD & WATKINS POND BLVD,21,33,12,66,0.32,0.5,0.18
55,KING FARM BLVD & FREDERICK RD,6,7,2,15,0.4,0.47,0.13
55,GERMANTOWN TRANSIT CENTER  & BAY B,3522,4035,1452,9009,0.39,0.45,0.16
55,LOST KNIFE RD & CONTOUR RD,65,65,19,149,0.44,0.44,0.13
55,FREDERICK RD & MAGNOLIA DR,12,21,17,50,0.24,0.42,0.34
55,FREDERICK RD & NEELSVILLE CHURCH RD,3,9,15,27,0.11,0.33,0.56
